case_id,event_name,field,prior_status,new_status,evidence_refs,sufficiency,notes
REAL-EVENT-0004,Vigo legacy,agentId,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,REAL-EVENT-EXTRACTION-003:L37|REAL-EVENT-ADJUDICATION-003:L39,INSUFFICIENT,flight_crew_plus_mission_interaction_pending
REAL-EVENT-0004,Vigo legacy,agentKind,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,REAL-EVENT-ADJUDICATION-003:L38-L39|A4R126:L23,INSUFFICIENT,direct_actor_unclear
REAL-EVENT-0004,Vigo legacy,PF_PM_boundary,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,REAL-EVENT-EXTRACTION-003:L47|REAL-EVENT-ADJUDICATION-003:L48,INSUFFICIENT,pf_pm_mission_split_not_closed
REAL-EVENT-0004,Vigo legacy,unsafeActOrOmission,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,REAL-EVENT-EXTRACTION-003:L34|REAL-EVENT-ADJUDICATION-003:L34-L37,PARTIAL,act_vs_condition_boundary_open
REAL-EVENT-0004,Vigo legacy,operationalMoment,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,REAL-EVENT-ADJUDICATION-003:L28|REAL_EVENT_DEEP_EXTRACTION_0003_0004_0006:L375-L376,PARTIAL,critical_descent_window_identified_without_actor_split
REAL-EVENT-0004,Vigo legacy,sequenceRef,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,REAL-EVENT-EXTRACTION-003:L23-L28|REAL_EVENT_DEEP_EXTRACTION_0003_0004_0006:L526-L535,INSUFFICIENT,sequence_by_actor_unresolved
REAL-EVENT-0004,Vigo legacy,pointTopology,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,REAL_EVENT_DEEP_EXTRACTION_0003_0004_0006:L371-L376|A4R126:L23,PARTIAL,escape_point_candidate_without_when_statement_closure
REAL-EVENT-0004,Vigo legacy,boundaryEvidenceRefs,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,REAL-EVENT-ADJUDICATION-003:L66-L71|REAL_EVENT_DEEP_EXTRACTION_0003_0004_0006:L398-L399,PARTIAL,warning_barrier_and_low_height_refs_present
REAL-EVENT-0004,Vigo legacy,agentMigrationRisk,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,docs/SERA_SAFE_OPERATION_ESCAPE_POINT_v0.1.md:L31-L49|A4R126:L23,HIGH,high_risk_with_multi_actor_blur
REAL-EVENT-0004,Vigo legacy,consequenceAsCauseRisk,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,REAL-EVENT-EXTRACTION-003:L50-L54|REAL_EVENT_DEEP_EXTRACTION_0003_0004_0006:L359-L361,MEDIUM,low_height_outcome_not_auto_cause
REAL-EVENT-0004,Vigo legacy,technicalConditionDominanceRisk,HOLD_SOURCE_INSUFFICIENT,HOLD_SOURCE_INSUFFICIENT,REAL-EVENT-ADJUDICATION-003:L35-L36|REAL_EVENT_REVIEW_DECISION_0003_0004_0006:L164-L172,MEDIUM,barrier_condition_weight_still_high
REAL-EVENT-0004,Vigo legacy,futureReentryReadiness,HOLD_SOURCE_INSUFFICIENT,VIGO_REMAINS_HOLD_SOURCE_INSUFFICIENT,A4R193_K_SOURCE_RECOVERY_MATRIX:L4|A4R193_N_SOURCE_RECOVERY_DOC,NO,reentry_review_not_ready
