case_id,case_name_or_label,source_family,prior_work_doc,current_status,superseded_by,source_location,source_quality,methodology_role,escape_point_explicitness,agent_act_moment_sufficiency,poa_reference_available,mdc_reference_available,usable_as_reference,requires_reentry_under_escape_point_contract,reentry_status,recommended_action,notes
A4R193D-CAND-003,Delta 191,A4R193_CURRENT,docs/sera-vnext/real-event-reentry-a4r193/SERA_A4R193_D_SOURCE_ENRICHMENT_MATRIX.csv,PARTIALLY_VALID_NEEDS_RECONCILIATION,none,A4R193_D_matrix,MEDIUM,PRIOR_REAL_EVENT_CANDIDATE,PARTIAL,INSUFFICIENT,NO,NO,NOT_READY_DIRECTLY,YES,SOURCE_EXTRACTION_REQUIRED,KEEP_IN_SOURCE_ENRICHMENT_LANE,No current full packet
A4R193D-CAND-004,American 1420 LIT,A4R193_CURRENT,docs/sera-vnext/real-event-reentry-a4r193/SERA_A4R193_D_SOURCE_ENRICHMENT_MATRIX.csv,CURRENT_VALID,none,A4R193_D_matrix,HIGH,CURRENT_REENTRY_CANDIDATE,EXPLICIT_IN_A4R193,SUFFICIENT,NO,NO,READY_CANDIDATE,NO,READY_FOR_A4R193_E_REENTRY,PRIORITIZE_FOR_BATCH3,Immediate candidate for A4R193-E
A4R193D-CAND-005,UPS 1354 BHM,A4R193_CURRENT,docs/sera-vnext/real-event-reentry-a4r193/SERA_A4R193_D_SOURCE_ENRICHMENT_MATRIX.csv,CURRENT_VALID,none,A4R193_D_matrix,HIGH,CURRENT_REENTRY_CANDIDATE,EXPLICIT_IN_A4R193,SUFFICIENT,NO,NO,READY_CANDIDATE,NO,READY_FOR_A4R193_E_REENTRY,PRIORITIZE_FOR_BATCH3,Immediate candidate for A4R193-E
A4R193D-CAND-006,Colgan 3407 BUF,PRIOR_REAL_EVENT_WORK,docs/sera-vnext/real-event-structured-extraction-a4r180/SERA_REAL_EVENT_STRUCTURED_EXTRACTION_ENRICHMENT_SUMMARY_A4R180B_v0.2.0.md,PARTIALLY_VALID_NEEDS_RECONCILIATION,A4R181_A4R193_D,A4R180B_summary,MEDIUM,PRIOR_REAL_EVENT_CANDIDATE,PARTIAL,PARTIAL,NO,NO,NOT_READY_DIRECTLY,YES,HOLD_UNCLEAR_SOURCE,HOLD_FOR_AGENT_DECOMPOSITION,PF PM decomposition pending
REAL-EVENT-0001,Thebaud legacy,A4R17X_A4R18X_PRIOR_WORK,docs/sera-vnext/real-event-adjudications/CONSOLIDATED_30_REAL_EVENTS_TRACKER_A4R78_v0.2.0.md,DUPLICATE_OF_CURRENT_A4R193_CASE,A4R126_A4R135_A4R193_D,A4R78_tracker,MEDIUM,HISTORICAL_PRIOR_WORK,UNRESOLVED_IN_LEGACY,INSUFFICIENT,NO,NO,NOT_DIRECT_REFERENCE,YES,SOURCE_EXTRACTION_REQUIRED,KEEP_IN_A4R193_SOURCE_ENRICHMENT_QUEUE,Legacy case already in current queue
REAL-EVENT-0002,Peasmarsh legacy,A4R17X_A4R18X_PRIOR_WORK,docs/sera-vnext/real-event-adjudications/CONSOLIDATED_30_REAL_EVENTS_TRACKER_A4R78_v0.2.0.md,DUPLICATE_OF_CURRENT_A4R193_CASE,A4R126_A4R135_A4R193_D,A4R78_tracker,MEDIUM,HISTORICAL_PRIOR_WORK,UNRESOLVED_IN_LEGACY,INSUFFICIENT,NO,NO,NOT_DIRECT_REFERENCE,YES,SOURCE_EXTRACTION_REQUIRED,KEEP_IN_A4R193_SOURCE_ENRICHMENT_QUEUE,Legacy case already in current queue
REAL-EVENT-0004,Vigo legacy,A4R17X_A4R18X_PRIOR_WORK,docs/sera-vnext/real-event-adjudications/CONSOLIDATED_30_REAL_EVENTS_TRACKER_A4R78_v0.2.0.md,DUPLICATE_OF_CURRENT_A4R193_CASE,A4R126_A4R135_A4R193_D,A4R78_tracker,MEDIUM,HISTORICAL_PRIOR_WORK,UNRESOLVED_IN_LEGACY,INSUFFICIENT,NO,NO,NOT_DIRECT_REFERENCE,YES,SOURCE_EXTRACTION_REQUIRED,KEEP_IN_A4R193_SOURCE_ENRICHMENT_QUEUE,Legacy case already in current queue
REAL-EVENT-0006,5N-BQJ legacy,A4R17X_A4R18X_PRIOR_WORK,docs/sera-vnext/real-event-adjudications/CONSOLIDATED_30_REAL_EVENTS_TRACKER_A4R78_v0.2.0.md,DUPLICATE_OF_CURRENT_A4R193_CASE,A4R126_A4R135_A4R193_D,A4R78_tracker,HIGH,SOURCE_CONTEXT_ONLY,TECHNICAL_DOMINANT,INSUFFICIENT,NO,NO,NOT_DIRECT_REFERENCE,YES,HOLD_TECHNICAL_DOMINANT,KEEP_TECHNICAL_DOMINANT_HOLD,Condition dominant boundary
N109W,N109W release pilot legacy,A4R17X_A4R18X_PRIOR_WORK,docs/sera-vnext/release-pilot/P_AXIS_RELEASE_PILOT_TRACKER_A4R85_v0.2.0.md,HISTORICAL_CONTEXT_ONLY,A4R92_A4R135,A4R85_tracker,MEDIUM,HISTORICAL_PRIOR_WORK,UNRESOLVED_IN_LEGACY,INSUFFICIENT,NO,NO,NOT_DIRECT_REFERENCE,YES,HOLD_SUPERSEDED_OR_QUARANTINED,NOT_USE_NOW_UNTIL_NEW_PACKET,Release pilot withdrawn
N11NM,N11NM release pilot legacy,A4R17X_A4R18X_PRIOR_WORK,docs/sera-vnext/release-pilot/P_AXIS_RELEASE_PILOT_TRACKER_A4R85_v0.2.0.md,HISTORICAL_CONTEXT_ONLY,A4R92_A4R135,A4R85_tracker,MEDIUM,HISTORICAL_PRIOR_WORK,UNRESOLVED_IN_LEGACY,INSUFFICIENT,NO,NO,NOT_DIRECT_REFERENCE,YES,HOLD_SUPERSEDED_OR_QUARANTINED,NOT_USE_NOW_UNTIL_NEW_PACKET,Release pilot withdrawn
