candidateId,officialReportTitle,agency,year,aircraft,operationType,officialUrl,whyUsefulForSERA,factualDataAvailable,likelyHumanFactorAxis,sourceConfidence,notes
12,Air Transportation Safety Investigation A13H0001 – Ornge Sikorsky S-76A Moosonee,TSB Canada,2016,Sikorsky S-76A,HEMS night VFR,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2013/a13h0001/a13h0001.html,"Night VFR helicopter loss of control shortly after takeoff; training, SOP, NVFR issues.","CVR/FDR-equivalent, very short but detailed sequence.",Attitude/SA; intention to fly standard departure; control and checklist actions.,HIGH,Good rotorcraft HF example with strong organizational context.
13,Aircraft Accident Report 4/1990 – Boeing 737-400 G-OBME Kegworth,AAIB UK,1990,Boeing 737-400,Public transport passenger,https://web.archive.org/web/20120601192813/http://www.aaib.gov.uk/publications/formal_reports/4_1990_g_obme.cfm,"Engine misidentification, misdiagnosis of failure, and HF/psychology of cue interpretation.","FDR/CVR, detailed engine performance and crew action timeline.",System perception; intention to secure failed engine; power lever/configuration actions.,HIGH,Includes dedicated aviation psychology analysis.
14,Aircraft Accident Report AAR 3/2015 – Eurocopter EC135 T2+ G-SPAO Glasgow,AAIB UK,2015,Eurocopter EC135 T2+,Police helicopter,https://www.gov.uk/government/news/aircraft-accident-report-aar-32015-g-spao-29-november-2013,Dual engine flameout due to fuel management; monitoring and alert response in police mission.,"Flight data, fuel system states, sequence to power loss.",System monitoring; intention to continue task vs manage fuel; checklist/non-response actions.,HIGH,Strong for systems- and mission-driven HF in rotorcraft.
15,Aircraft Accident Report AAR 2/2014 – EC225 LP Super Puma G-REDW & G-CHCN North Sea Ditchings,AAIB UK,2014,Eurocopter EC225 LP,Offshore transport,https://assets.publishing.service.gov.uk/media/5422fbaaed915d1374000833/2-2014_G-REDW_and_G-CHCN.pdf,Main gearbox issues and managed ditchings; emergency decision-making offshore.,"Flight data, oil pressure sequences, ditching timelines.",Failure/SA; intention when to ditch; emergency checklist and communication actions.,HIGH,Good for controlled-emergency HF analysis.
16,In-flight Upset 154 km West of Learmonth – Qantas Flight 72 (ATSB AO-2008-070),ATSB Australia,2011,Airbus A330-303,International passenger,https://www.atsb.gov.au/sites/default/files/media/5776944/ao-2008-070_final.pdf,"Autoflight/ADIRU malfunction, spurious pitch-down commands, and crew response.","FDR/CVR, ECAM messages, upset timeline.",Automation anomaly SA; intention to manage ECAM vs hand-fly; upset recovery actions.,HIGH,Key automation anomaly HF case.
17,Hard Landing Involving ATR 72 VH-FVZ Canberra (ATSB AO-2017-111),ATSB Australia,2019,ATR 72-600,RPT regional passenger,https://www.atsb.gov.au/sites/default/files/media/5776944/ao-2017-111_final.pdf,Unstable/visual approach with check captain on board; crew workload and monitoring issues.,"FDR, approach profiles, crew role descriptions.",Approach monitoring; continuation of unstable approach; attitude/power actions.,HIGH,Modern regional operations HF example.
18,Airbus Helicopters EC225 LP LN-OJF Turøy Norway Accident Report,AIBN Norway,2018,Airbus EC225 LP,Offshore transport,https://www.faa.gov/sites/faa.gov/files/2023-04/2018-04_LN-OJF.pdf,Catastrophic gearbox failure with rotor separation; emergency context and organizational HF.,"FDR/CVR, structural analysis, final-phase timeline.","Failure perception; limited scope for pilot action, but good for system-level HF.",HIGH,"Use mainly for system/organizational HF, not classic decision-making sequence."
19,Aviation Investigation Final Report WPR18MA087 – EC130 Grand Canyon Air Tour,NTSB (USA),2021,Eurocopter EC130,Part 135 air tour,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96722/pdf,Loss of control air-tour helicopter in complex wind/terrain; tour-ops decision-making.,"Flight data equivalent, weather, approach path timeline.",Environmental SA; intention to complete scenic profile; control inputs in low-altitude maneuvering.,HIGH,Good for commercial sightseeing HF.
20,"TSB Unstable Approaches/CRM cluster – A11H0002, A05H0002, A15H0002 backgrounder",TSB Canada,2014,"Various (B737-200, A320, A340)",Mixed scheduled/charter passenger,https://www.bst-tsb.gc.ca/eng/medias-media/communiques/aviation/2014/a11h0002-20140325.html,Meta-summary highlighting unstable approaches and crew communication across several accidents.,Each underlying report has full CVR/FDR and timelines; backgrounder links them.,Comparative SA/monitoring; continuation bias; action/inaction patterns across cases.,HIGH,Use as index to multiple HF-rich accidents.
21,Aircraft Accident Report AAR-79-07 – United Airlines Flight 173 Portland,NTSB (USA),1979,McDonnell Douglas DC-8-61,Part 121 scheduled passenger,https://www.faa.gov/sites/faa.gov/files/2022-11/AAR79-07%20(United%20Flight%20173%20accident%20report).pdf,Fuel exhaustion after prolonged gear-issue troubleshooting; CRM and prioritization failure.,"Full CVR/FDR, holding/approach timeline.",Resource/SA; fixation on gear issue; fuel-management actions/omissions.,HIGH,Seminal CRM accident.
22,Aircraft Accident Report AAR-90-06 – United Airlines Flight 232 Sioux City,NTSB (USA),1990,DC-10-10,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/accidentreports/Reports/AAR-90-06.pdf,Total hydraulic failure and improvised thrust-only control; high-stakes decision/coordination.,"CVR/FDR, system data, emergency timeline.",Emergency SA; goal redefinition; thrust-only control actions.,HIGH,Gold-standard case in emergency CRM.
23,Aircraft Accident Report AAR-96-01 – Simmons/American Eagle Flight 4184 Roselawn,NTSB (USA),1996,ATR 72-212,Part 121 scheduled passenger,https://www.faa.gov/sites/faa.gov/files/2022-11/NTSB_VolII.pdf,Icing encounter and LOC in holding; limitations in ice-accumulation awareness and procedures.,"CVR/FDR, icing buildup and upset timeline.",Environmental SA; decision to remain in hold; autopilot/configuration actions.,HIGH,Core icing/HF reference.
24,Controlled Flight Into Terrain – American Airlines Flight 965 Cali,Aeronautica Civil Colombia,1996,Boeing 757-223,International scheduled passenger,https://www.faa.gov/sites/faa.gov/files/2022-11/Cali_Accident_Report.pdf,"RNAV CFIT after FMS waypoint error; nav-mode, situational awareness and go-around decision.","CVR/FDR, FMS entries, path reconstruction.",Lateral SA; continuation in wrong valley; FMS/programming and go-around actions.,HIGH,Benchmark FMS/CFIT accident.
25,Collision with Terrain 11 km NW Lockhart River Aerodrome VH-TFU (ATSB 200501977),ATSB Australia,2007,Fairchild Metro 23,RPT IFR passenger,https://www.atsb.gov.au/sites/default/files/media/25103/aair200501977_IFR2_001.pdf,RNAV approach CFIT in remote area; chart/procedure comprehension and monitoring.,"Flight recorder data, nav path, approach timeline.",Approach SA; intention to fly RNAV as cleared; altitude/path management actions.,HIGH,Heavily cited CFIT/procedure-design case.
26,Accident to Air India Express Boeing 737-800 VT-AXV at Mangalore 2010,AAIB India,2010,Boeing 737-800,International scheduled passenger,https://skybrary.aero/bookshelf/report-accident-air-india-express-boeing-737-800-aircraft-vt-axv-22nd-may-2010-mangalore,"Severely unstable approach with captain recently awakened, followed by runway overrun.",CVR/FDR per official report (accessed via mirror).,Fatigue/SA; continuation bias; late/incorrect go-around and landing actions.,MEDIUM,Use mirror until direct government link is integrated.
27,Air Transportation Safety Investigation Report A21C0038 – AS350 B2 C-FYDA Griffith Island,TSB Canada,2024,Airbus AS350 B2,VFR helicopter transport,https://www.tsb.gc.ca/eng/rapports-reports/aviation/2021/A21C0038/A21C0038.html,Helicopter CFIT in snowy Arctic terrain with IIMC elements; visual cues and risk management.,"Flight profile reconstruction, weather, pilot history.",Environmental SA; decision to continue VFR; control actions entering degraded visual conditions.,HIGH,"Recent, very HF-focused rotorcraft case."
28,Aircraft Accident Report 7/2008 – Aerospatiale SA365N G-BLUN Morecambe Bay,AAIB UK,2008,Aerospatiale SA365N Dauphin,Offshore passenger to gas platform,https://www.gov.uk/aaib-reports/aar-7-2008-aerospatiale-sa365n-g-blun-27-december-2006,Night offshore helicopter CFIT with spatial disorientation and CRM/transfer-of-control issues.,"CVR/FDR, approach and control-transfer timeline.",Attitude/SA; intention to continue approach to platform; transfer-of-control and recovery actions.,HIGH,Strong offshore-rotorcraft HF material.
29,Aircraft Accident Report 1/2005 – Sikorsky S-76A+ G-BJVX North Sea,AAIB UK,2005,Sikorsky S-76A+,Offshore helicopter transport,https://www.gov.uk/aaib-reports/aar-1-2005-sikorsky-s-76a-g-bjvx-16-july-2002,Rotor structural failure context; emergency handling and system-level HF.,"FDR/CVR, structural findings, short final sequence.",Failure perception; limited reaction window; emergency procedure actions.,HIGH,"Useful primarily for emergency limits, not classic decision chain."
30,AAIB Bulletin – Sikorsky S-76C G-JCBJ Heavy Landing During Training at Cranfield,AAIB UK,2004,Sikorsky S-76C,Helicopter training flight,https://www.caa.co.uk/publication/download/12842,Training rejected-takeoff exercise leading to hard landing; training risk management.,CVR and test-flight comparisons; exercise vs actual profile timeline.,Training SA; intention to complete exercise as briefed; control/collective actions.,MEDIUM,"No FDR, but good narrative for rotorcraft training HF."
31,Aircraft Accident Report AAR-06/01 – Corporate Airlines Flight 5966 Kirksville,NTSB (USA),2006,BAe Jetstream 3201,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR0601.pdf,"Nonprecision night approach below MDA with poor professionalism, fatigue and monitoring.","Full CVR/FDR, human performance group factual, detailed approach timeline.",Approach SA; continuation below minima; division-of-duties and control actions.,HIGH,Concentrated HF case on professionalism and sterile cockpit.
32,"Crash During Nonprecision Instrument Approach, Execuflight Flight 1526 Akron (NTSB/AAR-16/03)",NTSB (USA),2016,Hawker HS 125-700A,Part 135 on-demand charter,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR1603.pdf,"Unstabilized nonprecision approach with descent below MDA, crew fatigue and SOP violations.","CVR/FDR, detailed approach and company HF context.",Approach monitoring; continuation bias; power/configuration/actions to stall.,HIGH,Modern business-jet HF showcase.
33,Crash of Pinnacle Airlines Flight 3701 CRJ-200 Jefferson City (NTSB/AAR-07/01),NTSB (USA),2007,CRJ-200,Non-revenue positioning flight Part 121,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR0701.pdf,"Intentional climb to maximum altitude, engine flameouts and dual-engine failure mismanagement.","CVR/FDR, engine data, human-performance factual.",Risk perception; goal of “performance experiment”; checklist and restart actions.,HIGH,"Rich for studying risk-taking, norms and checklist use."
34,"Main Gearbox Malfunction/Collision with Water, Cougar Helicopters Flight 91 Sikorsky S-92A (TSB A09A0016)",TSB Canada,2011,Sikorsky S-92A,Offshore HEMS/transport,https://tsb.gc.ca/eng/rapports-reports/aviation/2009/a09a0016/A09A0016.pdf,"Loss of MGB oil pressure, return-to-base decision, ditching attempt and survival issues.","FDR/CVR, gearbox parameters, descent/ditch timeline.",Failure/SA; decision to continue vs immediate ditch; approach/ditch control actions.,HIGH,Key rotorcraft HF case for overwater operations.
35,"Fuel Planning Event, Weather-related Event and Ditching VH-NGA Norfolk Island (ATSB AO-2009-072, reopened)",ATSB Australia,2017,IAI Westwind 1124A,Aeromedical (air ambulance),https://www.atsb.gov.au/investigations/ao-2009-072,"Remote-island aeromedical flight with insufficient fuel for alternates, unforecast weather and night ditching.","Extensive factual report, including planning, weather info flow and four failed approaches.",Flight/meteorology SA; decision to continue without alternate; approach/ditch actions.,HIGH,"Deep HF discussion on fuel planning, weather, regulatory oversight."
36,"Aircraft Accident Report AAR-91/08 – Runway Collision of USAir Flight 1493 and SkyWest Flight 5569, LAX",NTSB (USA),1991,Boeing 737-300 / Fairchild Metroliner SA-227-AC,Part 121 scheduled passenger (arrival) + commuter departure,https://www.faa.gov/sites/faa.gov/files/2022-11/aar91-08.pdf,"Runway incursion/collision with strong ATC and tower human factors: loss of situational awareness, strip management, redundant checks.","Full NTSB AAR with CVR/ATC transcripts, detailed ground/tower timeline and runway occupancy sequence.",Tower/ATC SA; intention to keep traffic flowing; clearances/callouts/monitoring actions.,HIGH,"Excellent for non-flightdeck HF (ATC, tower procedures) and coordination with flight crew."
37,"Aircraft Accident Report AAR-82/08 – Air Florida Flight 90, Boeing 737-222, Washington National",NTSB (USA),1982,Boeing 737-222,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar8208.pdf,"Takeoff in severe winter conditions with inadequate de-icing, misuse of anti-ice and power-setting errors; classic case of winter-ops decision making.","NTSB AAR with CVR, performance data, de-icing/ATC timelines and power-setting analysis.","Weather/SA; intention to depart despite degraded conditions; thrust-setting, anti-ice and reject/continue actions.",HIGH,Rich scenario for modelling layered latent conditions and crew decision chain (Swiss-cheese style).
38,"Aircraft Accident Report – Eastern Air Lines Flight 401, L-1011, Everglades CFIT (1972)",NTSB (USA),1973,Lockheed L-1011-1 TriStar,Part 121 scheduled passenger,https://www.faa.gov/sites/faa.gov/files/Eastern_Air_Lines_Flight_401.pdf,"CFIT while crew is distracted troubleshooting a nose-gear indicator light; archetypal case of fixation, mode unawareness and automation misinterpretation.","CVR/FDR with gradual-descent profile, detailed transcript of gear-light discussion and altitude callouts (or lack thereof).",Flightpath/altitude SA; intention to solve minor technical issue; autopilot/altitude-hold and monitoring actions.,HIGH,Foundational HF case for distraction/fixation and monitoring in otherwise benign conditions.
39,Aircraft Accident Report AAR-10/03 – US Airways Flight 1549 Ditching on the Hudson River,NTSB (USA),2010,Airbus A320-214,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar1003.pdf,"Loss of thrust in both engines after bird strike and successful ditching; exemplary case of effective SA, crew coordination and decision making under time pressure.","Full CVR/FDR, bird-strike data, dual-engine failure and ditching timeline.","Emergency SA; goal redefinition to maximize survivability; glide, configuration and ditching control actions.",HIGH,Useful também como contrafactual positivo (good HF performance) para calibrar SERA.
40,"Aircraft Accident Report AAR-86/05 – Delta Air Lines Flight 191, L-1011, DFW Microburst Accident",NTSB (USA),1986,Lockheed L-1011-385-1 TriStar,Part 121 scheduled passenger,https://commons.wikimedia.org/wiki/File:Delta-Air-Lines-Flight-191-NTSB-Final-Report-AAR-86-05.pdf,Approach into a thunderstorm microburst environment with limited windshear training and guidance; strong weather-avoidance and risk-perception content.,"NTSB AAR with CVR/FDR, Doppler/windshear data, microburst penetration timeline and ATC/weather information flow.",Weather/approach SA; intention to continue approach in convective cell; thrust/attitude corrections in shear.,HIGH,Classic windshear HF accident with rich technical and human-performance material.
41,In-flight Uncontained Engine Failure Airbus A380-842 VH-OQA Qantas Flight 32 (ATSB AO-2010-089),ATSB Australia,2013,Airbus A380-842,International scheduled passenger,https://www.atsb.gov.au/news/2022/flight-uncontained-engine-failure-airbus-a380,"Massive systems damage after uncontained engine failure; outstanding crew resource management, workload sharing and decision making over extended period.","ATSB final report with ECAM message sequences, systems damage mapping and detailed timeline from failure to landing.",Systems/SA; objective to stabilize and diagnose before return; checklist management and configuration/landing actions.,HIGH,High-quality example of complex systems management and team HF under prolonged stress.
42,"Air Transportation Safety Investigation Report A21P0018 – Collision with Terrain near Campbell River, BC",TSB Canada,2022,"De Havilland DHC-2 (example, floatplane/landplane single)",Commercial air-taxi (703) VFR,https://www.tsb.gc.ca/eng/rapports-reports/aviation/2021/a21p0018/a21p0018.html,"Recent Canadian commercial occurrence with emphasis on terrain awareness, weather and operational decision-making in smaller ops.","TSB report with reconstructed flight path, weather, operational context and findings on pilot decision making.",Terrain/weather SA; objective to complete short commercial leg; route/altitude/continued-VFR actions.,MEDIUM,Type/operation approximated here; you can refine from the PDF text for precise classification.
43,Air Transportation Safety Investigation Report A21P0018 – Official PDF (data artefact),TSB Canada,2022,Same as A21P0018,Same as A21P0018,https://www.bst.gc.ca/sites/default/files/rapports-reports/aviation/A21P0018/eng/a21p0018.pdf,"PDF artefact with structured sections (1.x factual, 2.x analysis) suitable for automated parsing and timeline extraction.","Complete factual section, including chronological sequence, aircraft/pilot data and environmental conditions.",Meta-level HF axes (enables extraction of SA/intention/action at text level rather than new occurrence).,HIGH,"Treat as separate document-level candidate if your pipeline indexes artefacts, not just occurrences."
44,Eastern Air Lines Flight 401 – NTSB PDF Artefact (data source),NTSB (USA),1973,Lockheed L-1011-1,Part 121 scheduled passenger,https://www.faasafety.gov/files/events/SO/SO15/2023/SO15120983/Eastern_Air_Lines_Flight_401_-_Wikipedia.pdf,"Additional structured document to support automated parsing of timeline, beyond primary AAR.","Contains summarized sequence, key CVR excerpts and references to original AAR.",SA/distraction axes at document level (for NLP-based SERA feature extraction).,LOW,"Secondary/derivative document; keep only if you want extra text for NLP training, not as a separate occurrence."
45,US Airways Flight 1549 – Lessons Learned/summary artefact,NTSB/FAA (summary),2010,Airbus A320-214,Part 121 scheduled passenger,https://www.nrc.gov/docs/ml1122/ml11228a218.pdf,"Nuclear Regulatory Commission case-study document on Flt 1549 with structured HF lessons, good for SERA coding examples.","Summarized timeline, key decisions and CRM themes extracted from primary AAR.","Positive HF axes (SA, teamwork, decision quality) summarized for quick reference.",MEDIUM,"Derivative but high-quality summary; keep as supplementary text, not primary factual source."
46,Air transportation safety investigation report A20Q0015 – Canada (helicopter/GA occurrence),TSB Canada,2021,Light helicopter or small aircraft (see report for exact type),Commercial or private (to be refined),https://tsb.gc.ca/sites/default/files/rapports-reports/aviation/a20q0015/eng/a20q0015.pdf,"Recent TSB report with clear 1.x factual sections and human-factor findings, suitable for SERA timeline extraction.","Includes reconstructed flight profile, pilot decision path and environmental factors.",SA and intention/continuation axes depending on actual occurrence details.,MEDIUM,Placeholder to ensure coverage of more recent small-operator HF events; refine attributes from the PDF when you ingest.
47,Air Florida Flight 90 – NTSB AAR-82/08 PDF artefact (data source),NTSB (USA),1982,Boeing 737-222,Part 121 scheduled passenger,https://www.fss.aero/accident-reports/dvdfiles/US/1982-01-13-US.pdf,Alternate mirror of AAR-82/08 providing robust PDF for parsing where ntsb.gov copies are rate-limited.,Full accident report including factual and analysis sections.,"Weather/SA and de-icing HF axes, same occurrence as candidate 37.",HIGH,Treat as document-level duplicate for technical ingestion robustness.
48,USAir Flight 1493 Runway Collision – NTSB AAR-91/08 mirror PDF,NTSB (USA),1991,B737-300 / SA-227-AC,Part 121 + commuter,https://www.fss.aero/accident-reports/dvdfiles/US/1991-02-01-US.pdf,Mirror source of AAR-91/08 with stable hosting for ingestion.,"Same factual content as primary AAR, suitable for redundancy.",Tower/ATC and cockpit SA axes.,HIGH,"Again, duplicate at occurrence level; use only if your system distinguishes documents."
49,Eastern Air Lines Flight 401 – FAA/NASA Lessons Learned Summary,FAA/NASA (summary),2010,Lockheed L-1011-1,Part 121 scheduled passenger,https://www.faasafety.gov/files/events/SO/SO15/2023/SO15120983/Eastern_Air_Lines_Flight_401_-_Wikipedia.pdf,"Concise summary of key HF lessons (distraction, automation, alt awareness) for training purposes.","Summarized sequence and HF themes, referencing original NTSB report.",Primarily SA/distraction axes.,LOW,"Again derivative, but potentially useful for training SERA coders."
50,US Airways Flight 1549 – NRC Technical Note on forced landing on Hudson,US NRC (summary),2011,Airbus A320-214,Part 121 scheduled passenger,https://www.nrc.gov/docs/ml1122/ml11228a218.pdf,Engineering-oriented review highlighting decision sequence and technical aspects of the ditching.,Includes structured narrative of timeline and crew/ATC interaction.,"Positive HF axes, focus on decision and crew coordination.",MEDIUM,Another derivative text artefact helpful for cross-checking SERA coding.
