candidateId,officialReportTitle,agency,year,aircraft,operationType,officialUrl,whyUsefulForSERA,factualDataAvailable,likelyHumanFactorAxis,sourceConfidence,notes
11,Delta Air Lines Flight 191 – L-1011 DFW Microburst Accident 1985 (NTSB AAR-86/05),NTSB (USA),1986,Lockheed L-1011 TriStar,Part 121 passenger,https://commons.wikimedia.org/wiki/File:Delta-Air-Lines-Flight-191-NTSB-Final-Report-AAR-86-05.pdf,Entrada em microburst em aproximação com consciência limitada de windshear na época; muito bom para SA meteorológica e decisões de aproximação.,"CVR/FDR, dados de vento e radar meteorológico, timeline de penetração em shear.",SA meteorológica; objetivo de pousar apesar da célula convectiva; ações de potência e atitude em resposta a shear.,HIGH,"Caso clássico de windshear, precedente para políticas modernas de evitamento."
12,"Air Florida Flight 90 – Boeing 737-222, Washington National 1982 (NTSB AAR-82/08)",NTSB (USA),1982,Boeing 737-222,Part 121 passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar8208.pdf,"Decolagem com gelo na asa, potência inadequada e anti-ice mal utilizado; excelente para HF de operações de inverno e monitoramento de performance.","CVR/FDR, sequência de de-icing, parâmetros de potência e climb-out.","Percepção de gelo/performance; objetivo de decolar apesar de atrasos; ações de potência, anti-ice e rejeição/não-rejeição.",HIGH,"Referência em cultura de gelo, treinamento e disciplina operacional."
13,Eastern Air Lines Flight 401 – L-1011 CFIT Everglades 1972 (NTSB Aircraft Accident Report),NTSB (USA),1973,Lockheed L-1011-1 TriStar,Part 121 passenger,https://www.faa.gov/sites/faa.gov/files/2022-11/Eastern_Air_Lines_Flight_401_Accident_Report.pdf,"Tripulação distraída com lâmpada de trem de pouso, perda gradual de altitude não monitorada até CFIT; arquétipo de fixação e perda de SA.","CVR/FDR, timeline de troubleshooting do trem, perfil de altitude, comunicações.",SA de altitude; objetivo de resolver pane menor; ações/omissões de monitoramento e configuração de AP.,HIGH,"Fundamental para ensino de CRM e “aviate, navigate, communicate”."
14,"USAir Flight 1493 – Runway Collision with SkyWest 5569, LAX 1991 (NTSB AAR-91/08)",NTSB (USA),1991,Boeing 737-300 / Fairchild Metroliner SA-227-AC,Part 121 passenger + commuter,https://www.faa.gov/sites/faa.gov/files/2022-11/aar91-08.pdf,"Colisão em pista com forte componente HF em torre (strip, scanning, coordenação) e tripulação (SA de pista/TCAS).","AAR completo com CVR, gravações ATC, reconstrução de ocupação de pista.","SA em solo (ATC e cockpit); objetivo de manter fluxo; ações de autorização, leitura de backtrack/linha de espera.",HIGH,Muito útil para SERA além da cabine (ATC/torre).
15,US Airways Flight 1549 – A320-214 Ditching Hudson River 2009 (NTSB AAR-10/03),NTSB (USA),2010,Airbus A320-214,Part 121 passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar1003.pdf,"Ditching bem-sucedido após perda de ambos motores; excelente “gold standard” de SA, coordenação e decisão sob tempo extremamente limitado.","CVR/FDR, timeline de bird strike, falha dupla, decisão de ditching e execução.","Emergency SA; redefinição rápida de objetivo; ações de glide, configuração e amerrissagem.",HIGH,Bom caso positivo de HF para contrastar com acidentes.
16,Qantas Flight 32 – In-flight Uncontained Engine Failure A380 VH-OQA 2010 (ATSB AO-2010-089),ATSB Australia,2013,Airbus A380-842,International passenger,https://www.atsb.gov.au/news/2022/flight-uncontained-engine-failure-airbus-a380,"Falha catastrófica de motor com danos extensos e gerenciamento de sistemas extremamente complexo, bom para workload, priorização e uso de checklist.","Relatório ATSB com sequência de mensagens ECAM, danos de sistema, timeline até o pouso seguro.","Systems/SA; objetivo de estabilizar antes de pousar; ações de checklist, delegação e configuração.",HIGH,Caso de referência em “good CRM” em cenário hipercomplexo.
17,"Air Canada Flight 143 – Gimli Glider, Boeing 767-233 C-GAUN 1983 (ASB Canada A83H0002)",Aviation Safety Board Canada (pre-TSB),1985,Boeing 767-233,Scheduled passenger,https://aviation-safety.net/reports/1983/19830723-0_B762_C-GAUN.pdf,"Pane seca em cruzeiro por erro de combustível (kg vs lb) e pouso de planador; muito útil para HF em planejamento, cross-check e improviso.","Dados de voo, cálculo de combustível, reconstrução de planagem e pouso em pista desativada.","Planejamento/SA de combustível; objetivo de completar rota; ações de cálculo, monitoramento e gerenciamento de energia sem motores.",HIGH,Bom para SERA em nível de sistema (planejamento) e execução (voo planado).
18,Air Inter Flight 148 – Airbus A320-111 F-GGED Mont Sainte-Odile 1992 (BEA/AAIU France),BEA France,1993,Airbus A320-111,Domestic scheduled passenger,https://aaiu.ie/foreign_reports_fr/final-report-accident-to-airbus-a320-111-f-gged-air-inter-flight-148-mont-sainte-odile,"CFIT em STAR não-precision com confusão de modo de piloto automático (VS vs FPA) e desenho de interface, além de SA de terreno.","Dados FDR, reconstrução 3D da trajetória, perfis de VS/FPA, meteorologia.",Mode/SA; objetivo de seguir perfil de descida; ações de seleção de modo e resposta a avisos.,HIGH,Uno dos primeiros casos “clássicos” de interface A320 vs modelo mental.
19,"Cougar Helicopters Flight 91 – Sikorsky S-92A C-GZCH, Main Gearbox Malfunction/Collision with Water 2009 (TSB A09A0016)",TSB Canada,2011,Sikorsky S-92A,Offshore helicopter transport/HEMS,https://www.bst-tsb.gc.ca/eng/rapports-reports/aviation/2009/a09a0016/A09A0016.pdf,"Falha de MGB com decisão de retornar à base em vez de ditch imediato; ótimo para SA de falha crítica, política vs realidade e execução de procedimentos.","FDR/CVR, parâmetros de MGB, timeline de retorno/descida/impacto.",Failure/SA; objetivo de voltar em vez de ditch; ações de altitude/velocidade/checklist.,HIGH,Rotorcraft offshore HF case bem profundo.
20,"Pel-Air VH-NGA – Fuel Planning, Weather-related Event and Ditching near Norfolk Island 2009 (ATSB AO-2009-072)",ATSB Australia,2017,IAI Westwind 1124A,Aeromedical/air ambulance,https://www.atsb.gov.au/investigations/ao-2009-072,"Planejamento de combustível inadequado, previsão meteorológica e múltiplas aproximações frustradas antes de ditch noturno; riquíssimo em HF de despacho e decisão em rota.","Factual extenso com planejamento, fluxo de informação meteorológica, quatro aproximações e timeline até o ditch.","Planejamento/SA; objetivo de completar missão médica; ações de combustível, alternates e aproximações sucessivas.",HIGH,"Caso emblemático de oversight, política e decisão na aviação aeromédica."
21,Eurocopter AS332 L2 Super Puma G-WNSB – Sumburgh offshore approach 2013 (AAIB AAR 1/2016),AAIB UK,2016,Eurocopter AS332 L2 Super Puma,Offshore oil-and-gas transport,https://www.gov.uk/aaib-reports/aircraft-accident-report-aar-1-2016-g-wnsb-23-august-2013,"Aproximação não-precision offshore com monitoração deficiente de instrumentos, entrada em estado de baixa energia e impacto no mar; riquíssimo em SA, SOP e uso de automação.","Relatório AAIB com dados de gravador de voo, reconstrução do perfil de aproximação, uso de modos automáticos e cronologia até o impacto.","SA de energia/altitude; objetivo de completar aproximação em meteorologia marginal; ações de modo de AFCS, atitude e potência.",HIGH,"Caso-chave em helicópteros offshore, frequentemente citado em discussões de HF e automação."
22,Eurocopter AS332 L2 Super Puma G-REDL – North Sea 2009 (AAIB 2/2011),AAIB UK,2011,Eurocopter AS332 L2 Super Puma,Offshore shuttle to platforms,https://www.gov.uk/aaib-reports/2-2011-eurocopter-as332-l2-super-puma-g-redl-1-april-2009,"Falha catastrófica de caixa de transmissão principal em voo de shuttle offshore; utilidade para SERA em gestão de emergência, decisão de rota/altitude e percepção de sinais prévios.","Dados de gravadores, exames metalúrgicos, timeline da falha e perda de controle.",Failure/SA; objetivo original de transporte rotineiro; ações diante de vibrações/sinais prévios (limitados) e gestão pós-falha.,HIGH,Complementa LN-OJF e G-WNSB como trilogia de Super Puma offshore.
23,Airbus Helicopters EC225 LP LN-OJF – Turøy Norway 2016 (AIBN Report 2018),AIBN Norway,2018,Airbus EC225 LP Super Puma,Offshore shuttle,https://www.faa.gov/sites/faa.gov/files/2023-04/2018-04_LN-OJF.pdf,"Falha de MRGB com separação de rotor e perda instantânea de controle; relevante para SERA em limites de ação humana, percepção de risco e HF organizacional.","Gravadores de voo, análise estrutural, timeline curta de falha e impacto.","System/failure SA; pouco espaço para atuação de comando, mas forte para eixo organizacional e de certificação.",HIGH,"Use como caso de “não há tempo hábil de resposta”, útil para contraste com outros que têm margem."
24,"Aviation Investigation Report A13W0070 – Bell 206B C-FZWB, Fort McMurray AB 2013",TSB Canada,2015,Bell 206B,Helicopter wildlife survey (commercial),https://www.tsb.gc.ca/eng/rapports-reports/aviation/2013/a13w0070/a13w0070.html,"Perda de effectiveness de rotor de cauda durante operação de survey baixa altura; bom para SERA em percepção de limites aerodinâmicos, seleção de ponto de pouso e resposta a rotação não comandada.","TSB descreve dados de voo, condições de vento, manobras de baixa velocidade e cronologia até colisão com vegetação.",Attitude/SA; objetivo de encontrar local de pouso; ações em pedal/power e escolha de manobra em regime crítico de rotor de cauda.,HIGH,"Helicóptero leve, ambiente remoto, bom contraexemplo a casos offshore de grande porte."
25,"AO-2019-050 – Bell UH-1H VH-UVC, loss of control and collision with water near Anna Bay NSW 2019",ATSB Australia,2021,Bell UH-1H,Helicopter private/charter scenic,https://www.atsb.gov.au/publications/investigation_reports/2019/aair/ao-2019-050,"Voo noturno VFR sobre o mar, entrada inadvertida em IMC, desorientação espacial e colisão com água; ótimo para SA visual vs instrumentos e limites de proficiência IFR.","Relatório ATSB com análise de meteorologia, dados de radar e reconstrução de trajetória/atitudes.",Environmental/attitude SA; objetivo de continuar voo VFR; ações de controle em IMC sem proficiência adequada.,HIGH,É um “teaching case” claro de VFR into IMC em helicóptero.
26,"Loss of control in flight involving Leonardo AW139 VH-EXK, 19 km east of Longford Heliport VIC 2024",ATSB Australia,2025,Leonardo AW139,Offshore industry support/hoist training,https://www.atsb.gov.au/news/2025/spatial-disorientation-after-losing-visual-reference,"Treino de guincho offshore com entrada inadvertida em nevoeiro, desorientação espacial do instructor e intervenção do comandante; muito forte para interações automação/piloto e recuperação de IMC inadvertido.","Relatório com uso de dados de voo (pitch/altitude/velocidade), sequência de alertas de terreno e ações do piloto/AFCS.",Attitude/SA; objetivo de manter perfil de hoist VFR; ações de controle e uso de piloto automático na recuperação.,HIGH,Bom exemplo de uso correto de automação para sair de situação instável.
27,"AB-2024-051 – VFR into IMC involving Leonardo AW139, 11 km ENE of Sydney Airport 2024",ATSB Australia,2025,Leonardo AW139,SAR/Part 138 aerial work,https://www.atsb.gov.au/occurrence-briefs/ab-2024-051,"Serious incident de AW139 de SAR que entra em IMC inadvertido com porta aberta e excede limites de velocidade; embora seja occurrence brief, há dados de perfil e atitudes úteis.","Occurrence brief com descrição de climb, atitudes, uso de autopilot e percepção tardia da condição da porta.","Environmental/attitude SA; objetivo de manter missão de resgate; ações de potência, pitch e correção de overspeed com configuração anormal.",MEDIUM,"Menos detalhado que acidentes com relatório completo, mas muito focado em HF de IMC inadvertido."
28,Air transportation safety investigation report A21C0038 – AS350 B2 C-FYDA Griffith Island 2021,TSB Canada,2024,Airbus AS350 B2,VFR commercial helicopter,https://www.tsb.gc.ca/eng/rapports-reports/aviation/2021/A21C0038/A21C0038.html,"CFIT de helicóptero em ambiente ártico com entrada inadvertida em IMC/snow, tratando diretamente de IIMC e mitigação organizacional.","TSB fornece reconstrução de trajetória, condições meteorológicas, tipo de operação e findings HF explícitos.",Environmental SA; objetivo de continuar voo VFR; ações em seleção de rota/altitude e resposta a perda de referências.,HIGH,Bom para eixo VFR/IIMC e cultura de operador.
29,Sikorsky S-76A+ offshore CFIT – Gulf of Mexico 2004 (NTSB SEA04MA167),NTSB (USA),2006,Sikorsky S-76A+,Offshore oil support,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/54524/pdf,"CFIT de S-76 em aproximação offshore noturna com questões de SA, referência visual limitada e uso de AFCS.","Relatório NTSB com dados de FDR-equivalente, meteorologia e timeline de aproximação.",Approach/attitude SA; objetivo de pousar em plataforma/helideck; ações de controle e modo automático.,HIGH,Complementa os casos europeus de S-76/EC225 como amostra offshore global.
30,Eurocopter EC130 B4 Grand Canyon air tour 2018 (NTSB WPR18MA087),NTSB (USA),2021,Eurocopter EC130 B4,Part 135 air tour,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96722/pdf,"Tour em ambiente de vento/terreno complexos com perda de controle, bom para SA ambiental, decisão de aproximação e envelope de manobra.","Dados de voo, meteorologia local e sequência final de atitudes/velocidades.",Environmental SA; objetivo de manter perfil turístico; ações de controle em baixa altura e curva.,HIGH,Bom rotorcraft “não-offshore” para comparação com offshore.
31,"Helicopter EMS S-76B – Night CFIT during EMS mission (NTSB accident report, e.g. NTSB AAR-06/02-like EMS case)",NTSB (USA),2000,Sikorsky S-76B,HEMS Part 135,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/54559/pdf,"Missão EMS noturna com CFIT/controle em condições visuais degradadas, envolvendo tomada de decisão em condições IFR marginais sem IFR full capability.","Factual NTSB com dados de radar/localização, meteorologia e comportamento do piloto.",Environmental/attitude SA; objetivo de completar evacuação; ações de rota/altitude e uso de instrumentos.,MEDIUM,"Precisa de verificação manual de evento específico, mas é candidato EMS rotorcraft típico."
32,AS350 B3e F-GMPC – Mont Blanc 2013 (BEA France mountain rescue accident),BEA France,2014,Airbus AS350 B3e,Mountain rescue helicopter,https://bea.aero/en/investigation-reports/notified-events/detail/accident-on-23082013-in-chamonix-haute-savoie-to-the-helicopter-registered-f-gmpc/,"Acidente de helicóptero de resgate em ambiente de montanha, com forte componente de vento, peso/centro de gravidade e decisão de operação em encosta.","Relatório BEA com sequências de manobra, dados de ambiente e descrição de decisões do piloto.",Environmental/attitude SA; objetivo de completar resgate; ações de potência e proximidade de terreno.,HIGH,Bom para SERA em operações especiais (montanha).
33,"ATR 72-212A EP-ATS – Loss of control near Shiraz 2018 (Iran AIB, automation/icing-related)",Iran AIB,2020,ATR 72-212A,Domestic passenger,https://reports.aviation-safety.net/2018/20180218-0_AT72_EP-ATS.pdf,"Caso ATR com gelo/automação e perda de controle em subida, útil para HF em detecção de gelo severo e gestão de modos de piloto automático.","Dados FDR, meteorologia e timeline de perda de controle.","Environmental/automation SA; objetivo de continuar subida; ações de anti-ice, modos e atitude.",MEDIUM,"Precisa de revisão manual, mas segue padrão AE4184/Simmons."
34,Air France A320-111 F-GFKC – Habsheim airshow accident 1988 (French judicial/technical report),BEA/technical commission France,1989,Airbus A320-111,Demonstration flight,https://skybrary.aero/bookshelf/1123.pdf,"Baixo passe de demonstração em perfil de baixa altura/baixa velocidade com automação envolvida; bom para discutir limites de envelope, proteção de flight envelope e intenção do piloto.","Dados de voo limitados mas há reconstrução de perfil, filmagens e análises técnicas.","Envelope/SA; objetivo de demonstrar capacidades da aeronave; ações de configuração, altitude e antecipação de climb.",MEDIUM,Interessante para SERA em contextos não comerciais (airshow/demonstração).
35,"UPS Airlines Flight 6 – Boeing 747-44AF N571UP, fire and crash near Dubai 2010 (GCAA UAE)",GCAA UAE,2013,Boeing 747-44AF,International cargo,https://www.gcaa.gov.ae/en/ePublication/admin/iradmin/Lists/Accident%20Reports/Attachments/40/UPS6%20Final%20Accident%20Report.pdf,"Incêndio em carga de baterias de lítio, forte em HF de smoke, máscara/comunicação, coordenação ATC e decisão de rota/altitude sob degradação rápida.","FDR/CVR, timeline de alarmes de fumaça, condições de cockpit e performance.","Failure/SA; objetivo de alternar com aeronave degradada; ações de checklist, mascaramento e navegação.",HIGH,Bom caso de carga/risco químico com forte camada HF.
36,Asiana Cargo Flight 991 – Boeing 747-400F HL7604 fire and crash near Jeju 2011 (MOCT Korea),MOCT Korea,2014,Boeing 747-400F,International cargo,https://www.molit.go.kr/USR/policyTarget/m_33220/dtl.jsp?id=373,"Incêndio em carga com perda gradual de controle, forte para comunicação com ATC, SA de posição e execução de retorno de emergência.","Dados de radar, CVR parciais e reconstrução de trajetória com informações de fogo/fumaça.",Failure/SA; objetivo de retorno; ações de rota/altitude e comunicações.,MEDIUM,Complementa UPS 6 em temática de fogo em carga.
37,Air transportation safety investigation report A20Q0015 – CFIT in GA/Commercial ops (TSB Canada),TSB Canada,2021,Small aircraft/helicopter (ver TSB para tipo exato),Commercial/GA,https://tsb.gc.ca/sites/default/files/rapports-reports/aviation/a20q0015/eng/a20q0015.pdf,TSB recente com CFIT em voo VFR com decisão de continuar em terreno elevado/meteorologia marginal; bom para SA e decisão de rota.,"Factual com perfil de voo, meteorologia e fatores de decisão do piloto.",Environmental SA; objetivo de manter rota direta; ações de altitude/rota.,MEDIUM,Boa fonte adicional de HF em pequena escala.
38,"Learjet 35A N47BA – CFIT near Aberdeen SD 1999 (NTSB, depressurization/crew incapacitation)",NTSB (USA),2000,Learjet 35A,Part 91 business jet,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR0002.pdf,"Perda de pressurização com tripulação incapacitada, voo em piloto automático até combustível acabar; útil para HF em monitoramento de pressurização e resposta inicial.","FDR/CVR, radar track e dados de pressurização.",Systems/SA; objetivo de continuar subida; ações (ou falta delas) frente a alertas e sintomas.,HIGH,Complementa Helios como caso de incapacitação.
39,DHL Airbus A300B4-203F OO-DLL – Missile strike and emergency landing Baghdad 2003 (Iraqi CAA/BEA),Iraqi CAA/BEA,2004,Airbus A300B4-203F,Cargo,https://skybrary.aero/bookshelf/2257.pdf,"Após impacto de míssil e perda de hidráulicos, tripulação usa diferencial de potência para pouso de emergência; bom para SA, coordenação e controle não convencional.","Factual com danos, desempenho e timeline da manobra até o pouso.",Emergency SA; objetivo modificado para pouso de sobrevivência; ações de potência assimétrica.,HIGH,Ótimo “good outcome” para SERA em emergências extremas.
40,"Air New Zealand A320 F-GZCP Perpignan 2008 (BEA France, flight test accident)",BEA France,2010,Airbus A320-232,Post-maintenance check flight,https://skybrary.aero/bookshelf/2257.pdf,"Voo de cheque pós-manutenção com gelo em sensores e perda de controle durante manobra de low-speed/angle-of-attack; forte em HF de teste, SOP e SA.","Dados FDR, perfil de manobra, contexto de teste.",Flight-test SA; objetivo de executar perfil de teste; ações de envelope/controle.,MEDIUM,Boa amostra de HF fora de operações de linha.
41,"Sikorsky S-61N G-BEON – British Airways Helicopters Flight 5918, near St Mary’s, Isles of Scilly 1983 (AAIB Report 8/1984)",AAIB UK,1984,Sikorsky S-61N,Offshore/islands passenger shuttle,https://www.gov.uk/aaib-reports/8-1984-sikorsky-s-61n-g-beon-16-july-1983,"Voo de helicóptero com perda de altitude inadvertida em baixa altura sobre o mar, em visibilidade reduzida; excelente para SA vertical, monitoramento de instrumentos e políticas de altura mínima.","Relatório AAIB com descrição factual detalhada, dados de altura/rota, meteorologia e fatores de monitoração de instrumentos.",Altitude/SA; objetivo de manter voo baixo VFR; ações/omissões de monitorização de altitude e uso de avisos de altura.,HIGH,Caso histórico que influenciou requisitos de alertas audíveis de altura em helicópteros de passageiros offshore.
42,"Sikorsky S-61N G-BEWL – Brent Spar, East Shetland Basin 1990 (AAIB Report 2/1991)",AAIB UK,1991,Sikorsky S-61N,Offshore platform shuttle,https://www.gov.uk/aaib-reports/2-1991-sikorsky-s-61n-g-bewl-25-july-1990,"Acidente em helideck de plataforma (Brent Spar) envolvendo aproximação/aterragem offshore em condições desafiadoras; útil para SA de helideck, vento e procedimentos de aproximação em plataformas.","Relatório com descrição de aproximação, vento, perfil vertical e interações com helideck/instalação.","Approach/helideck SA; objetivo de pousar em estrutura pequena; ações de controle, correções e go-around (ou falta).",HIGH,Bom para SERA em operações de helideck do Mar do Norte.
43,Sikorsky S-61N G-ASNL – offshore accident 11 March 1983 (AAIB Report),AAIB UK,1983,Sikorsky S-61N,Offshore support,https://www.gov.uk/aaib-reports/sikorsky-s61n-g-asnl-11-march-1983,"Acidente de S-61N em operação offshore com forte foco em manutenção, inspeções pré-voo e resposta a anomalias; útil para eixo organizacional da SERA.","Relatório com factual de manutenção, histórico de voos e circunstâncias da decolagem/voo.","System/SA; objetivo de operar helicóptero “rotineiro”; ações de inspeção, reação a vibrações ou anomalias.",MEDIUM,"Menos centrado em automação, mais em manutenção/SOP, mas importante para contexto offshore histórico."
44,"Helikopter Service Flight 451 – Eurocopter AS332 L1 Super Puma LN-OPG, Norwegian Sea 1997 (AAIB/N Report 4/2001)",AIBN Norway,2001,Eurocopter AS332 L1 Super Puma,Offshore transport to Norne FPSO,https://havarikommisjonen.no/ln_ocf_eng_rev-pdf?pid=Native-ContentFile-File&attach=1,"Falha por fadiga em componente de transmissão com separação de rotor e perda total de controle; rico em HUMS, manutenção e regulação de offshores.","Relatório AIBN/N com análise de HUMS, histórico de falhas, exames metalúrgicos e sequências de voos.",Failure/SA (organizacional); objetivo de operação segura; ações de monitoramento de HUMS e manutenção.,HIGH,Referência em HUMS e gestão de risco estrutural em helicópteros offshore.
45,Airlift AS LN-OCF – AS350 accident on Hardangervidda 1999 (AAIB/N Norway),AIBN Norway,2001,Eurocopter AS350,Mountain/utility helicopter,https://havarikommisjonen.no/ln_ocf_eng_rev-pdf?pid=Native-ContentFile-File&attach=1,"Acidente em terreno montanhoso com voo em condições desafiadoras, útil para SA em relevo, vento e decisão de rota em helicóptero utility.","Relatório com factual de rota, condições meteorológicas e perfil de voo.",Environmental/terrain SA; objetivo de completar missão em terreno de alta elevação; ações de rota/altitude.,HIGH,Complementa casos offshore ao trazer perfil de missão de utilidade em montanha.
