issueId,eventId,issueType,localTxtPath,evidenceSummary,riskLevel,recommendedAction,blocksGatePrep
A4R157-ISSUE-011,TXT-080,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AIR-CANADA-624-TSB-A15H0002.txt,status=DUPLICATE_PATH_SHARED; matched=a15h0002|air|canada|other|tsb,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-012,TXT-028,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,status=DUPLICATE_PATH_SHARED; matched=aar|aircraft|corporat,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-013,TXT-001,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,status=DUPLICATE_PATH_SHARED; matched=2014|aircraft|ec225|other,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-014,TXT-015,WRONG_EVENT_SUSPECTED,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/19__2021__NTSB-USA__Eurocopter-EC130__Aviation-Investigation-Final-Report-WPR18MA08.txt,status=WRONG_EVENT_SUSPECTED; matched=wpr18ma08,HIGH,Potential misattribution; run manual header check,YES
A4R157-ISSUE-015,TXT-029,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,status=DUPLICATE_PATH_SHARED; matched=other,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-016,TXT-032,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,status=DUPLICATE_PATH_SHARED; matched=approach|crash|instrument|nonprecision|other,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-017,TXT-058,WRONG_EVENT_SUSPECTED,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-4__2002__SUST-Switzerland__Avro-RJ100__Crossair-Flight-3597-Avro-RJ100-HB-IXM-CFI.txt,status=WRONG_EVENT_SUSPECTED; matched=other,HIGH,Potential misattribution; run manual header check,YES
A4R157-ISSUE-018,TXT-040,WRONG_EVENT_SUSPECTED,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-11__1986__NTSB-USA__Lockheed-L-1011-TriStar__Delta-Air-Lines-Flight-191-L-1011-DFW-Micro.txt,status=WRONG_EVENT_SUSPECTED; matched=,HIGH,Potential misattribution; run manual header check,YES
A4R157-ISSUE-019,TXT-056,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,status=DUPLICATE_PATH_SHARED; matched=as332|eurocopter|g-wnsb|other|puma|sumbu|super|wnsb,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-020,TXT-061,WRONG_EVENT_SUSPECTED,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-7__2008__CENIPA-Brazil__Boeing-737-8EH__Gol-1907-ASN-mirror.txt,status=WRONG_EVENT_SUSPECTED; matched=,HIGH,Potential misattribution; run manual header check,YES
A4R157-ISSUE-021,TXT-062,WRONG_EVENT_SUSPECTED,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/40__1986__NTSB-USA__Lockheed-L-1011-385-1__NTSB-AAR-86-05-Delta-191.txt,status=WRONG_EVENT_SUSPECTED; matched=,HIGH,Potential misattribution; run manual header check,YES
A4R157-ISSUE-022,TXT-082,JOURNALISM_NOT_REPORT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged.txt,status=JOURNALISM_NOT_REPORT; matched=other,HIGH,Journalism path; keep out of event evidence lane,YES
A4R157-ISSUE-023,TXT-045,WRONG_EVENT_SUSPECTED,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-29__2006__NTSB-USA__Sikorsky-S-76A__Sikorsky-S-76A-offshore-CFIT-Gulf-of-Mexic.txt,status=WRONG_EVENT_SUSPECTED; matched=,HIGH,Potential misattribution; run manual header check,YES
A4R157-ISSUE-024,TXT-064,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.txt,status=DUPLICATE_PATH_SHARED; matched=92a|a09a0016|cougar|other|s-92a,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-025,TXT-068,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.txt,status=DUPLICATE_PATH_SHARED; matched=76a|a13h0001|moosonee|other|s-76a|tsb,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-026,TXT-071,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.txt,status=DUPLICATE_PATH_SHARED; matched=a15h0002|a320|air|canada|halifax|tsb,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-027,TXT-074,DUPLICATE_PATH_SHARED,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/UPS-1354-NTSB-AAR1402.txt,status=DUPLICATE_PATH_SHARED; matched=1354|ntsb|ups,HIGH,Resolve alias ownership before gate-prep,YES
A4R157-ISSUE-028,TXT-069,WRONG_EVENT_SUSPECTED,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-35__2013__GCAA-UAE__Boeing-747-44AF__UPS6-CAA-UK-mirror.txt,status=WRONG_EVENT_SUSPECTED; matched=,HIGH,Potential misattribution; run manual header check,YES
A4R157-ISSUE-029,UNREFERENCED_LOCAL_TXT,JOURNALISM_NOT_REPORT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-2.txt,Present in local corpus inventory but not referenced by integrated registry,HIGH,Keep as non-authoritative context only,YES
A4R157-ISSUE-030,UNREFERENCED_LOCAL_TXT,BULLETIN_OR_MULTI_EVENT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-3.txt,Present in local corpus inventory but not referenced by integrated registry,HIGH,Keep only as indexing aid; exclude from event evidence,YES
A4R157-ISSUE-031,UNREFERENCED_LOCAL_TXT,NON_EVENT_DOCUMENT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-5.txt,Present in local corpus inventory but not referenced by integrated registry,HIGH,Maintain quarantine as out-of-scope reference material,YES
A4R157-ISSUE-032,UNREFERENCED_LOCAL_TXT,NON_EVENT_DOCUMENT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-6.txt,Present in local corpus inventory but not referenced by integrated registry,HIGH,Maintain quarantine as out-of-scope reference material,YES
A4R157-ISSUE-033,UNREFERENCED_LOCAL_TXT,NON_EVENT_DOCUMENT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-7.txt,Present in local corpus inventory but not referenced by integrated registry,HIGH,Maintain quarantine as out-of-scope reference material,YES
A4R157-ISSUE-034,UNREFERENCED_LOCAL_TXT,NON_EVENT_DOCUMENT,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-8.txt,Present in local corpus inventory but not referenced by integrated registry,HIGH,Maintain quarantine as out-of-scope reference material,YES
