eventId,eventName,localTxtPath,pathExists,fileSizeBytes,lineCount,expectedIdentifiers,matchedIdentifiers,missingIdentifiers,integrityStatus,riskLevel,recommendedAction
EXT-A4R149-016,EXECUFLIGHT-1526,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,YES,356449,6346,125|1526|aar|akron|bae|execuflight|execuflight-1526|ext-a4r149-016|ntsb,125|1526|aar|akron|execuflight|ntsb,bae|execuflight-1526|ext-a4r149-016,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
EXT-A4R149-017,CORPORATE-5966,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,YES,272283,4906,5966|aar|aar-06-01|cfit|corporate|corporate-5966|ext-a4r149-017|j32|kirksville|ntsb,5966|aar|corporate|j32|kirksville|ntsb,aar-06-01|cfit|corporate-5966|ext-a4r149-017,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
EXT-A4R149-018,COMAIR-5191,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/COMAIR-5191-NTSB-AAR0705.txt,YES,388755,9062,5191|aar0705|comair|comair-5191|ext-a4r149-018|ntsb|runway|takeoff|wrong,5191|comair|ntsb|runway|takeoff|wrong,aar0705|comair-5191|ext-a4r149-018,PATH_CONFIRMED,LOW,Path integrity looks consistent
EXT-A4R149-018,COMAIR-5191,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/6__2007__NTSB-USA__CRJ-100__Attempted-Takeoff-From-Wrong-Runway-Comair-F.txt,YES,520604,8064,5191|comair|comair-5191|ext-a4r149-018|ntsb|runway|takeoff|wrong,5191|comair|ntsb|runway|takeoff|wrong,comair-5191|ext-a4r149-018,PATH_CONFIRMED,LOW,Path integrity looks consistent
EXT-A4R149-021,EASTERN-401,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/44__1973__NTSB-USA__Lockheed-L-1011-1__Eastern-Air-Lines-Flight-401-NTSB-PDF-Artef.txt,YES,27317,396,1011|401|air|eastern|eastern-401|everglades|ext-a4r149-021|l-1011|lines|ntsb,1011|401|air|eastern|everglades|l-1011|lines|ntsb,eastern-401|ext-a4r149-021,PATH_CONFIRMED,LOW,Path integrity looks consistent
EXT-A4R149-021,EASTERN-401,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/38__1973__NTSB-USA__Lockheed-L-1011-1__NTSB-AAR-73-14-Eastern-401.txt,YES,87142,2045,1011|401|aar-73-14|air|eastern|eastern-401|everglades|ext-a4r149-021|l-1011|lines|ntsb,1011|401|aar-73-14|air|eastern|l-1011|lines|ntsb,eastern-401|everglades|ext-a4r149-021,PATH_CONFIRMED,LOW,Path integrity looks consistent
EXT-A4R149-022,HELIOS-522,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-3__2006__AAIASB-Greece__Boeing-737-31S__Accident-Report-11-2006-Helios-Airways-Flig.txt,YES,558134,7791,2006|522|aaiasb|ext-a4r149-022|helios|helios-522|hypoxia|pressurization,2006|522|aaiasb|helios,ext-a4r149-022|helios-522|hypoxia|pressurization,PATH_CONFIRMED,LOW,Path integrity looks consistent
TXT-019,AAIB-BULLETIN-SIKORSKY-S-76C-G-JCBJ-HEAVY-L,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/30__2004__AAIB-UK__Sikorsky-S-76C__AAIB-Bulletin-Sikorsky-S-76C-G-JCBJ-Heavy-L.txt,YES,4471,90,76c|aaib|aaib-bulletin-sikorsky-s-76c-g-jcbj-heavy-l|bulletin|g-jcbj|heavy|jcbj|other|s-76c|sikorsky|txt-019,76c|aaib|bulletin|g-jcbj|heavy|jcbj|sikorsky,aaib-bulletin-sikorsky-s-76c-g-jcbj-heavy-l|other|s-76c|txt-019,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
TXT-055,ACCIDENT-WITH-A-HELICOPTER-AT-ENKOPING-L-NGTO,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-50__2025__SHK-Sweden__Light-helicopter__Accident-with-a-helicopter-at-Enköping-Långto.txt,YES,47531,1029,accident-with-a-helicopter-at-enkoping-l-ngto|enk|helicopter|l-ngto|ngto|other|ping|txt-055,enk|helicopter|ngto|ping,accident-with-a-helicopter-at-enkoping-l-ngto|l-ngto|other|txt-055,PATH_CONFIRMED,LOW,Path integrity looks consistent
TXT-080,AIR-CANADA-624-TSB-A15H0002,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AIR-CANADA-624-TSB-A15H0002.txt,YES,212577,2249,624|a15h0002|air|air-canada-624-tsb-a15h0002|canada|other|tsb|txt-080,a15h0002|air|canada|other|tsb,624|air-canada-624-tsb-a15h0002|txt-080,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
TXT-010,AIR-FLORIDA-FLIGHT-90-NTSB-AAR-82-08-PDF-AR,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/47__1982__NTSB-USA__Boeing-737-222__Air-Florida-Flight-90-NTSB-AAR-82-08-PDF-ar.txt,YES,377955,5823,aar|aar-82-08|air|air-florida-flight-90-ntsb-aar-82-08-pdf-ar|florida|ntsb|other|pdf|txt-010,air|florida|other,aar|aar-82-08|air-florida-flight-90-ntsb-aar-82-08-pdf-ar|ntsb|pdf|txt-010,PATH_CONFIRMED_WITH_CAUTION,MEDIUM,Keep caution and manual sample review
TXT-047,AIR-INTER-FLIGHT-148-AIRBUS-A320-111-F-GGED,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-18__1993__BEA-France__Airbus-A320-111__Air-Inter-Flight-148-Airbus-A320-111-F-GGED.txt,YES,12341,223,111|148|a320|air|air-inter-flight-148-airbus-a320-111-f-gged|airbus|f-gged|gged|inter|other|txt-047,air|airbus,111|148|a320|air-inter-flight-148-airbus-a320-111-f-gged|f-gged|gged|inter|other|txt-047,NEEDS_MANUAL_REVIEW,MEDIUM,Insufficient automatic confidence
TXT-007,AIR-TRANSPORTATION-SAFETY-INVESTIGATION-REPOR,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/11__2003__TSB-Canada__MD-11__Air-Transportation-Safety-Investigation-Repor.txt,YES,1016506,16391,air|air-transportation-safety-investigation-repor|other|repor|safety|transportation|txt-007,air|other|repor|safety|transportation,air-transportation-safety-investigation-repor|txt-007,PATH_CONFIRMED,LOW,Path integrity looks consistent
TXT-007,AIR-TRANSPORTATION-SAFETY-INVESTIGATION-REPOR,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/46__2021__TSB-Canada__Light-helicopter-or-small-aircraft-see-report-for-exact-type__Air-transportation-safety-investigation-repor.txt,YES,113054,1670,air|air-transportation-safety-investigation-repor|other|repor|safety|transportation|txt-007,air|other|repor|safety|transportation,air-transportation-safety-investigation-repor|txt-007,PATH_CONFIRMED,LOW,Path integrity looks consistent
TXT-003,AIRCRAFT-ACCIDENT-REPORT-1-2005-SIKORSKY-S,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/29__2005__AAIB-UK__Sikorsky-S-76A__Aircraft-Accident-Report-1-2005-Sikorsky-S.txt,YES,6568,163,2005|aircraft|aircraft-accident-report-1-2005-sikorsky-s|other|sikorsky|txt-003,2005|aircraft|other|sikorsky,aircraft-accident-report-1-2005-sikorsky-s|txt-003,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
TXT-030,AIRCRAFT-ACCIDENT-REPORT-4-1990-BOEING-737,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/13__1990__AAIB-UK__Boeing-737-400__Aircraft-Accident-Report-4-1990-Boeing-737.txt,YES,2534,110,1990|737|aircraft|aircraft-accident-report-4-1990-boeing-737|boeing|other|txt-030,1990|737|boeing,aircraft|aircraft-accident-report-4-1990-boeing-737|other|txt-030,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
TXT-027,AIRCRAFT-ACCIDENT-REPORT-7-2008-AEROSPATIAL,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/28__2008__AAIB-UK__Aerospatiale-SA365N-Dauphin__Aircraft-Accident-Report-7-2008-Aerospatial.txt,YES,6125,158,2008|aerospatial|aircraft|aircraft-accident-report-7-2008-aerospatial|other|txt-027,2008|aerospatial|aircraft|other,aircraft-accident-report-7-2008-aerospatial|txt-027,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
TXT-028,AIRCRAFT-ACCIDENT-REPORT-AAR-06-01-CORPORAT,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,YES,272283,4906,aar|aar-06-01|aircraft|aircraft-accident-report-aar-06-01-corporat|corporat|other|txt-028,aar|aircraft|corporat,aar-06-01|aircraft-accident-report-aar-06-01-corporat|other|txt-028,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
TXT-001,AIRCRAFT-ACCIDENT-REPORT-AAR-2-2014-EC225-L,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,YES,651359,11187,2014|aar|aircraft|aircraft-accident-report-aar-2-2014-ec225-l|ec225|other|txt-001,2014|aircraft|ec225|other,aar|aircraft-accident-report-aar-2-2014-ec225-l|txt-001,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
TXT-012,AIRCRAFT-ACCIDENT-REPORT-AAR-3-2015-EUROCOP,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/14__2015__AAIB-UK__Eurocopter-EC135-T2__Aircraft-Accident-Report-AAR-3-2015-Eurocop.txt,YES,3818,139,2015|aar|aircraft|aircraft-accident-report-aar-3-2015-eurocop|eurocop|other|txt-012,2015|aar|aircraft|eurocop|other,aircraft-accident-report-aar-3-2015-eurocop|txt-012,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
TXT-033,AIRCRAFT-ACCIDENT-REPORT-AAR-79-07-UNITED-A,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/21__1979__NTSB-USA__McDonnell-Douglas-DC-8-61__Aircraft-Accident-Report-AAR-79-07-United-A.txt,YES,161740,3224,aar|aar-79-07|aircraft|aircraft-accident-report-aar-79-07-united-a|other|txt-033|united,aar|aircraft|united,aar-79-07|aircraft-accident-report-aar-79-07-united-a|other|txt-033,PATH_CONFIRMED_WITH_CAUTION,MEDIUM,Keep caution and manual sample review
TXT-013,AIRCRAFT-ACCIDENT-REPORT-AAR-86-05-DELTA-AI,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/40__1986__NTSB-USA__Lockheed-L-1011-385-1-TriStar__Aircraft-Accident-Report-AAR-86-05-Delta-Ai.txt,YES,23120,409,aar|aar-86-05|aircraft|aircraft-accident-report-aar-86-05-delta-ai|delta|l-1011|other|txt-013,,aar|aar-86-05|aircraft|aircraft-accident-report-aar-86-05-delta-ai|delta|l-1011|other|txt-013,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
TXT-016,AIRCRAFT-ACCIDENT-REPORT-AAR-90-06-UNITED-A,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/22__1990__NTSB-USA__DC-10-10__Aircraft-Accident-Report-AAR-90-06-United-A.txt,YES,415712,6568,aar|aar-90-06|aircraft|aircraft-accident-report-aar-90-06-united-a|other|txt-016|united,aar|aircraft|united,aar-90-06|aircraft-accident-report-aar-90-06-united-a|other|txt-016,PATH_CONFIRMED_WITH_CAUTION,MEDIUM,Keep caution and manual sample review
TXT-024,AIRCRAFT-ACCIDENT-REPORT-AAR-91-08-RUNWAY-C,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/36__1991__NTSB-USA__Boeing-737-300-Fairchild-Metroliner-SA-227-AC__Aircraft-Accident-Report-AAR-91-08-Runway-C.txt,YES,429646,7529,aar|aar-91-08|aircraft|aircraft-accident-report-aar-91-08-runway-c|other|runway|txt-024,aircraft|runway,aar|aar-91-08|aircraft-accident-report-aar-91-08-runway-c|other|txt-024,PATH_CONFIRMED_WITH_CAUTION,MEDIUM,Keep caution and manual sample review
TXT-011,AIRCRAFT-ACCIDENT-REPORT-AAR-96-01-SIMMONS,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/23__1996__NTSB-USA__ATR-72-212__Aircraft-Accident-Report-AAR-96-01-Simmons.txt,YES,551900,14584,aar|aar-96-01|aircraft|aircraft-accident-report-aar-96-01-simmons|other|simmons|txt-011,aar|aircraft|simmons,aar-96-01|aircraft-accident-report-aar-96-01-simmons|other|txt-011,PATH_CONFIRMED_WITH_CAUTION,MEDIUM,Keep caution and manual sample review
TXT-020,AMERICAN-1420,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AMERICAN-1420-NTSB-AAR0102.txt,YES,570809,12826,1420|aar0102|american|american-1420|other|txt-020,1420|american,aar0102|american-1420|other|txt-020,PATH_CONFIRMED_WITH_CAUTION,MEDIUM,Keep caution and manual sample review
TXT-020,AMERICAN-1420,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/4__2001__NTSB-USA__MD-82__Runway-Overrun-During-Landing-American-Airli.txt,YES,645163,10726,1420|american|american-1420|other|txt-020,1420|american,american-1420|other|txt-020,PATH_CONFIRMED_WITH_CAUTION,MEDIUM,Keep caution and manual sample review
TXT-004,AMERICAN-965,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AMERICAN-965-CALI-ACCIDENT-REPORT.txt,YES,143869,2218,965|american|american-965|other|txt-004,965|american|other,american-965|txt-004,PATH_CONFIRMED,LOW,Path integrity looks consistent
TXT-004,AMERICAN-965,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/24__1996__Aeronautica-Civil-Colombia__Boeing-757-223__Controlled-Flight-Into-Terrain-American-Air.txt,YES,153455,2772,965|american|american-965|other|txt-004,965|american|other,american-965|txt-004,PATH_CONFIRMED,LOW,Path integrity looks consistent
TXT-054,ATLAS-3591,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-1__2020__NTSB-USA__Boeing-767-375BCF__Atlas-Air-Flight-3591-Rapid-Descent-and-Cra.txt,YES,347613,6605,3591|atlas|atlas-3591|other|txt-054,3591|atlas,atlas-3591|other|txt-054,PATH_CONFIRMED_WITH_CAUTION,MEDIUM,Keep caution and manual sample review
TXT-015,AVIATION-INVESTIGATION-FINAL-REPORT-WPR18MA08,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/19__2021__NTSB-USA__Eurocopter-EC130__Aviation-Investigation-Final-Report-WPR18MA08.txt,YES,61040,977,aviation-investigation-final-report-wpr18ma08|other|txt-015|wpr18ma08,wpr18ma08,aviation-investigation-final-report-wpr18ma08|other|txt-015,WRONG_EVENT_SUSPECTED,HIGH,Potential misattribution; run manual header check
TXT-029,BS211-Q400,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,YES,836918,14920,bs211|bs211-q400|other|q400|txt-029,other,bs211|bs211-q400|q400|txt-029,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
TXT-005,CRASH-DURING-NIGHTTIME-NONPRECISION-APPROACH,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/3__2014__NTSB-USA__Airbus-A300-600F__Crash-During-Nighttime-Nonprecision-Approach.txt,YES,438092,7614,approach|crash|crash-during-nighttime-nonprecision-approach|nighttime|nonprecision|other|txt-005,approach|crash|nighttime|nonprecision,crash-during-nighttime-nonprecision-approach|other|txt-005,PATH_CONFIRMED,LOW,Path integrity looks consistent
TXT-032,CRASH-DURING-NONPRECISION-INSTRUMENT-APPROACH,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,YES,356449,6346,approach|crash|crash-during-nonprecision-instrument-approach|instrument|nonprecision|other|txt-032,approach|crash|instrument|nonprecision|other,crash-during-nonprecision-instrument-approach|txt-032,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
TXT-031,CRASH-OF-PINNACLE-AIRLINES-FLIGHT-3701-CRJ-20,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/33__2007__NTSB-USA__CRJ-200__Crash-of-Pinnacle-Airlines-Flight-3701-CRJ-20.txt,YES,533534,7777,3701|airlines|crash|crash-of-pinnacle-airlines-flight-3701-crj-20|crj|other|pinnacle|txt-031,3701|airlines|crash|pinnacle,crash-of-pinnacle-airlines-flight-3701-crj-20|crj|other|txt-031,PATH_CONFIRMED,LOW,Path integrity looks consistent
TXT-058,CROSSAIR-FLIGHT-3597-AVRO-RJ100-HB-IXM-CFI,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-4__2002__SUST-Switzerland__Avro-RJ100__Crossair-Flight-3597-Avro-RJ100-HB-IXM-CFI.txt,YES,1016896,16408,3597|avro|cfi|crossair|crossair-flight-3597-avro-rj100-hb-ixm-cfi|ixm|other|rj100|txt-058,other,3597|avro|cfi|crossair|crossair-flight-3597-avro-rj100-hb-ixm-cfi|ixm|rj100|txt-058,WRONG_EVENT_SUSPECTED,HIGH,Potential misattribution; run manual header check
TXT-040,DELTA-AIR-LINES-FLIGHT-191-L-1011-DFW-MICRO,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-11__1986__NTSB-USA__Lockheed-L-1011-TriStar__Delta-Air-Lines-Flight-191-L-1011-DFW-Micro.txt,YES,23120,409,1011|191|air|delta|delta-air-lines-flight-191-l-1011-dfw-micro|dfw|l-1011|lines|micro|other|txt-040,,1011|191|air|delta|delta-air-lines-flight-191-l-1011-dfw-micro|dfw|l-1011|lines|micro|other|txt-040,WRONG_EVENT_SUSPECTED,HIGH,Potential misattribution; run manual header check
TXT-056,EUROCOPTER-AS332-L2-SUPER-PUMA-G-WNSB-SUMBU,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,YES,10761,185,as332|eurocopter|eurocopter-as332-l2-super-puma-g-wnsb-sumbu|g-wnsb|other|puma|sumbu|super|txt-056|wnsb,as332|eurocopter|g-wnsb|other|puma|sumbu|super|wnsb,eurocopter-as332-l2-super-puma-g-wnsb-sumbu|txt-056,DUPLICATE_PATH_SHARED,HIGH,Resolve alias ownership before gate-prep
TXT-049,EUROCOPTER-EC130-B4-GRAND-CANYON-AIR-TOUR-201,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-30__2021__NTSB-USA__Eurocopter-EC130-B4__Eurocopter-EC130-B4-Grand-Canyon-air-tour-201.txt,YES,61040,977,201|air|canyon|ec130|eurocopter|eurocopter-ec130-b4-grand-canyon-air-tour-201|grand|other|tour|txt-049,201|air|canyon|ec130|eurocopter|grand|tour,eurocopter-ec130-b4-grand-canyon-air-tour-201|other|txt-049,PATH_CONFIRMED,LOW,Path integrity looks consistent
TXT-017,FINAL-REPORT-ACCIDENT-TO-AIRBUS-A330-203-F,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/7__2012__BEA-France__Airbus-A330-203__Final-Report-Accident-to-Airbus-A330-203-F.txt,YES,2622,112,203|a330|airbus|final-report-accident-to-airbus-a330-203-f|other|txt-017,203|a330|airbus,final-report-accident-to-airbus-a330-203-f|other|txt-017,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
TXT-079,FIRST-AIR-6560-TSB-A11H0002,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/FIRST-AIR-6560-TSB-A11H0002.txt,YES,6279,310,6560|a11h0002|air|first|first-air-6560-tsb-a11h0002|other|tsb|txt-079,6560|a11h0002|air|first|tsb,first-air-6560-tsb-a11h0002|other|txt-079,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
TXT-081,G-BLUN-OFFSHORE-AAIB-AAR-7-2008,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/G-BLUN-OFFSHORE-AAIB-AAR-7-2008.txt,YES,6218,251,2008|aaib|aar|blun|g-blun|g-blun-offshore-aaib-aar-7-2008|offshore|other|txt-081,2008|aar|blun|g-blun|other,aaib|g-blun-offshore-aaib-aar-7-2008|offshore|txt-081,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
TXT-067,G-REDL-AAIB-2-2011,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-22__2011__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__G-REDL-AAIB-2-2011.txt,YES,7347,1,2011|aaib|g-redl|g-redl-aaib-2-2011|other|redl|txt-067,2011|aaib|g-redl|other|redl,g-redl-aaib-2-2011|txt-067,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
TXT-061,GOL-1907-ASN-MIRROR,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-7__2008__CENIPA-Brazil__Boeing-737-8EH__Gol-1907-ASN-mirror.txt,YES,787041,12202,1907|asn|gol|gol-1907-asn-mirror|mirror|other|txt-061,,1907|asn|gol|gol-1907-asn-mirror|mirror|other|txt-061,WRONG_EVENT_SUSPECTED,HIGH,Potential misattribution; run manual header check
TXT-044,HELICOPTER-EMS-S-76B-NIGHT-CFIT-DURING-EMS,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-31__2000__NTSB-USA__Sikorsky-S-76B__Helicopter-EMS-S-76B-Night-CFIT-during-EMS.txt,YES,13026,220,76b|cfit|ems|helicopter|helicopter-ems-s-76b-night-cfit-during-ems|night|other|s-76b|txt-044,helicopter|other,76b|cfit|ems|helicopter-ems-s-76b-night-cfit-during-ems|night|s-76b|txt-044,OCR_TOO_POOR_TO_VALIDATE,MEDIUM,Improve OCR/text quality before use
