"file_path","line","error_code","error_summary","category","likely_scope","fix_strategy","risk_level","fix_status"
"tests/sera-vnext/dry-run-trial-set-1.ts","416","TS2339","validation map lost typed result access","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for validation results","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","418","TS2339","validation map lost typed result access","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for validation results","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","419","TS2339","validation map lost typed result access","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for validation results","low","CLOSED"
"tests/sera-vnext/dry-run-trial-set-1.ts","420","TS2339","validation map lost typed result access","TEST_TYPE_ERROR","trial assertions","restore explicit map typing for validation results","low","CLOSED"
"tests/sera-vnext/escape-point-adapter-wiring-trial-001.ts","408","TS2339","leaf candidate property was accessed after null assertion","TEST_TYPE_ERROR","trial assertion","remove redundant post-null property access","low","CLOSED"
"tests/sera-vnext/evidence-categories-passive-trial-001.ts","31","TS2322","released-code helper accepted broad string input","TEST_TYPE_ERROR","trial helper","narrow helper input and cast local non-existent injection only","low","CLOSED"
"tests/sera-vnext/evidence-category-coverage-trial-001.ts","31","TS2322","released-code helper accepted broad string input","TEST_TYPE_ERROR","trial helper","narrow helper input and cast local non-existent injection only","low","CLOSED"
"tests/sera-vnext/evidence-category-coverage-trial-001.ts","106","TS2322","passive evidence item literals widened to generic string","TEST_TYPE_ERROR","trial fixture data","use satisfies and const source literals","low","CLOSED"
"tests/sera-vnext/manual-classification-trial-001.ts","134","TS7053","axis loop widened to string during poaClassification indexing","TEST_TYPE_ERROR","trial assertion","use const axis tuple for safe indexing","low","CLOSED"
"tests/sera-vnext/oe-nonexistent-normalization-trial-001.ts","47","TS2322","non-existent objective code was intentionally injected into release gate","TEST_TYPE_ERROR","negative-control trial","cast local invalid injection without widening runtime type","low","CLOSED"
"tests/sera-vnext/oe-nonexistent-normalization-trial-001.ts","74","TS2322","non-existent objective code was intentionally injected into semantic gate","TEST_TYPE_ERROR","negative-control trial","cast local invalid injection without widening runtime type","low","CLOSED"
"tests/sera-vnext/opus-gap-prioritization-a4r197c-trial-001.ts","93","TS1501","regex used a flag above current compiler target","TEST_TYPE_ERROR","trial compatibility","rewrite pattern with explicit multiline character class","low","CLOSED"
"tests/sera-vnext/opus-synthetic-design-review-a4r197d-trial-001.ts","88","TS1501","regex used a flag above current compiler target","TEST_TYPE_ERROR","trial compatibility","rewrite pattern with explicit multiline character class","low","CLOSED"
"tests/sera-vnext/opus-synthetic-design-review-a4r197d-trial-001.ts","91","TS1501","regex used a flag above current compiler target","TEST_TYPE_ERROR","trial compatibility","rewrite pattern with explicit multiline character class","low","CLOSED"
"tests/sera-vnext/preconditions-from-released-codes-trial-001.ts","163","TS2322","non-existent objective code was intentionally injected into semantic result","TEST_TYPE_ERROR","negative-control trial","cast local invalid injection without widening runtime type","low","CLOSED"
"tests/sera-vnext/preconditions-traceability-refinement-trial-001.ts","32","TS2322","single-axis gate helper accepted broad string input","TEST_TYPE_ERROR","trial helper","narrow helper input and cast local non-existent injection only","low","CLOSED"
"tests/sera-vnext/preconditions-traceability-refinement-trial-001.ts","217","TS2322","non-existent objective code was intentionally injected into semantic result","TEST_TYPE_ERROR","negative-control trial","cast local invalid injection without widening runtime type","low","CLOSED"
"tests/sera-vnext/real-event-reentry-american-965-trial-001.ts","120","TS18048","optional adapter refs were dereferenced before narrowing","TEST_TYPE_ERROR","trial bridge assertions","assert adapter maps exist before property access","low","CLOSED"
"tests/sera-vnext/real-event-reentry-american-965-trial-001.ts","121","TS18048","optional adapter refs were dereferenced before narrowing","TEST_TYPE_ERROR","trial bridge assertions","assert adapter maps exist before property access","low","CLOSED"
"tests/sera-vnext/real-event-reentry-american-965-trial-001.ts","122","TS18048","optional adapter refs were dereferenced before narrowing","TEST_TYPE_ERROR","trial bridge assertions","assert adapter maps exist before property access","low","CLOSED"
"tests/sera-vnext/real-event-reentry-american-965-trial-001.ts","123","TS18048","optional adapter refs were dereferenced before narrowing","TEST_TYPE_ERROR","trial bridge assertions","assert adapter maps exist before property access","low","CLOSED"
"tests/sera-vnext/real-event-reentry-american-965-trial-001.ts","124","TS18048","optional adapter refs were dereferenced before narrowing","TEST_TYPE_ERROR","trial bridge assertions","assert adapter maps exist before property access","low","CLOSED"
"tests/sera-vnext/real-event-reentry-american-965-trial-001.ts","125","TS18048","optional adapter refs were dereferenced before narrowing","TEST_TYPE_ERROR","trial bridge assertions","assert adapter maps exist before property access","low","CLOSED"
"tests/sera-vnext/real-event-reentry-american-965-trial-001.ts","126","TS18048","optional adapter refs were dereferenced before narrowing","TEST_TYPE_ERROR","trial bridge assertions","assert adapter maps exist before property access","low","CLOSED"
"tests/sera-vnext/real-event-reentry-american-965-trial-001.ts","127","TS18048","optional adapter refs were dereferenced before narrowing","TEST_TYPE_ERROR","trial bridge assertions","assert adapter maps exist before property access","low","CLOSED"
"tests/sera-vnext/real-event-reentry-american-965-trial-001.ts","128","TS18048","optional adapter refs were dereferenced before narrowing","TEST_TYPE_ERROR","trial bridge assertions","assert adapter maps exist before property access","low","CLOSED"
"tests/sera-vnext/real-event-reentry-batch3-trial-001.ts","174","TS2367","comparison against non-existent objective literal had no type overlap","TEST_TYPE_ERROR","trial assertion","compare through widened string value","low","CLOSED"
"tests/sera-vnext/real-event-reentry-source-enrichment-decision-trial-001.ts","48","TS2344","CSV parser generic required an index signature that row interface did not declare","DOCS_HELPER_TYPE_ERROR","doc-validation helper","relax generic to parsed object output and keep string-row casting local","low","CLOSED"
"tests/sera-vnext/real-event-reentry-source-enrichment-decision-trial-001.ts","52","TS2344","CSV parser generic required an index signature that row interface did not declare","DOCS_HELPER_TYPE_ERROR","doc-validation helper","relax generic to parsed object output and keep string-row casting local","low","CLOSED"
"tests/sera-vnext/real-event-source-enrichment-batch-trial-001.ts","53","TS2344","CSV parser generic required an index signature that row interface did not declare","DOCS_HELPER_TYPE_ERROR","doc-validation helper","relax generic to parsed object output and keep string-row casting local","low","CLOSED"
"tests/sera-vnext/real-event-source-enrichment-batch2-trial-001.ts","50","TS2344","CSV parser generic required an index signature that row interface did not declare","DOCS_HELPER_TYPE_ERROR","doc-validation helper","relax generic to parsed object output and keep string-row casting local","low","CLOSED"
"tests/sera-vnext/synthetic-pilot-gap001-case-draft-design-trial-001.ts","75","TS2367","distinct-agent assertion compared fully narrowed literals","TEST_TYPE_ERROR","trial assertion","widen comparison through string conversion before equality assertions","low","CLOSED"
"tests/sera/compare-baseline.ts","243","TS2339","diff-tag lookup object omitted unchanged or skipped keys from its inferred type","SCRIPT_TYPE_ERROR","legacy comparison helper","replace inline lookup with typed partial record","low","CLOSED"
"tests/sera/compare-baseline.ts","243","TS2339","diff-tag lookup object omitted unchanged or skipped keys from its inferred type","SCRIPT_TYPE_ERROR","legacy comparison helper","replace inline lookup with typed partial record","low","CLOSED"
"tests/sera/compare-baseline.ts","271","TS2339","diff-tag lookup object omitted unchanged or skipped keys from its inferred type","SCRIPT_TYPE_ERROR","legacy comparison helper","replace inline lookup with typed partial record","low","CLOSED"
"tests/sera/compare-baseline.ts","271","TS2339","diff-tag lookup object omitted unchanged or skipped keys from its inferred type","SCRIPT_TYPE_ERROR","legacy comparison helper","replace inline lookup with typed partial record","low","CLOSED"
