candidateId,officialReportTitle,agency,year,aircraft,operationType,officialUrl,whyUsefulForSERA,factualDataAvailable,likelyHumanFactorAxis,sourceConfidence,notes,downloadStatus,finalUrl,contentType,localFile,txtFile,fileSizeBytes,sha256,textExtractionStatus,notesArchive
11,Air Transportation Safety Investigation Report A98H0003 – Swissair Flight 111,TSB Canada,2003,MD-11,International passenger,https://tsb.gc.ca/sites/default/files/rapports-reports/aviation/a98h0003/eng/a98h0003.pdf,"In-flight fire and complex emergency management, diversion decisions and checklist execution.","CVR/FDR, electrical/fire event timeline, ATC comms.",Failure/SA; intention balancing troubleshooting vs immediate landing; emergency action sequences.,HIGH,Rich multi-minute emergency sequence for SERA.,DOWNLOADED,https://tsb.gc.ca/sites/default/files/rapports-reports/aviation/a98h0003/eng/a98h0003.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/11__2003__TSB-Canada__MD-11__Air-Transportation-Safety-Investigation-Repor.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/11__2003__TSB-Canada__MD-11__Air-Transportation-Safety-Investigation-Repor.txt,8587591,af29835c9ba364c43898f0bc8a82927ca3441a6afd745391cf018b99863af1da,TXT_EXTRACTED,
12,Air Transportation Safety Investigation A13H0001 – Ornge Sikorsky S-76A Moosonee,TSB Canada,2016,Sikorsky S-76A,HEMS night VFR,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2013/a13h0001/a13h0001.htm,"Night VFR helicopter loss of control shortly after takeoff; training, SOP, NVFR issues.","CVR/FDR-equivalent, very short but detailed sequence.",Attitude/SA; intention to fly standard departure; control and checklist actions.,HIGH,Good rotorcraft HF example with strong organizational context.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
13,Aircraft Accident Report 4/1990 – Boeing 737-400 G-OBME Kegworth,AAIB UK,1990,Boeing 737-400,Public transport passenger,https://web.archive.org/web/20120601192813/http://www.aaib.gov.uk/publications/formal_reports/4_1990_g_obme.cfm,"Engine misidentification, misdiagnosis of failure, and HF/psychology of cue interpretation.","FDR/CVR, detailed engine performance and crew action timeline.",System perception; intention to secure failed engine; power lever/configuration actions.,HIGH,Includes dedicated aviation psychology analysis.,DOWNLOADED,https://web.archive.org/web/20120601192813/http://www.aaib.gov.uk/publications/formal_reports/4_1990_g_obme.cfm,text/html; charset=UTF-8,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/13__1990__AAIB-UK__Boeing-737-400__Aircraft-Accident-Report-4-1990-Boeing-737.html,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/13__1990__AAIB-UK__Boeing-737-400__Aircraft-Accident-Report-4-1990-Boeing-737.txt,28849,7e8ae1d830b8353e48da4a75d5adaa2acaa3c95402ef4992838153b3b32e25da,TXT_EXTRACTED,
14,Aircraft Accident Report AAR 3/2015 – Eurocopter EC135 T2+ G-SPAO Glasgow,AAIB UK,2015,Eurocopter EC135 T2+,Police helicopter,https://www.gov.uk/government/news/aircraft-accident-report-aar-32015-g-spao-29-november-2013,Dual engine flameout due to fuel management; monitoring and alert response in police mission.,"Flight data, fuel system states, sequence to power loss.",System monitoring; intention to continue task vs manage fuel; checklist/non-response actions.,HIGH,Strong for systems- and mission-driven HF in rotorcraft.,DOWNLOADED,https://www.gov.uk/government/news/aircraft-accident-report-aar-32015-g-spao-29-november-2013,text/html; charset=utf-8,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/14__2015__AAIB-UK__Eurocopter-EC135-T2__Aircraft-Accident-Report-AAR-3-2015-Eurocop.html,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/14__2015__AAIB-UK__Eurocopter-EC135-T2__Aircraft-Accident-Report-AAR-3-2015-Eurocop.txt,65683,5e9752a6dbf1083fd0911037e192b314cd8c796154b3ae850bddb6ea211f1163,TXT_EXTRACTED,
15,Aircraft Accident Report AAR 2/2014 – EC225 LP Super Puma G-REDW & G-CHCN North Sea Ditchings,AAIB UK,2014,Eurocopter EC225 LP,Offshore transport,https://assets.publishing.service.gov.uk/media/5422fbaaed915d1374000833/2-2014_G-REDW_and_G-CHCN.pdf,Main gearbox issues and managed ditchings; emergency decision-making offshore.,"Flight data, oil pressure sequences, ditching timelines.",Failure/SA; intention when to ditch; emergency checklist and communication actions.,HIGH,Good for controlled-emergency HF analysis.,DOWNLOADED,https://assets.publishing.service.gov.uk/media/5422fbaaed915d1374000833/2-2014_G-REDW_and_G-CHCN.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,5125176,95b9751488ee7637ed4fcad77e63c05d95c83388b712c3c24796b3ccf13f8a0e,TXT_EXTRACTED,
16,In-flight Upset 154 km West of Learmonth – Qantas Flight 72 (ATSB AO-2008-070),ATSB Australia,2011,Airbus A330-303,International passenger,https://www.atsb.gov.au/sites/default/files/media/5776944/ao-2008-070_final.pdf,"Autoflight/ADIRU malfunction, spurious pitch-down commands, and crew response.","FDR/CVR, ECAM messages, upset timeline.",Automation anomaly SA; intention to manage ECAM vs hand-fly; upset recovery actions.,HIGH,Key automation anomaly HF case.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,timeout('The read operation timed out')
17,Hard Landing Involving ATR 72 VH-FVZ Canberra (ATSB AO-2017-111),ATSB Australia,2019,ATR 72-600,RPT regional passenger,https://www.atsb.gov.au/sites/default/files/media/5776944/ao-2017-111_final.pdf,Unstable/visual approach with check captain on board; crew workload and monitoring issues.,"FDR, approach profiles, crew role descriptions.",Approach monitoring; continuation of unstable approach; attitude/power actions.,HIGH,Modern regional operations HF example.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,timeout('The read operation timed out')
18,Airbus Helicopters EC225 LP LN-OJF Turøy Norway Accident Report,AIBN Norway,2018,Airbus EC225 LP,Offshore transport,https://www.faa.gov/sites/faa.gov/files/2023-04/2018-04_LN-OJF.pdf,Catastrophic gearbox failure with rotor separation; emergency context and organizational HF.,"FDR/CVR, structural analysis, final-phase timeline.","Failure perception; limited scope for pilot action, but good for system-level HF.",HIGH,"Use mainly for system/organizational HF, not classic decision-making sequence.",DOWNLOADED,https://www.faa.gov/sites/faa.gov/files/2023-04/2018-04_LN-OJF.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/18__2018__AIBN-Norway__Airbus-EC225-LP__Airbus-Helicopters-EC225-LP-LN-OJF-Turøy-Norw.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/18__2018__AIBN-Norway__Airbus-EC225-LP__Airbus-Helicopters-EC225-LP-LN-OJF-Turøy-Norw.txt,8108446,94b737306a2c34b4f4a8ed6f02f6afeda5647ae6b09e258b5cf241d3b9e0a066,TXT_EXTRACTED,
19,Aviation Investigation Final Report WPR18MA087 – EC130 Grand Canyon Air Tour,NTSB (USA),2021,Eurocopter EC130,Part 135 air tour,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96722/pdf,Loss of control air-tour helicopter in complex wind/terrain; tour-ops decision-making.,"Flight data equivalent, weather, approach path timeline.",Environmental SA; intention to complete scenic profile; control inputs in low-altitude maneuvering.,HIGH,Good for commercial sightseeing HF.,DOWNLOADED,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96722/pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/19__2021__NTSB-USA__Eurocopter-EC130__Aviation-Investigation-Final-Report-WPR18MA08.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/19__2021__NTSB-USA__Eurocopter-EC130__Aviation-Investigation-Final-Report-WPR18MA08.txt,6264907,6dd220e718b7017c74a97c2257ffd2af3bc13d9bd93015eb5d92db23f170c316,TXT_EXTRACTED,
20,"TSB Unstable Approaches/CRM cluster – A11H0002, A05H0002, A15H0002 backgrounder",TSB Canada,2014,"Various (B737-200, A320, A340)",Mixed scheduled/charter passenger,https://www.bst-tsb.gc.ca/eng/medias-media/communiques/aviation/2014/a11h0002-20140325.htm,Meta-summary highlighting unstable approaches and crew communication across several accidents.,Each underlying report has full CVR/FDR and timelines; backgrounder links them.,Comparative SA/monitoring; continuation bias; action/inaction patterns across cases.,HIGH,Use as index to multiple HF-rich accidents.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
21,Aircraft Accident Report AAR-79-07 – United Airlines Flight 173 Portland,NTSB (USA),1979,McDonnell Douglas DC-8-61,Part 121 scheduled passenger,https://www.faa.gov/sites/faa.gov/files/2022-11/AAR79-07%20(United%20Flight%20173%20accident%20report).pdf,Fuel exhaustion after prolonged gear-issue troubleshooting; CRM and prioritization failure.,"Full CVR/FDR, holding/approach timeline.",Resource/SA; fixation on gear issue; fuel-management actions/omissions.,HIGH,Seminal CRM accident.,DOWNLOADED,https://www.faa.gov/sites/faa.gov/files/2022-11/AAR79-07%20(United%20Flight%20173%20accident%20report).pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/21__1979__NTSB-USA__McDonnell-Douglas-DC-8-61__Aircraft-Accident-Report-AAR-79-07-United-A.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/21__1979__NTSB-USA__McDonnell-Douglas-DC-8-61__Aircraft-Accident-Report-AAR-79-07-United-A.txt,2876437,81ae9fdb36061e315ddd8b240e3e08cd062ce3f8ad5a6e733b07abc7f251373f,TXT_EXTRACTED,
22,Aircraft Accident Report AAR-90-06 – United Airlines Flight 232 Sioux City,NTSB (USA),1990,DC-10-10,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/accidentreports/Reports/AAR-90-06.pdf,Total hydraulic failure and improvised thrust-only control; high-stakes decision/coordination.,"CVR/FDR, system data, emergency timeline.",Emergency SA; goal redefinition; thrust-only control actions.,HIGH,Gold-standard case in emergency CRM.,DOWNLOADED,https://www.ntsb.gov/investigations/accidentreports/Reports/AAR-90-06.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/22__1990__NTSB-USA__DC-10-10__Aircraft-Accident-Report-AAR-90-06-United-A.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/22__1990__NTSB-USA__DC-10-10__Aircraft-Accident-Report-AAR-90-06-United-A.txt,3816407,ddffe3bde1ef9860dae754b3ec4b61709088cfd96ace1e1d32dd8f667f8b6c9d,TXT_EXTRACTED,
23,Aircraft Accident Report AAR-96-01 – Simmons/American Eagle Flight 4184 Roselawn,NTSB (USA),1996,ATR 72-212,Part 121 scheduled passenger,https://www.faa.gov/sites/faa.gov/files/2022-11/NTSB_VolII.pdf,Icing encounter and LOC in holding; limitations in ice-accumulation awareness and procedures.,"CVR/FDR, icing buildup and upset timeline.",Environmental SA; decision to remain in hold; autopilot/configuration actions.,HIGH,Core icing/HF reference.,DOWNLOADED,https://www.faa.gov/sites/faa.gov/files/2022-11/NTSB_VolII.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/23__1996__NTSB-USA__ATR-72-212__Aircraft-Accident-Report-AAR-96-01-Simmons.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/23__1996__NTSB-USA__ATR-72-212__Aircraft-Accident-Report-AAR-96-01-Simmons.txt,4498616,24c2f691213a17660b57375cc265ca7d62178cdc5df5ba95ccf5e204f3de7431,TXT_EXTRACTED,
24,Controlled Flight Into Terrain – American Airlines Flight 965 Cali,Aeronautica Civil Colombia,1996,Boeing 757-223,International scheduled passenger,https://www.faa.gov/sites/faa.gov/files/2022-11/Cali_Accident_Report.pdf,"RNAV CFIT after FMS waypoint error; nav-mode, situational awareness and go-around decision.","CVR/FDR, FMS entries, path reconstruction.",Lateral SA; continuation in wrong valley; FMS/programming and go-around actions.,HIGH,Benchmark FMS/CFIT accident.,DOWNLOADED,https://www.faa.gov/sites/faa.gov/files/2022-11/Cali_Accident_Report.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/24__1996__Aeronautica-Civil-Colombia__Boeing-757-223__Controlled-Flight-Into-Terrain-American-Air.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/24__1996__Aeronautica-Civil-Colombia__Boeing-757-223__Controlled-Flight-Into-Terrain-American-Air.txt,1245060,dbaac9d393791edae0620615a230685ea9277b9c1495eab305008c236d3426e4,TXT_EXTRACTED,
25,Collision with Terrain 11 km NW Lockhart River Aerodrome VH-TFU (ATSB 200501977),ATSB Australia,2007,Fairchild Metro 23,RPT IFR passenger,https://www.atsb.gov.au/sites/default/files/media/25103/aair200501977_IFR2_001.pdf,RNAV approach CFIT in remote area; chart/procedure comprehension and monitoring.,"Flight recorder data, nav path, approach timeline.",Approach SA; intention to fly RNAV as cleared; altitude/path management actions.,HIGH,Heavily cited CFIT/procedure-design case.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,timeout('The read operation timed out')
26,Accident to Air India Express Boeing 737-800 VT-AXV at Mangalore 2010,AAIB India,2010,Boeing 737-800,International scheduled passenger,https://skybrary.aero/bookshelf/report-accident-air-india-express-boeing-737-800-aircraft-vt-axv-22nd-may-2010-mangalore,"Severely unstable approach with captain recently awakened, followed by runway overrun.",CVR/FDR per official report (accessed via mirror).,Fatigue/SA; continuation bias; late/incorrect go-around and landing actions.,MEDIUM,Use mirror until direct government link is integrated.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 403: Forbidden
27,Air Transportation Safety Investigation Report A21C0038 – AS350 B2 C-FYDA Griffith Island,TSB Canada,2024,Airbus AS350 B2,VFR helicopter transport,https://www.tsb.gc.ca/eng/rapports-reports/aviation/2021/A21C0038/A21C0038.htm,Helicopter CFIT in snowy Arctic terrain with IIMC elements; visual cues and risk management.,"Flight profile reconstruction, weather, pilot history.",Environmental SA; decision to continue VFR; control actions entering degraded visual conditions.,HIGH,"Recent, very HF-focused rotorcraft case.",DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
28,Aircraft Accident Report 7/2008 – Aerospatiale SA365N G-BLUN Morecambe Bay,AAIB UK,2008,Aerospatiale SA365N Dauphin,Offshore passenger to gas platform,https://www.gov.uk/aaib-reports/aar-7-2008-aerospatiale-sa365n-g-blun-27-december-2006,Night offshore helicopter CFIT with spatial disorientation and CRM/transfer-of-control issues.,"CVR/FDR, approach and control-transfer timeline.",Attitude/SA; intention to continue approach to platform; transfer-of-control and recovery actions.,HIGH,Strong offshore-rotorcraft HF material.,DOWNLOADED,https://www.gov.uk/aaib-reports/aar-7-2008-aerospatiale-sa365n-g-blun-27-december-2006,text/html; charset=utf-8,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/28__2008__AAIB-UK__Aerospatiale-SA365N-Dauphin__Aircraft-Accident-Report-7-2008-Aerospatial.html,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/28__2008__AAIB-UK__Aerospatiale-SA365N-Dauphin__Aircraft-Accident-Report-7-2008-Aerospatial.txt,72164,e1a7714470379891c7e1ce9cf03c28504d530861b3d1d895a847b2bd8c3198ae,TXT_EXTRACTED,
29,Aircraft Accident Report 1/2005 – Sikorsky S-76A+ G-BJVX North Sea,AAIB UK,2005,Sikorsky S-76A+,Offshore helicopter transport,https://www.gov.uk/aaib-reports/aar-1-2005-sikorsky-s-76a-g-bjvx-16-july-2002,Rotor structural failure context; emergency handling and system-level HF.,"FDR/CVR, structural findings, short final sequence.",Failure perception; limited reaction window; emergency procedure actions.,HIGH,"Useful primarily for emergency limits, not classic decision chain.",DOWNLOADED,https://www.gov.uk/aaib-reports/aar-1-2005-sikorsky-s-76a-g-bjvx-16-july-2002,text/html; charset=utf-8,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/29__2005__AAIB-UK__Sikorsky-S-76A__Aircraft-Accident-Report-1-2005-Sikorsky-S.html,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/29__2005__AAIB-UK__Sikorsky-S-76A__Aircraft-Accident-Report-1-2005-Sikorsky-S.txt,72584,c7579a1e59501024dd42399b0d18a8aee9de1952a96643667734fd94f13a3b4e,TXT_EXTRACTED,
30,AAIB Bulletin – Sikorsky S-76C G-JCBJ Heavy Landing During Training at Cranfield,AAIB UK,2004,Sikorsky S-76C,Helicopter training flight,https://www.caa.co.uk/publication/download/12842,Training rejected-takeoff exercise leading to hard landing; training risk management.,CVR and test-flight comparisons; exercise vs actual profile timeline.,Training SA; intention to complete exercise as briefed; control/collective actions.,MEDIUM,"No FDR, but good narrative for rotorcraft training HF.",DOWNLOADED,https://www.caa.co.uk/publication/download/12842,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/30__2004__AAIB-UK__Sikorsky-S-76C__AAIB-Bulletin-Sikorsky-S-76C-G-JCBJ-Heavy-L.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/30__2004__AAIB-UK__Sikorsky-S-76C__AAIB-Bulletin-Sikorsky-S-76C-G-JCBJ-Heavy-L.txt,267084,31d27792dd2a6b6bc01f42eddbb8f245e5a6da89a46e16d95205ce9b2cba307b,TXT_EXTRACTED,
31,Aircraft Accident Report AAR-06/01 – Corporate Airlines Flight 5966 Kirksville,NTSB (USA),2006,BAe Jetstream 3201,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR0601.pdf,"Nonprecision night approach below MDA with poor professionalism, fatigue and monitoring.","Full CVR/FDR, human performance group factual, detailed approach timeline.",Approach SA; continuation below minima; division-of-duties and control actions.,HIGH,Concentrated HF case on professionalism and sterile cockpit.,DOWNLOADED,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR0601.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,1714744,9c0e71551001d64def407b5cd80203a6bcf518e83e5e4140cc45e16f4fb6f070,TXT_EXTRACTED,
