test,category,root_cause,affected_files,expected_behavior,actual_behavior,fix_required,methodology_impact,product_impact,blocking
"tests/sera-vnext/product-beta-api-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/product-beta-ui-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/reviewer-output-api-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/reviewer-output-ui-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/reviewer-utility-rerun-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/risk-profile-api-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/risk-profile-dashboard-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/risk-profile-exclusion-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/risk-profile-real-data-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/risk-profile-security-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/risk-profile-ui-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/event-deletion/complete-event-deletion-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/event-deletion/event-deletion-ui-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/event-deletion/purge-execute-synthetic-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/product-unification/canonical-routing-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/product-unification/dashboard-risk-profile-e2e-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/product-unification/error-observability-e2e-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/product-unification/provenance-api-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/product-unification/provenance-reanalysis-api-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/product-unification/risk-profile-endpoint-parity-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/product-unification/v02-guardrail-api-ui-trial-001.ts","ENVIRONMENT_DEPENDENCY","Diagnostic sweep ran real UI/API tests without a reachable local frontend server on 127.0.0.1:3100.","scripts/run-sera-vnext-regression.ts; tests/sera-vnext/test-manifest.json","Environment-dependent tests are executed only when required environment is present, or clearly reported as environment-dependent.","Raw diagnostic loop reported exit 1 because the local server was absent.","Yes: canonical manifest records LOCAL_FRONTEND_SERVER and runner performs reachability classification.","None.","None after final server-backed run.","No"
"tests/sera-vnext/product-alpha-candidate-only-trial-001.ts","REAL_PRODUCT_BUG","O_RULES Tier 3 opened the violation path from awareness plus continuation without a known-rule anchor.","frontend/src/lib/sera-vnext/canonical-tree/evaluate-node.ts","Product Alpha remains candidate-only and does not infer a rule violation unless known-rule evidence anchors awareness.","Candidate-only Product Alpha test detected an over-eager O_RULES branch.","Yes: require hasKnownRule && hasAwareness for the partial triad branch.","Preserved P/O/A taxonomy; no canonical tree or fixture rewrite.","Prevents unsupported violation candidate in Product Alpha output.","Yes before fix"
"tests/sera-vnext/product-unification/error-sanitization-trial-001.ts","REAL_SECURITY_BUG","/api/analyze exposed unstable/raw error code/message patterns and did not enforce the requested ANALYZE_* envelope.","frontend/src/app/api/analyze/route.ts; tests/sera-vnext/product-unification/error-sanitization-trial-001.ts","Public response uses stable ANALYZE_* code, stable message, and requestId without raw message, stack, table, or constraint details.","Sanitization trial failed before the stable envelope was implemented.","Yes: buildErrorResponse, stable code enum, sanitized logging, and auth response mapping.","None.","Improves API safety and client contract.","Yes before fix"
"tests/sera-vnext/runtime-module-a4r220max-trial-001.ts","OBSOLETE_GUARD","Runtime/module gate rejected authorized /api/analyze feature-flag usage and protected API changes without semantic contract checks.","tests/sera-vnext/runtime-module-a4r220max-trial-001.ts; tests/sera-vnext/protected-path-contract.ts","Protected path changes are allowed only when semantic sanitization and output-lock contracts pass.","Diff/path-only guard blocked legitimate authorized changes.","Yes: replace broad path rejection with semantic helper assertions.","None.","Keeps runtime boundary strict while allowing authorized closure work.","Yes before fix"
"tests/sera-vnext/human-pilot-preparation-integrity-trial-001.ts","OBSOLETE_GUARD","Integrity gate rejected the authorized canonical-tree O_RULES correction by path only.","tests/sera-vnext/human-pilot-preparation-integrity-trial-001.ts; tests/sera-vnext/protected-path-contract.ts","Canonical-tree edits are permitted only when the conservative O_RULES contract and final-output locks hold.","Path-only guard failed after the Product Alpha fix.","Yes.","No methodology rewrite.","Allows the real Product Alpha bug fix to ship.","Yes before fix"
"tests/sera-vnext/product-beta-integrity-trial-001.ts","OBSOLETE_GUARD","Product Beta integrity gate rejected the authorized canonical-tree O_RULES correction by path only.","tests/sera-vnext/product-beta-integrity-trial-001.ts; tests/sera-vnext/protected-path-contract.ts","Behavior contract gate protects methodology and final-output locks.","Path-only guard blocked legitimate fix.","Yes.","No methodology rewrite.","Allows protected candidate-only correction.","Yes before fix"
"tests/sera-vnext/expanded-cohort-runner-trial-001.ts","TIMEOUT","First server-backed canonical run used an undersized runner timeout for a real UI/API expanded cohort test.","scripts/run-sera-vnext-regression.ts","Long real UI/API tests have rational timeout budget and report no race timeout when they pass.","First server run exited 143 around 180s.","Yes: REAL_UI/REAL_API timeout increased to 480s.","None.","None; targeted rerun passed.","No after fix"
"tests/sera-vnext/event-deletion/purge-execute-synthetic-real-trial-001.ts","ENVIRONMENT_DEPENDENCY","First server-backed run omitted EVENT_PURGE_SYNTHETIC_EXECUTE_ENABLED=true, so the synthetic purge execution test correctly failed closed.","scripts/run-sera-vnext-regression.ts; test execution environment","Synthetic purge execution test runs only with explicit synthetic flag; real human purge remains disabled.","Returned EVENT_PURGE_NOT_ELIGIBLE without flag.","No product change; rerun with explicit synthetic flag.","None.","Deletion lifecycle preserved.","No"
"tests/sera-vnext/engine-validation-v03-naturalistic/run-all.ts","EXPECTED_NOT_READY_GATE","Naturalistic validation recall remains below readiness thresholds by documented methodology status.","tests/sera-vnext/test-manifest.json; scripts/run-sera-vnext-regression.ts; docs/sera-vnext/global-regression-closure/HFA_ENGINE_V03_GATE_SEMANTICS.md","Executed as validation gate with NOT_READY status, not as required regression failure.","Exits 1 with ENGINE_NATURALISTIC_VALIDATION_NOT_READY.","No technical fix in this closure; requires future methodology/recall work without changing expected outputs.","Preserves honest validation status.","Blocks production/scientific readiness claims, not technical regression closure.","No for technical regression"
