forbiddenId,termOrPattern,whyDangerous,allowedReplacement,scope,scanRecommended
FORB-011,P-1,Identificador de pergunta por eixo quarentenada em A4R184; nao e nodeId canônico da arvore SERA; usar como base de decisao e violacao metodologica,"NodeId canônico de A4R99 (ex.: P_ASSESSMENT, P_CAPABILITY)",ALL_AXIS_DECISIONS,true
FORB-012,P-2,Identificador de pergunta por eixo quarentenada em A4R184; nao e nodeId canônico da arvore SERA,"NodeId canônico de A4R99",ALL_AXIS_DECISIONS,true
FORB-013,O-1,Identificador de pergunta por eixo quarentenada em A4R184; nao e nodeId canônico da arvore SERA,"NodeId canônico de A4R99 (ex.: O_RULES, O_MANAGED_RISK)",ALL_AXIS_DECISIONS,true
FORB-014,A-1,Identificador de pergunta por eixo quarentenada em A4R184; nao e nodeId canônico da arvore SERA,"NodeId canônico de A4R99 (ex.: A_IMPLEMENTED, A_CORRECT)",ALL_AXIS_DECISIONS,true
FORB-015,classificação final,Implica que a fase atual produz uma classificacao definitiva; todas as fases ate A4R188 sao classificacoes preliminares com notFinalClassification=true; usar 'classificacao final' em documentos preliminares cria falsa impressao de encerramento,"Decisão autoral preliminar; decisão de eixo com notFinalClassification=true",PHASE_DOCUMENTS,true
FORB-016,releasedCode (em prosa explicativa PT),Literal tecnico em ingles usado em prosa explicativa em PT onde o conceito deve ser expresso como 'código liberado'; cria inconsistencia terminologica,"código liberado (em prosa PT)",PROSE_PT,true
FORB-017,selectedCode (em prosa explicativa PT),Literal tecnico em ingles usado em prosa explicativa em PT onde o conceito deve ser expresso como 'código selecionado'; cria inconsistencia terminologica,"código selecionado (em prosa PT)",PROSE_PT,true
FORB-018,múltiplos pontos de fuga,Implica que um evento tem mais de um ponto de fuga; na fase atual todos os eventos tem um unico ponto de fuga aprovado em A4R182; criar segundo ponto de fuga sem fase de revisao autoral viola a logica do metodo,"Ponto de fuga único aprovado em A4R182; se necessario revisar: abrir fase de revisao autoral explicita",EVENT_ANALYSIS,true
FORB-019,escape point adicional,Equivalente EN de 'ponto de fuga adicional'; implica que pode haver um segundo ponto de fuga para o mesmo evento sem fase de revisao,"Ponto de fuga único aprovado em A4R182",EVENT_ANALYSIS,true
FORB-020,ponto de fuga adicional,Versao PT de escape point adicional; mesmo risco,"Ponto de fuga único aprovado em A4R182",EVENT_ANALYSIS,true
FORB-021,causa-raiz,O SERA nao produz 'causa-raiz' no sentido de RCA (Root Cause Analysis); o SERA produz codigo de falha ativa classificado em eixo P/O/A; usar 'causa-raiz' contamina a terminologia com um metodo diferente,"Falha ativa; classificação de eixo P/O/A; código folha",RATIONALE_AND_CONCLUSIONS,false
FORB-022,situational awareness,Constructo de SA (Situation Awareness — Endsley) que nao e equivalente direto ao eixo P do SERA; usar SA sem referencia ao node SERA correspondente (P_ASSESSMENT etc.) cria confusao metodologica,"Avaliação da situação (P_ASSESSMENT); Percepção (eixo P) com referência ao node canônico",RATIONALE_FIELDS,false
FORB-023,CRM failure,CRM (Crew Resource Management) e um framework diferente do SERA; 'CRM failure' nao e uma classificacao SERA; pode co-ocorrer mas nao substitui o codigo folha SERA,"Código folha SERA (ex.: O-B violação de rotina; A-E falta de conhecimento)",RATIONALE_AND_CONCLUSIONS,false
