termId,sourceTerm,sourceLanguage,canonicalPt,canonicalEnOrToken,category,definitionPt,allowedUse,forbiddenSynonymsOrUses,notes
TERM-011,Action,EN,Ação,Action (eixo A),AXIS_CONCEPT,"Constructo SERA/IP que designa como o operador tentou atingir o objetivo; operacionalizado como eixo A","Usar como referência ao eixo A e seus nodes (A_ROOT até leaf A-A/J)","Action como consequência posterior ao ponto de fuga; action como recuperação pós-evento","Ação no SERA é sempre referenciada ao ponto de fuga; nunca às ações de recuperação posteriores"
TERM-012,Response,EN,Ação / Resposta,Response (eixo A alternativo),AXIS_CONCEPT,"Termo EN alternativo a Action em alguns textos de fator humano; equivalente ao eixo A no SERA","Aceitar como sinônimo de Action/Ação quando contexto SERA for claro","Resposta como recovery pós-escape point; resposta como ação corretiva posterior","Usar Action/Ação como termos primários; Response como sinônimo aceito com nota"
TERM-013,Ação,PT,Ação,Action (eixo A),AXIS_CONCEPT,"Termo PT canônico para o eixo A do SERA","Usar em texto PT para designar o eixo A e seus nodes","Ação como consequência; ação de recuperação posterior ao ponto de fuga","Não confundir com ações tomadas após o ponto de fuga — essas são consequências, não causas"
TERM-014,nodeId,EN,identificador de node,nodeId,TECHNICAL_FIELD,"Campo formal que identifica um node específico na árvore canônica A4R99 (ex.: P_ASSESSMENT, O_RULES, A_IMPLEMENTED)","Usar como nome de campo em CSVs e documentos formais; usar o valor literal ao referenciar um node","Substituir por descrição livre; usar ID inventado; usar ID não presente em A4R185","Todos os nodeIds válidos estão em A4R185; verificar antes de usar"
TERM-015,exactQuestionTextPt,EN,texto exato da pergunta (PT),exactQuestionTextPt,TECHNICAL_FIELD,"Campo formal que armazena o texto exato da pergunta canônica em PT de um node da A4R99; não pode ser alterado","Usar como nome de campo; copiar o valor literalmente da A4R99 sem alteração","Parafrasear; resumir; traduzir novamente; criar versão adaptada","Intocável — qualquer divergência é violação metodológica"
TERM-016,exactQuestionTextEn,EN,texto exato da pergunta (EN),exactQuestionTextEn,TECHNICAL_FIELD,"Campo formal que armazena o texto exato da pergunta canônica em EN de um node da A4R99; não pode ser alterado","Usar como nome de campo; copiar o valor literalmente da A4R99 sem alteração","Parafrasear; resumir; criar versão simplificada","Intocável — qualquer divergência é violação metodológica"
TERM-017,authorDecision,EN,decisão autoral,authorDecision,TECHNICAL_FIELD,"Campo formal que registra a decisão do autor para um node específico (SIM/NÃO/variante/PENDING_AUTHOR_DECISION)","Usar como nome de campo; usar o valor literal permitido (SIM/NÃO/SIM_ATENCAO etc.) como valor do campo","Usar authorDecision como descrição genérica de 'qualquer decisão tomada pelo autor'","Os valores permitidos de authorDecision estão definidos no plano corrigido de A4R188"
TERM-018,authorDecisionRationale,EN,rationale da decisão autoral,authorDecisionRationale,TECHNICAL_FIELD,"Campo formal que armazena o texto de justificativa factual da decisão autoral para um node; deve ser factual e evento-específico","Usar como nome de campo; preencher com texto factual evento-específico conforme checklist de rationale","Preencher com texto genérico idêntico ao da A4R187; copiar conclusão de relatório NTSB/TSIB/AAIB diretamente","Ver SERA_A4R188_EVENT_SPECIFIC_RATIONALE_CHECKLIST_v0.2.0.md para exigências de conteúdo"
TERM-019,selectedCodeAllowed,EN,campo de permissão de código selecionado,selectedCodeAllowed,TECHNICAL_FLAG,"Flag formal que controla se a fase permite criar um código selecionado com status ativo; valor sempre false em A4R188","Usar como nome de campo de lock; manter valor false em todos os documentos de A4R188","Omitir; alterar para true sem fase explícita de liberação","Valor false nesta flag é bloqueante — não pode ser alterado unilateralmente"
TERM-020,código selecionado,PT,código selecionado,selectedCode (token),CLASSIFICATION_CONCEPT,"Conceito metodológico que representa um código de classificação SERA com status ativo selecionado pelo autor após fechamento de eixo; não aplicável em A4R188","Usar em texto PT explicativo ao descrever o conceito","Usar selectedCode em prosa PT explicativa; criar código selecionado em A4R188","A4R188 não pode criar código selecionado com status ativo; o token formal é selectedCode"
TERM-021,código liberado,PT,código liberado,releasedCode (token),CLASSIFICATION_CONCEPT,"Conceito metodológico que representa um código de classificação SERA aprovado para uso em relatório/downstream; não aplicável em A4R188","Usar em texto PT explicativo ao descrever o conceito","Usar releasedCode em prosa PT explicativa; criar código liberado em A4R188","A4R188 não pode criar código liberado com status ativo; o token formal é releasedCode"
TERM-022,notFinalClassification,EN,campo de classificação não final,notFinalClassification,TECHNICAL_FLAG,"Flag formal que indica que a decisão registrada não é classificação final; valor sempre true em A4R188","Usar como nome de campo de lock; manter valor true em todos os documentos de A4R188","Omitir; alterar para false sem fase explícita de finalização","Valor true nesta flag indica que a fase não produz classificação definitiva"
TERM-023,poaClosureAllowed,EN,campo de permissão de fechamento P/O/A,poaClosureAllowed,TECHNICAL_FLAG,"Flag formal que controla se a fase permite fechar um eixo P/O/A; valor sempre false em A4R188","Usar como nome de campo de lock; manter valor false em todos os documentos de A4R188","Omitir; alterar para true sem fase explícita de liberação","Valor false nesta flag é bloqueante para fechamento de eixo"
TERM-024,downstreamAllowed,EN,campo de permissão de downstream,downstreamAllowed,TECHNICAL_FLAG,"Flag formal que controla se a fase permite abrir análise downstream (HFACS/Risk/ERC/ARMS); valor sempre false em A4R188","Usar como nome de campo de lock; manter valor false em todos os documentos de A4R188","Omitir; alterar para true sem fase explícita de liberação","Downstream inclui HFACS Risk/ERC ARMS/ERC e recommendations"
TERM-025,código folha,PT,código folha,leafCode (token),CLASSIFICATION_CONCEPT,"Conceito metodológico que representa o código de classificação terminal de um eixo na árvore SERA (ex.: P-A a P-H; O-A a O-D; A-A a A-J); atingir um código folha encerra a travessia de um eixo","Usar em texto PT para descrever o resultado terminal de uma traversal de eixo","Usar leafCode em prosa PT; usar 'código final' sem indicar que é o terminal da árvore","Em A4R188 atingir um código folha encerra a travessia daquele eixo para aquele evento"
TERM-026,condição de ramificação,PT,condição de ramificação,branchCondition (token),TECHNICAL_CONCEPT,"Conceito metodológico que representa a condição de resposta de um node que determina qual o próximo node ou leaf; valores como SIM/NÃO/SIM_ATENCAO/NÃO_SENSORIAL etc.","Usar em texto PT ao descrever a lógica de travessia da árvore","Usar branchCondition em prosa PT; usar 'ramificação' de forma genérica sem indicar que é a condição de um node específico","O campo formal é branchCondition; ver A4R185 para todos os valores de branchCondition por node"
TERM-027,NEEDS_MORE_EVIDENCE,EN,evidência insuficiente para decisão,NEEDS_MORE_EVIDENCE,STATUS_VALUE,"Valor de authorDecision que indica que a evidência disponível é insuficiente para registrar SIM ou NÃO no node; não é encerramento de fase","Usar como valor de authorDecision quando a evidência for insuficiente após leitura completa de A4R180","Usar como valor padrão sem leitura de evidência; usar para encerrar fase artificialmente","Se 15+ nodes ficarem com NEEDS_MORE_EVIDENCE após revisão: fase PHASE_BLOCKED"
TERM-028,BRANCH_BLOCKED,EN,branch bloqueado,BRANCH_BLOCKED,STATUS_VALUE,"Valor de authorDecision que indica que o branch específico de um node não pode ser percorrido com evidência disponível; bloqueia apenas aquele branch","Usar quando um branch específico de um node não puder ser decidido com evidência disponível","Usar como sinônimo de AXIS_TRAVERSAL_BLOCKED; usar para bloquear toda a travessia","BRANCH_BLOCKED bloqueia apenas o branch; se todos os branches de um node estiverem bloqueados: registrar AXIS_TRAVERSAL_BLOCKED"
TERM-029,AXIS_TRAVERSAL_BLOCKED,EN,travessia de eixo bloqueada,AXIS_TRAVERSAL_BLOCKED,STATUS_VALUE,"Valor/status que indica que a travessia de um eixo inteiro não pode prosseguir; encerra a análise daquele eixo para aquele evento com registro de rationale de bloqueio","Usar quando toda a travessia de um eixo (P/O/A) de um evento for impossível com evidência disponível","Usar para bloquear artificialmente sem rationale; usar como encerramento conveniente de fase","Exige rationale obrigatório; se todos os eixos de um evento estiverem bloqueados: evento BLOCKED_EVENT"
