id,eventName,date,aircraft/operator,investigationAuthority,officialReportLink,reportCompleteness,likelyCategory,whyCandidate,likelyEscapePointType,possibleEscapePointCandidate,humanFactorEvidenceNearEscapePoint,competingTechnicalEnvironmentalEvidence,negativeControlPotential,sourceQuality,caution / methodological risk,recommendedNextAction,discoveryStatus,sourceValidationStatus,corpusIngestionStatus,poaStatus,releaseStatus,downstreamStatus,sourceHygieneNotes,nextSourceAction
EXT-A4R149-011,Qantas QF32 – A380 uncontained engine failure,04 Nov 2010,"A380‑842, Qantas",ATSB (Austrália),(via ATSB) https://www.atsb.gov.au/news/2022/flight-uncontained-engine-failure-airbus-a380-842-vh-oqaatsb+1,HIGH,TECHNICAL_OR_ENVIRONMENTAL_NEGATIVE_CONTROL,"Falha não contida de motor Trent 900 em cruzeiro, com grande dano estrutural e gestão exemplar da tripulação; bom teste de metodologia para separar falha técnica primária de resposta humana.atsb+1",DISCRETE,"Quando o motor sofreu falha não contida e dispersão de fragmentos, gerando múltiplas mensagens de sistema em poucos segundos.","Relatório destaca CRM robusto, uso estruturado de recursos de cabine e tomada de decisão prudente sob elevada carga de informação.atsb+1",Falha de projeto/fabricação do motor é identificada como origem; danos múltiplos a sistemas são consequência direta dessa falha.,YES,HIGH,"Excelente “controle negativo”: risco de superatribuir “sucesso humano” à causa, quando o ponto de fuga objetivo é técnico.",Tratar a falha de motor como ponto de fuga técnico; usar o caso para calibrar heurísticas da ferramenta SERA/HFA que devem reconhecer situações em que não há fator humano primário na origem.,EXTERNAL_DISCOVERY_ONLY,OFFICIAL_LINK_NEEDS_CONFIRMATION,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,ATSB source is referenced indirectly; confirm final report AO-2010-089 canonical page/PDF link.,Confirm AO-2010-089 final ATSB link and keep as strong technical negative control.
EXT-A4R149-012,Cougar 91 – S‑92A main gearbox oil loss (A09A0016),12 Mar 2009,"S‑92A, Cougar Helicopters (offshore)",TSB (Canadá),https://www.tsb.gc.ca/eng/rapports-reports/aviation/2009/a09a0016/a09a0016.pdftsb.gc+1,HIGH,TECHNICAL_OR_ENVIRONMENTAL_NEGATIVE_CONTROL,"Perda rápida de óleo da MGB por falha de studs, seguida de tentativa de retorno e tentativa de amerissagem; exemplo clássico em que o primeiro ponto de fuga é de projeto/certificação. tsb.gc+2",DISCRETE,"Quando os elementos de fixação do filtro de óleo da MGB falharam, levando à perda quase total de lubrificação em poucos minutos.","TSB discute interpretação dos procedimentos de MGB oil system e decisão de retornar em vez de pousar imediatamente, com aspectos de entendimento de sistema e workload.tsb.gc+2","Falha mecânica dos studs, capacidade real de “run dry” da caixa e critérios de certificação constituem a origem técnica clara. tsb.gc+1",YES,HIGH,Útil para testar se o modelo não “empurra” fator humano para o ponto de fuga quando o gatilho está em projeto/certificação.,"Marcar a perda de óleo como ponto de fuga técnico; em SERA/HFA, tratar decisões subsequentes (retorno vs pouso imediato) como resposta a um cenário já degradado, não como origem.",EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Primary TSB report link present; maintain as technical-onset negative-control reference candidate.,Retain as primary-source negative control for rotorcraft offshore technical onset calibration.
EXT-A4R149-013,EC225 G‑REDW / G‑CHCN – North Sea ditchings,10 May 2012 / 22 Oct 2012,"EC225 LP, Bond CHC / offshore",AAIB (UK),https://www.gov.uk/aaib-reports/aar-2-2014-g-redw-and-g-chcn-10-may-2012gov,HIGH,TECHNICAL_OR_ENVIRONMENTAL_NEGATIVE_CONTROL,"Dois ditchings por perda de pressão de óleo da MGB devido a fratura de eixo bevel; forte componente de certificação, fadiga de material e lógica de sistema de lubrificação de emergência.gov",DISCRETE,Quando o eixo vertical bevel da MGB desenvolveu fratura circunferencial levando à perda de acionamento das bombas de óleo e ativação do sistema de emergência.,"AAIB descreve decisões de ditching controlado, evacuação eficaz e cumprimento de checklist sob estresse, com bom desempenho da tripulação após a falha. gov","Falhas de projeto (tensões subestimadas, corrosão, interface com sensores de EMLUB) e incompatibilidades de wiring dominam a causalidade de primeira ordem.gov",YES,HIGH,"Risco de confundir falhas de manual/checklist com ponto de fuga; para SERA, o início da falha é puramente técnico.","Usar como conjunto de controle para calibrar o algoritmo de detecção de “ponto de fuga técnico puro” em rotorcraft offshore, distinguindo falhas de MGB de decisões subsequentes.",EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Primary AAIB report page present; acceptable as official discovery source.,Retain as primary-source negative control for offshore gearbox/certification onset modeling.
EXT-A4R149-014,Qantas QF72 – A330 in‑flight upset (AO‑2008‑070),07 Oct 2008,"A330‑303, Qantas",ATSB (Austrália),(relatório final) https://www.atsb.gov.au/sites/default/files/media/748444/ao2008070_ifr_2.pdfatsb.gov+1,HIGH,TECHNICAL_OR_ENVIRONMENTAL_NEGATIVE_CONTROL,"Dois pitch‑downs abruptos após falha de ADIRU/FCPC; ponto de fuga claramente em lógica de sistema, embora haja material HF na gestão da anomalia.atsb.gov+2",DISCRETE,"Quando o ADIRU começou a fornecer spikes espúrios de dados de ângulo de ataque, levando o FCPC a comandar nose‑down indevido e desconexão do autopilot.","Relatório descreve resposta rápida da tripulação para recuperar atitude/altitude, gestão de mensagens ECAM e decisão de desviar, com boa performance operacional. atsb.gov+1",Falha de projeto do FCPC em filtrar spikes de AOA de um ADIRU defeituoso é identificada como mecanismo raiz do upset.wikipedia+1,YES,HIGH,Caso excelente para testar se SERA/HFA distingue “trabalho em modo de recuperação de sistema” de erro humano primário.,Tratar o onset do primeiro comando de pitch‑down indevido como ponto de fuga técnico; usar a resposta da tripulação apenas como material HF “pós-fuga”.,EXTERNAL_DISCOVERY_ONLY,OFFICIAL_LINK_NEEDS_CONFIRMATION,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,ATSB final identifier is cited but URL string requires canonicalization; verify AO-2008-070 final link.,Confirm AO-2008-070 final ATSB link and keep as technical-onset negative control.
EXT-A4R149-015,Air France AF66 – A380 uncontained engine failure over Greenland,30 Sep 2017,"A380‑800, Air France",BEA (França),(síntese) https://flightsafety.org/french-bea-lead-a380-uncontained-engine-failure-investigation/flightsafety,MEDIUM,TECHNICAL_OR_ENVIRONMENTAL_NEGATIVE_CONTROL,"Falha não contida de fan disk em motor GP7200 com pouso de emergência em Goose Bay; forte caso de falha de material/engenharia, com boa gestão operacional. flightsafety",DISCRETE,"Quando o fan/engine sofreu falha estrutural levando à perda de carenagens e exposição de componentes, com vibrações e alarmes imediatos.","Fontes públicas indicam boa coordenação de tripulação, desvio prudente e uso adequado de checklists, com foco em gestão de risco após a falha. flightsafety",Fratura de disco de fan por fadiga/defeitos de material domina a origem técnica; BEA lidera investigação focada em metalurgia e certificação. flightsafety,YES,MEDIUM,Fonte principal ainda via sínteses; exige recuperação do relatório BEA completo e anexos para uso sistemático.,Classificar provisoriamente como controle negativo; recuperar o relatório técnico completo e anexos fotográficos/diagramas antes de ingestão automatizada na base SERA/HFA.,EXTERNAL_DISCOVERY_ONLY,SOURCE_RECOVERY_REQUIRED,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Only secondary summary link is present; recover primary BEA final report before any ingestion decision.,Recover official BEA final report and supporting annexes before any ingestion decision.
EXT-A4R149-016,Execuflight 1526 – Akron BAe‑125 (AAR‑16/03),10 Nov 2015,"HS‑125‑700A, Execuflight (Part 135)",NTSB,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/92314/pdfdata.ntsb+1,HIGH,SYSTEMIC_ORGANIZATIONAL_BOUNDARY,"Aproximação LOC não‑precisa com perda de controle, em operador 135 com cultura de segurança fraca, treino inadequado e supervisão deficiente.data.ntsb+1",PROGRESSIVE,"Quando a aproximação foi conduzida abaixo do MDA sem contato visual com o ambiente de pista, mantendo condições de energia que levaram ao stall próximo ao solo.","NTSB documenta múltiplas violações de SOP, ausência de FDM, hiring/training deficientes e atitude “casual” da empresa quanto a padrões, com reflexo direto na execução da aproximação.data.ntsb+2","Meteorologia IMC, pista molhada e aproximação localizer apenas constituem contexto, não gatilho primário.",NO,HIGH,Importante para SERA/HFA tratar a organização como “sistema de trabalho” e não reduzir tudo a falha individual do crew.,"Modelar esse caso como cenário‑teste de integração entre níveis SERA (linha, supervisão, organização, regulador), mantendo o ponto de fuga operacional na descida abaixo do MDA.",EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Primary NTSB CAROL endpoint appears present and adequate for discovery-only indexing.,Retain as systemic/organizational boundary case with official NTSB source.
EXT-A4R149-017,Corporate 5966 – Kirksville J32 CFIT (AAR‑06/01),19 Oct 2004,"BAE J32, Corporate Airlines",NTSB,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR0601.pdfntsb,HIGH,SYSTEMIC_ORGANIZATIONAL_BOUNDARY,"CFIT em aproximação não‑precisa noturna em IMC, com fadiga, comportamento pouco profissional e lacunas de treinamento/procedimento.ntsb+1",PROGRESSIVE,"Quando, durante a aproximação não‑precisa, a aeronave desceu abaixo do MDA sem referências visuais suficientes e sem divisão clara de tarefas PF/PM.","NTSB destaca ausência de chamadas padrão, fadiga, comportamento informal em voo e lacunas na cultura operacional e supervisão.ntsb+2","Condições IMC noturnas e características da aproximação não‑precisa fornecem desafio técnico, mas não há falha estrutural.",NO,HIGH,"Risco de “culpar” apenas os pilotos; valor maior está na ligação entre política de treinamento, scheduling e comportamento observado.",Usar este caso para calibrar como a metodologia representa violações/tendências culturais sem colapsar níveis (linha vs empresa).,EXTERNAL_DISCOVERY_ONLY,OFFICIAL_LINK_NEEDS_CONFIRMATION,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,NTSB PDF path is official but link string includes annotation token; confirm canonical NTSB AAR-06/01 URL.,Normalize canonical NTSB AAR-06/01 link and retain as organizational boundary candidate.
EXT-A4R149-018,Comair 5191 – Wrong runway takeoff,27 Aug 2006,"CL‑600‑2B19, Comair",NTSB,https://www.ntsb.gov/investigations/Pages/DCA06MA064.aspxntsb+1,HIGH,SYSTEMIC_ORGANIZATIONAL_BOUNDARY,"Tentativa de decolagem em pista errada curta, com forte componente de consciência situacional no solo, marcações de aeródromo e política de ATC.ntsb+1",DISCRETE,"Quando a aeronave alinhou na pista 26, em vez da 22 autorizada, e iniciou a corrida de decolagem.","Relatório discute conversa não pertinente durante taxi, perda de consciência posicional e ausência de verificação cruzada runway/heading antes da corrida.ntsb","Configuração de pátio/taxiway, iluminação e políticas ATC sobre autorizações de cruzamento são fatores de infraestrutura significativos.ntsb+1",NO,HIGH,"Caso útil para testar se a metodologia distingue fatores de desenho de sistema (layout, fraseologia, normas ATC) de ações individuais.",Criar modelo de ponto de fuga centrado no momento em que a tripulação decide que “está na pista correta” apesar de pistas visuais discrepantes; mapear inputs disponíveis.,EXTERNAL_DISCOVERY_ONLY,OFFICIAL_LINK_NEEDS_CONFIRMATION,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,NTSB investigation page is likely correct but string is annotated; confirm canonical DCA06MA064 URL.,Confirm canonical NTSB DCA06MA064 page and retain as systemic boundary candidate.
EXT-A4R149-019,Alaska Airlines 261 – MD‑83 jackscrew failure (AAR‑02/01),31 Jan 2000,"MD‑83, Alaska",NTSB,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR0201.pdfreports.aviation-safety+1,HIGH,SYSTEMIC_ORGANIZATIONAL_BOUNDARY,Perda de controle após falha do jackscrew de stabilizer por lubrificação insuficiente; caso clássico de manutenção/programa de lubrificação e supervisão regulatória.reports.aviation-safety+2,DISCRETE,"Quando os filetes da porca acme do jackscrew falharam por desgaste excessivo, levando à perda de controle de pitch.","Comportamento da tripulação na emergência é amplamente elogiado; o foco do relatório está em práticas de manutenção, extensão de intervalos e supervisão FAA. proquest+1","A origem está em políticas de manutenção/lubrificação e certificação de intervalos, não em uso incorreto de comandos de voo.",YES,HIGH,"Para SERA/HFA, serve como exemplo de evento cuja análise primária deve ficar em nível organizacional/técnico, não linha.",Tratar esse caso como boundary‑condition para a metodologia: ponto de fuga claramente fora do controle de tripulantes; usar para garantir que o motor de análise não força codificação HF em nível linha na origem.,EXTERNAL_DISCOVERY_ONLY,OFFICIAL_LINK_NEEDS_CONFIRMATION,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Official NTSB report expected; remove secondary suffix and confirm canonical AAR-02/01 URL.,Confirm canonical NTSB AAR-02/01 link and retain as organizational/maintenance boundary candidate.
EXT-A4R149-020,Carson S‑61N – 2008 firefighting crash,05 Aug 2008,"S‑61N, Carson Helicopters (firefighting)",NTSB,(dossiê técnico) p.ex. https://data.ntsb.gov/Docket/Document/docBLOB?ID=14281678data.ntsb+1,MEDIUM,SYSTEMIC_ORGANIZATIONAL_BOUNDARY,"Acidente em operação de combate a incêndio com sobrepeso e capacidade de desempenho superestimada, incluindo alterações de peso vazio e chart de performance.wikipedia+1",DISCRETE,Quando a decolagem foi iniciada com peso real acima da capacidade de subida segura nas condições presentes.,"NTSB (resumido em fontes públicas) aponta subdeclaração deliberada de peso, ajustes de chart de potência e fiscalização insuficiente de contratante/regulador.wikipedia","Ambiente de altitude/densidade, exigências da missão e envelope de desempenho do helicóptero são variáveis técnicas relevantes.",NO,MEDIUM,Precisará de recuperação cuidadosa do dossiê NTSB completo; risco de depender demais de resumos secundários.,"Localizar e consolidar todos os relatórios NTSB oficiais (grupos de performance, manutenção, operações) antes de ingestão; tratar como caso sistêmico de fronteira entre organização, contrato e regulador.",EXTERNAL_DISCOVERY_ONLY,OFFICIAL_LINK_NEEDS_CONFIRMATION,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,NTSB docket-style pointer is partial; confirm correct NTSB event package (AAR-10/06 and LAX08PA259 traceability).,Resolve NTSB report/docket mapping and keep as high-value systemic boundary candidate.
EXT-A4R149-021,Eastern Air Lines 401 – Everglades L‑1011,29 Dec 1972,"L‑1011, Eastern",NTSB,FAA cópia: https://www.faa.gov/sites/faa.gov/files/Eastern%20401%20ntsb%20report.pdfMemory,MEDIUM,SOURCE_RECOVERY_HIGH_VALUE,"Caso clássico de atenção desviada para anomalia de gear light com perda de controle em altitude baixa; PDF oficial disponível, mas com trechos parcialmente ilegíveis.Memory",PROGRESSIVE,"Quando, durante manutenção de altitude em hold sobre Everglades, a tripulação passou a focar na pane do train indicator, permitindo perda progressiva de altitude sem detecção.",Relatório (na cópia FAA) fornece CVR detalhado mostrando foco quase exclusivo no problema do trem e pouca referência a instrumentos de altitude/attitude.Memory,Não há falhas significativas de célula/motor; a pane inicial é de indicação de trem de pouso.,NO,MEDIUM,"PDF existente tem trechos ilegíveis; precisa de busca de cópias alternativas (NTIS, re‑scan) ou reconstrução semi‑manual do texto.","Priorizar recuperação de uma versão mais legível (NTIS/NTIS microfiche), OCR de qualidade e alinhamento CVR–FDR para uso como caso‑escola de gestão de atenção em SERA/HFA.",EXTERNAL_DISCOVERY_ONLY,SOURCE_RECOVERY_REQUIRED,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,FAA-hosted copy exists but legibility/traceability remain partial; recover cleaner official/archival source set.,Run source recovery for legible official copy and CVR/FDR-aligned references before extraction.
EXT-A4R149-022,Helios 522 – Pressurization / hypoxia,14 Aug 2005,"B737‑300, Helios Airways",AAIASB (Grécia),Cópia FAA: https://www.faa.gov/sites/faa.gov/files/2022-11/Helios737_AccidentReport.pdffaa+1,HIGH,SOURCE_RECOVERY_HIGH_VALUE,"Acidente com perda de pressurização não percebida, tripulação incapacitada e voo em automático até fuel exhaustion; extremamente rico em checklist discipline, design de alertas e supervisão.faa+1",FIRST_OBSERVABLE_MARKER,"Quando os primeiros avisos de cabine alta/temperatura surgiram após decolagem com pressurização em modo incorreto, sem interpretação correta pela tripulação.","Relatório grego detalha histórico de manutenção, posicionamento do switch de pressurização, interpretação errada de horn compartilhado e ausência de uso imediato de oxigênio.faa",Problemas crônicos de pressurização anteriores e desenho de alertas (horn multiuso) oferecem forte componente técnico/ergonômico.,NO,HIGH,"Necessário assegurar que se use a versão original AAIASB (tradução oficial), não apenas reprints secundários.","Baixar a versão oficial completa (11/2006), extrair timeline CVR/FDR e mapear claramente os primeiros minutos pós‑decolagem como foco do ponto de fuga.",EXTERNAL_DISCOVERY_ONLY,OFFICIAL_LINK_NEEDS_CONFIRMATION,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Current pointer is FAA-hosted copy; confirm official AAIASB primary report linkage before ingestion.,Confirm primary AAIASB official report path; keep as high-value source recovery candidate.
EXT-A4R149-023,Air France 447 – A330 Atlantic (AF447),01 Jun 2009,"A330‑203, Air France",BEA (França),https://bea.aero/fileadmin/uploads/tx_elyextendttnews/presentation.rapport.final.05juillet2012.en_04.pdfbea+1,HIGH,SOURCE_RECOVERY_HIGH_VALUE,"Investigação multi‑volume com perda de controle em cruzeiro após congelamento de pitots; material riquíssimo em automação, trabalho em equipe em alta altitude e dinâmica de surpresa. bea+1",PROGRESSIVE,"Quando, após inconsistência temporária de velocidade medida, a tripulação começou a trabalhar com dados de IAS conflitantes e comandos de pitch/roll não estabilizados em regime de proteção alterado. bea","BEA detalha perda de referências de velocidade, não ligação rápida com procedimento adequado, identificação tardia de proximidade de stall e inputs de comando inconsistentes.bea",Congelamento de pitots e modo alternativo de flight control constituem gatilhos técnicos fortes em ambiente meteorológico complexo.,NO,HIGH,"Volume grande, anexos e diagramas complexos; precisa de pipeline específico para extrair timeline em granularidade adequada sem perder contexto.","Criar tarefa dedicada de “AF447 ingestion”: segmentar volumes, alinhar dados FDR, reconstruir timeline de percepções/hipóteses da tripulação nos primeiros 2–3 minutos após perda de IAS.",EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Primary BEA report link present and adequate for discovery-only indexing.,Retain as high-value source-complete candidate for future controlled ingestion batch.
EXT-A4R149-024,Air France A330 F‑GZCJ – Near stall / automation event,22 Mar 2013 (data no relatório BEA),"A330‑200, Air France",BEA (França),https://bea.aero/fileadmin/user_upload/F-GZCJ-VA.pdfbea+1,HIGH,SOURCE_RECOVERY_HIGH_VALUE,"Incidente sério com gestão de modos, ALPHA FLOOR e energia na aproximação; bom contra‑exemplo “sem acidente” para treinar metodologia em eventos de alto risco com recuperação.bea+1",FIRST_OBSERVABLE_MARKER,"Quando, em circuito de aproximação, a aeronave foi colocada em configuração FULL e modo OPEN DESCENT com energia limitada, levando à proximidade de ALPHA FLOOR. icao","BEA descreve seleção de modos, expectativa de proteção automática de velocidade e comunicação incompleta PF/PNF sobre plano de ação, similar em parte a Asiana 214 porém sem acidente. icao","Sistema A/THR funcionou conforme projeto (protegendo envelope), e não há falha estrutural; risco principal está na combinação de configuração e modo de descida.",NO,HIGH,"Como incidente, pode ser subpriorizado; porém é valioso como “caso positivo” de recuperação.",Extrair a sequência de seleção de modos/configuração e o momento em que ALPHA FLOOR dispara; usar como benchmark para SERA/HFA em eventos não‑acidentais.,EXTERNAL_DISCOVERY_ONLY,OFFICIAL_LINK_NEEDS_CONFIRMATION,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,BEA file appears primary but requires confirmation of date/registration/report identity before ingestion.,Confirm BEA event identity fields and retain as high-value non-fatal automation candidate.
EXT-A4R149-025,TSB Air‑Taxi SII – A15H0001,2019 (publicação),Múltiplos operadores air‑taxi,TSB (Canadá),https://www.tsb.gc.ca/eng/rapports-reports/aviation/2015/a15h0001/a15h0001.htmltsb+1,HIGH,SOURCE_RECOVERY_HIGH_VALUE,"Investigação temática sobre setor air‑taxi, compilando dezenas de ocorrências com padrões comuns de cultura, SMS, supervisão e práticas operacionais.tsb+1",UNCLEAR (por evento),"Quando, em cada um dos casos subjacentes, práticas normalizadas de desvio ou aceitação de risco cruzam o limiar de segurança operacional; o SII os agrupa a nível sistêmico.","O relatório discute aceitação de práticas inseguras, gestão de risco informal e lacunas regulatórias, com pouco detalhamento operacional em um único evento.tsb",Cada ocorrência específica tem suas condições técnicas/ambientais; o SII abstrai isso para olhar o sistema.,NO,HIGH,"Não é um “evento” único; risco de misturar nível de análise (setor) com nível de operação (voo). Ainda assim, é fonte valiosa para modelar contexto organizacional na base SERA.","Mapear do SII para a lista de ocorrências individuais e, a partir delas, selecionar alguns eventos com relatórios completos para ingestão detalhada, mantendo o A15H0001 como “camada de contexto”.",EXTERNAL_DISCOVERY_ONLY,PRIMARY_OFFICIAL_LINK_PRESENT,NOT_INGESTED,NOT_CLASSIFIED,NO_RELEASED_CODE,NO_DOWNSTREAM,Primary TSB SII link present; event-level extraction still requires decomposition to individual occurrences.,Keep as context-layer source; map to individual occurrences before any event-level extraction.
