eventIdOrExternalId,canonicalEventName,aliases,localCorpusPresence,localTxtPaths,localTxtQuality,localScreeningCategory,externalCandidatePresence,externalCandidateId,externalCategory,sourceAuthority,sourceValidationStatus,escapePointUsefulness,opusPriority,nextAction,notes
EXT-A4R149-017,CORPORATE-5966,Corporate 5966 – Kirksville J32 CFIT (AAR‑06/01),YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,YES,EXT-A4R149-017,SYSTEMIC_ORGANIZATIONAL_BOUNDARY,NTSB,OFFICIAL_LINK_NEEDS_CONFIRMATION,MEDIUM,OPUS_CORE_PACKET,Normalize canonical NTSB AAR-06/01 link and retain as organizational boundary candidate.,OVERLAP_LOCAL_EXTERNAL
EXT-A4R149-018,COMAIR-5191,Comair 5191 – Wrong runway takeoff,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/COMAIR-5191-NTSB-AAR0705.txt; docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/6__2007__NTSB-USA__CRJ-100__Attempted-Takeoff-From-Wrong-Runway-Comair-F.txt,TXT_GOOD,HF_POSITIVE_CANDIDATE,YES,EXT-A4R149-018,SYSTEMIC_ORGANIZATIONAL_BOUNDARY,NTSB,OFFICIAL_LINK_NEEDS_CONFIRMATION,MEDIUM,OPUS_CORE_PACKET,Confirm canonical NTSB DCA06MA064 page and retain as systemic boundary candidate.,OVERLAP_LOCAL_EXTERNAL
EXT-A4R149-019,ALASKA-261,Alaska Airlines 261 – MD‑83 jackscrew failure (AAR‑02/01),NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-019,SYSTEMIC_ORGANIZATIONAL_BOUNDARY,NTSB,OFFICIAL_LINK_NEEDS_CONFIRMATION,MEDIUM,OPUS_EXCLUDE_FOR_NOW,Confirm canonical NTSB AAR-02/01 link and retain as organizational/maintenance boundary candidate.,EXTERNAL_ONLY
EXT-A4R149-020,CARSON-S-61N,Carson S‑61N – 2008 firefighting crash,NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-020,SYSTEMIC_ORGANIZATIONAL_BOUNDARY,NTSB,OFFICIAL_LINK_NEEDS_CONFIRMATION,MEDIUM,OPUS_SOURCE_RECOVERY_ONLY,Confirm NTSB AAR-10/06 / LAX08PA259 official linkage before extraction; keep as external-only systemic boundary candidate.,EXTERNAL_ONLY_SOURCE_CONFIRMATION_REQUIRED | ALIAS_REPAIR_NOT_AAIB_S61N_LOCAL
EXT-A4R149-021,EASTERN-401,Eastern Air Lines 401 – Everglades L‑1011,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/44__1973__NTSB-USA__Lockheed-L-1011-1__Eastern-Air-Lines-Flight-401-NTSB-PDF-Artef.txt; docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/38__1973__NTSB-USA__Lockheed-L-1011-1__NTSB-AAR-73-14-Eastern-401.txt,TXT_USABLE_WITH_CAUTION,DUPLICATE_OR_ALREADY_TRACKED / HF_MIXED_TECHNICAL_HUMAN,YES,EXT-A4R149-021,SOURCE_RECOVERY_HIGH_VALUE,NTSB,SOURCE_RECOVERY_REQUIRED,HIGH,OPUS_SOURCE_RECOVERY_ONLY,Run source recovery for legible official copy and CVR/FDR-aligned references before extraction.,OVERLAP_LOCAL_EXTERNAL | SOURCE_RECOVERY_REQUIRED
EXT-A4R149-022,HELIOS-522,Helios 522 – Pressurization / hypoxia,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-3__2006__AAIASB-Greece__Boeing-737-31S__Accident-Report-11-2006-Helios-Airways-Flig.txt,TXT_GOOD,HF_POSITIVE_CANDIDATE,YES,EXT-A4R149-022,SOURCE_RECOVERY_HIGH_VALUE,AAIASB,OFFICIAL_LINK_NEEDS_CONFIRMATION,HIGH,OPUS_CORE_PACKET,Confirm primary AAIASB official report path; keep as high-value source recovery candidate.,OVERLAP_LOCAL_EXTERNAL
EXT-A4R149-023,AIR-FRANCE-447,Air France 447 – A330 Atlantic (AF447),NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-023,SOURCE_RECOVERY_HIGH_VALUE,BEA,PRIMARY_OFFICIAL_LINK_PRESENT,HIGH,OPUS_SECONDARY_PACKET,Retain as high-value source-complete candidate for future controlled ingestion batch.,EXTERNAL_ONLY | OFFICIAL_SOURCE_STRONG
EXT-A4R149-024,AIR-FRANCE-F-GZCJ,Air France A330 F‑GZCJ – Near stall / automation event,NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-024,SOURCE_RECOVERY_HIGH_VALUE,BEA,OFFICIAL_LINK_NEEDS_CONFIRMATION,HIGH,OPUS_EXCLUDE_FOR_NOW,Confirm BEA event identity fields and retain as high-value non-fatal automation candidate.,EXTERNAL_ONLY
EXT-A4R149-025,TSB-A15H0001-SII,TSB Air‑Taxi SII – A15H0001,NO,,TXT_UNKNOWN,NONE,YES,EXT-A4R149-025,SOURCE_RECOVERY_HIGH_VALUE,TSB,PRIMARY_OFFICIAL_LINK_PRESENT,HIGH,OPUS_SECONDARY_PACKET,Keep as context-layer source; map to individual occurrences before any event-level extraction.,EXTERNAL_ONLY | OFFICIAL_SOURCE_STRONG
CONTROL-A4R87-EXT-002,A4R87-EXT-002,A4R87-EXT-002,NO,,TXT_UNKNOWN,NONE,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Preserve control-board status; do not open P/O/A in A4R150.,CONTROL_BOARD_ONLY
TXT-019,AAIB-BULLETIN-SIKORSKY-S-76C-G-JCBJ-HEAVY-L,AAIB Bulletin Sikorsky S 76C G JCBJ Heavy L,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/30__2004__AAIB-UK__Sikorsky-S-76C__AAIB-Bulletin-Sikorsky-S-76C-G-JCBJ-Heavy-L.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-055,ACCIDENT-WITH-A-HELICOPTER-AT-ENKOPING-L-NGTO,Accident with a helicopter at Enköping Långto,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-50__2025__SHK-Sweden__Light-helicopter__Accident-with-a-helicopter-at-Enköping-Långto.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-080,AIR-CANADA-624-TSB-A15H0002,AIR CANADA 624 TSB A15H0002,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AIR-CANADA-624-TSB-A15H0002.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-010,AIR-FLORIDA-FLIGHT-90-NTSB-AAR-82-08-PDF-AR,Air Florida Flight 90 NTSB AAR 82 08 PDF ar,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/47__1982__NTSB-USA__Boeing-737-222__Air-Florida-Flight-90-NTSB-AAR-82-08-PDF-ar.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-047,AIR-INTER-FLIGHT-148-AIRBUS-A320-111-F-GGED,Air Inter Flight 148 Airbus A320 111 F GGED,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-18__1993__BEA-France__Airbus-A320-111__Air-Inter-Flight-148-Airbus-A320-111-F-GGED.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-007,AIR-TRANSPORTATION-SAFETY-INVESTIGATION-REPOR,Air Transportation Safety Investigation Repor,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/11__2003__TSB-Canada__MD-11__Air-Transportation-Safety-Investigation-Repor.txt; docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/46__2021__TSB-Canada__Light-helicopter-or-small-aircraft-see-report-for-exact-type__Air-transportation-safety-investigation-repor.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-003,AIRCRAFT-ACCIDENT-REPORT-1-2005-SIKORSKY-S,Aircraft Accident Report 1 2005 Sikorsky S,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/29__2005__AAIB-UK__Sikorsky-S-76A__Aircraft-Accident-Report-1-2005-Sikorsky-S.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-030,AIRCRAFT-ACCIDENT-REPORT-4-1990-BOEING-737,Aircraft Accident Report 4 1990 Boeing 737,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/13__1990__AAIB-UK__Boeing-737-400__Aircraft-Accident-Report-4-1990-Boeing-737.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-027,AIRCRAFT-ACCIDENT-REPORT-7-2008-AEROSPATIAL,Aircraft Accident Report 7 2008 Aerospatial,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/28__2008__AAIB-UK__Aerospatiale-SA365N-Dauphin__Aircraft-Accident-Report-7-2008-Aerospatial.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-028,AIRCRAFT-ACCIDENT-REPORT-AAR-06-01-CORPORAT,Aircraft Accident Report AAR 06 01 Corporat,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-001,AIRCRAFT-ACCIDENT-REPORT-AAR-2-2014-EC225-L,Aircraft Accident Report AAR 2 2014 EC225 L,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-012,AIRCRAFT-ACCIDENT-REPORT-AAR-3-2015-EUROCOP,Aircraft Accident Report AAR 3 2015 Eurocop,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/14__2015__AAIB-UK__Eurocopter-EC135-T2__Aircraft-Accident-Report-AAR-3-2015-Eurocop.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-033,AIRCRAFT-ACCIDENT-REPORT-AAR-79-07-UNITED-A,Aircraft Accident Report AAR 79 07 United A,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/21__1979__NTSB-USA__McDonnell-Douglas-DC-8-61__Aircraft-Accident-Report-AAR-79-07-United-A.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-013,AIRCRAFT-ACCIDENT-REPORT-AAR-86-05-DELTA-AI,Aircraft Accident Report AAR 86 05 Delta Ai,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/40__1986__NTSB-USA__Lockheed-L-1011-385-1-TriStar__Aircraft-Accident-Report-AAR-86-05-Delta-Ai.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-016,AIRCRAFT-ACCIDENT-REPORT-AAR-90-06-UNITED-A,Aircraft Accident Report AAR 90 06 United A,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/22__1990__NTSB-USA__DC-10-10__Aircraft-Accident-Report-AAR-90-06-United-A.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-024,AIRCRAFT-ACCIDENT-REPORT-AAR-91-08-RUNWAY-C,Aircraft Accident Report AAR 91 08 Runway C,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/36__1991__NTSB-USA__Boeing-737-300-Fairchild-Metroliner-SA-227-AC__Aircraft-Accident-Report-AAR-91-08-Runway-C.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-011,AIRCRAFT-ACCIDENT-REPORT-AAR-96-01-SIMMONS,Aircraft Accident Report AAR 96 01 Simmons,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/23__1996__NTSB-USA__ATR-72-212__Aircraft-Accident-Report-AAR-96-01-Simmons.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-020,AMERICAN-1420,AMERICAN 1420,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AMERICAN-1420-NTSB-AAR0102.txt; docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/4__2001__NTSB-USA__MD-82__Runway-Overrun-During-Landing-American-Airli.txt,TXT_GOOD,HF_MIXED_TECHNICAL_HUMAN / HF_POSITIVE_CANDIDATE,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Map to known event lane,LOCAL_ONLY_FROM_89_TXT
TXT-004,AMERICAN-965,AMERICAN 965,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AMERICAN-965-CALI-ACCIDENT-REPORT.txt; docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/24__1996__Aeronautica-Civil-Colombia__Boeing-757-223__Controlled-Flight-Into-Terrain-American-Air.txt,TXT_GOOD,HF_MIXED_TECHNICAL_HUMAN / HF_POSITIVE_CANDIDATE,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Map to known event lane,LOCAL_ONLY_FROM_89_TXT
TXT-054,ATLAS-3591,ATLAS 3591,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-1__2020__NTSB-USA__Boeing-767-375BCF__Atlas-Air-Flight-3591-Rapid-Descent-and-Cra.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Map to known event lane,LOCAL_ONLY_FROM_89_TXT
