inventoryId,sourcePath,sourceFileName,sourceExtension,sourceBucket,sourceType,trackedStatus,probableEventKey,probableAgency,probableYear,probableAircraftOrOperation,sourceQuality,eventTypeHypothesis,escapePointClarity,actorClarity,multiActorPotential,negativeControlPotential,likelyCoverageP,likelyCoverageO,likelyCoverageA,evidenceGaps,status,notes
A4R178-INV-0001,docs/sera-vnext/SERA_ENGINE_VNEXT_A4R106_NODE_EVIDENCE_MATRIX_A4R107_v0.2.0.md,SERA_ENGINE_VNEXT_A4R106_NODE_EVIDENCE_MATRIX_A4R107_v0.2.0.md,md,TRACKER_OR_INDEX,DOCUMENTED_EXTRACTION_OR_TRACKER,TRACKED,SERA-ENGINE-VNEXT-A4R106-NODE-EVIDENCE-MATRIX-A4R107-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0020,docs/sera-vnext/SERA_ENGINE_VNEXT_REAL_EVENT_UNCERTAINTY_REDUCTION_MATRIX_A4R70_v0.2.0.md,SERA_ENGINE_VNEXT_REAL_EVENT_UNCERTAINTY_REDUCTION_MATRIX_A4R70_v0.2.0.md,md,TRACKER_OR_INDEX,DOCUMENTED_EXTRACTION_OR_TRACKER,TRACKED,SERA-ENGINE-VNEXT-REAL-EVENT-UNCERTAINTY-REDUCTION-MATRIX-A4R70-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0021,docs/sera-vnext/SERA_ENGINE_VNEXT_REGISTRY_CORRECTION_OVERLAY_A4R158_v0.2.0.md,SERA_ENGINE_VNEXT_REGISTRY_CORRECTION_OVERLAY_A4R158_v0.2.0.md,md,TRACKER_OR_INDEX,DOCUMENTED_EXTRACTION_OR_TRACKER,TRACKED,SERA-ENGINE-VNEXT-REGISTRY-CORRECTION-OVERLAY-A4R158-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0022,docs/sera-vnext/SERA_ENGINE_VNEXT_REGISTRY_INTEGRITY_MACHINE_CHECK_A4R157_v0.2.0.md,SERA_ENGINE_VNEXT_REGISTRY_INTEGRITY_MACHINE_CHECK_A4R157_v0.2.0.md,md,TRACKER_OR_INDEX,DOCUMENTED_EXTRACTION_OR_TRACKER,TRACKED,SERA-ENGINE-VNEXT-REGISTRY-INTEGRITY-MACHINE-CHECK-A4R157-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0023,docs/sera-vnext/SERA_ENGINE_VNEXT_RELEASE_ELIGIBILITY_DRY_RUN_MATRIX_A4R81_v0.2.0.md,SERA_ENGINE_VNEXT_RELEASE_ELIGIBILITY_DRY_RUN_MATRIX_A4R81_v0.2.0.md,md,TRACKER_OR_INDEX,DOCUMENTED_EXTRACTION_OR_TRACKER,TRACKED,SERA-ENGINE-VNEXT-RELEASE-ELIGIBILITY-DRY-RUN-MATRIX-A4R81-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0024,docs/sera-vnext/approved-gates-a4r161/APPROVED_GATE_SET_MATRIX_A4R161_v0.2.0.csv,APPROVED_GATE_SET_MATRIX_A4R161_v0.2.0.csv,csv,TRACKER_OR_INDEX,STRUCTURED_MATRIX_OR_INDEX,TRACKED,APPROVED-GATE-SET-MATRIX-A4R161-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0025,docs/sera-vnext/author-review-gates-a4r160/AUTHOR_GATE_DECISION_MATRIX_A4R160_v0.2.0.csv,AUTHOR_GATE_DECISION_MATRIX_A4R160_v0.2.0.csv,csv,TRACKER_OR_INDEX,STRUCTURED_MATRIX_OR_INDEX,TRACKED,AUTHOR-GATE-DECISION-MATRIX-A4R160-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0026,docs/sera-vnext/author-review-packets-a4r131/AUTHOR_REVIEW_TRACKER_A4R131_v0.2.0.md,AUTHOR_REVIEW_TRACKER_A4R131_v0.2.0.md,md,TRACKER_OR_INDEX,DOCUMENTED_EXTRACTION_OR_TRACKER,TRACKED,AUTHOR-REVIEW-TRACKER-A4R131-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0027,docs/sera-vnext/candidate-runner-a4r175/SERA_P1B_EXECUFLIGHT_CANDIDATE_MATRIX_A4R175_v0.2.0.csv,SERA_P1B_EXECUFLIGHT_CANDIDATE_MATRIX_A4R175_v0.2.0.csv,csv,TRACKER_OR_INDEX,STRUCTURED_MATRIX_OR_INDEX,TRACKED,SERA-P1B-EXECUFLIGHT-CANDIDATE-MATRIX-A4R175-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0028,docs/sera-vnext/candidate-validation-closure-a4r174/SERA_CANDIDATE_VALIDATION_CLOSURE_MATRIX_A4R174_v0.2.0.csv,SERA_CANDIDATE_VALIDATION_CLOSURE_MATRIX_A4R174_v0.2.0.csv,csv,TRACKER_OR_INDEX,STRUCTURED_MATRIX_OR_INDEX,TRACKED,SERA-CANDIDATE-VALIDATION-CLOSURE-MATRIX-A4R174-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0029,docs/sera-vnext/daumas-sera-reference-cases-a4r167/SERA_DAUMAS_REFERENCE_CASE_MATRIX_A4R167_v0.2.0.csv,SERA_DAUMAS_REFERENCE_CASE_MATRIX_A4R167_v0.2.0.csv,csv,TRACKER_OR_INDEX,STRUCTURED_MATRIX_OR_INDEX,TRACKED,SERA-DAUMAS-REFERENCE-CASE-MATRIX-A4R167-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0030,docs/sera-vnext/daumas-vnext-mapping-review-a4r168/SERA_DAUMAS_VNEXT_MAPPING_MATRIX_A4R168_v0.2.0.csv,SERA_DAUMAS_VNEXT_MAPPING_MATRIX_A4R168_v0.2.0.csv,csv,TRACKER_OR_INDEX,STRUCTURED_MATRIX_OR_INDEX,TRACKED,SERA-DAUMAS-VNEXT-MAPPING-MATRIX-A4R168-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0031,docs/sera-vnext/escape-point-gates-a4r146/ESCAPE_POINT_GATE_DRAFT_TRACKER_A4R146_v0.2.0.md,ESCAPE_POINT_GATE_DRAFT_TRACKER_A4R146_v0.2.0.md,md,TRACKER_OR_INDEX,DOCUMENTED_EXTRACTION_OR_TRACKER,TRACKED,ESCAPE-POINT-GATE-DRAFT-TRACKER-A4R146-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0032,docs/sera-vnext/evidence-expansion-runner-architecture-a4r177/SERA_A4R178_TO_A4R184_MACRO_PLAN_v0.2.0.md,SERA_A4R178_TO_A4R184_MACRO_PLAN_v0.2.0.md,md,UNKNOWN_DOCS_SOURCE,DOCUMENTED_EXTRACTION_OR_TRACKER,TRACKED,SERA-A4R178-TO-A4R184-MACRO-PLAN-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EVENT_OR_METADATA,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0033,docs/sera-vnext/evidence-expansion-runner-architecture-a4r177/SERA_EVIDENCE_EXPANSION_AND_VNEXT_RUNNER_ARCHITECTURE_A4R177_v0.2.0.md,SERA_EVIDENCE_EXPANSION_AND_VNEXT_RUNNER_ARCHITECTURE_A4R177_v0.2.0.md,md,UNKNOWN_DOCS_SOURCE,DOCUMENTED_EXTRACTION_OR_TRACKER,TRACKED,SERA-EVIDENCE-EXPANSION-AND-VNEXT-RUNNER-ARCHITECTURE-A4R177-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EVENT_OR_METADATA,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
A4R178-INV-0034,docs/sera-vnext/evidence-expansion-runner-architecture-a4r177/SERA_P_O_A_COVERAGE_TARGET_MATRIX_A4R177_v0.2.0.csv,SERA_P_O_A_COVERAGE_TARGET_MATRIX_A4R177_v0.2.0.csv,csv,TRACKER_OR_INDEX,STRUCTURED_MATRIX_OR_INDEX,TRACKED,SERA-P-O-A-COVERAGE-TARGET-MATRIX-A4R177-V0-2-0,UNKNOWN,UNKNOWN,UNKNOWN,LOW,TRACKER_OR_MATRIX,NOT_ASSESSED,NOT_ASSESSED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_SOURCE_REVIEW,NEEDS_SOURCE_ENRICHMENT,structural inventory only; no final SERA classification
