eventId,eventName,priorLocalTxtPath,correctedLocalTxtPath,priorStatus,correctedStatus,correctionType,sourceConfidenceAfterCorrection,usableForFutureGatePrep,usableForFutureNegativeControl,blocksFuturePOA,reason,evidenceFromA4R157,requiredNextAction
TXT-080,AIR-CANADA-624-TSB-A15H0002,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AIR-CANADA-624-TSB-A15H0002.txt,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/AIR-CANADA-624-TSB-A15H0002.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=a15h0002|air|canada|other|tsb,A4R157-ISSUE-011,Resolve alias ownership before gate-prep
TXT-028,AIRCRAFT-ACCIDENT-REPORT-AAR-06-01-CORPORAT,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/31__2006__NTSB-USA__BAe-Jetstream-3201__Aircraft-Accident-Report-AAR-06-01-Corporat.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=aar|aircraft|corporat,A4R157-ISSUE-012,Resolve alias ownership before gate-prep
TXT-001,AIRCRAFT-ACCIDENT-REPORT-AAR-2-2014-EC225-L,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/15__2014__AAIB-UK__Eurocopter-EC225-LP__Aircraft-Accident-Report-AAR-2-2014-EC225-L.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=2014|aircraft|ec225|other,A4R157-ISSUE-013,Resolve alias ownership before gate-prep
TXT-015,AVIATION-INVESTIGATION-FINAL-REPORT-WPR18MA08,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/19__2021__NTSB-USA__Eurocopter-EC130__Aviation-Investigation-Final-Report-WPR18MA08.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/19__2021__NTSB-USA__Eurocopter-EC130__Aviation-Investigation-Final-Report-WPR18MA08.txt,WRONG_EVENT_SUSPECTED,BLOCKED_WRONG_EVENT_SUSPECTED,WRONG_EVENT_BLOCK,LOW,NO,NO,YES,status=WRONG_EVENT_SUSPECTED; matched=wpr18ma08,A4R157-ISSUE-014,Potential misattribution; run manual header check
TXT-029,BS211-Q400,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=other,A4R157-ISSUE-015,Resolve alias ownership before gate-prep
TXT-032,CRASH-DURING-NONPRECISION-INSTRUMENT-APPROACH,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=approach|crash|instrument|nonprecision|other,A4R157-ISSUE-016,Resolve alias ownership before gate-prep
TXT-058,CROSSAIR-FLIGHT-3597-AVRO-RJ100-HB-IXM-CFI,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-4__2002__SUST-Switzerland__Avro-RJ100__Crossair-Flight-3597-Avro-RJ100-HB-IXM-CFI.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-4__2002__SUST-Switzerland__Avro-RJ100__Crossair-Flight-3597-Avro-RJ100-HB-IXM-CFI.txt,WRONG_EVENT_SUSPECTED,BLOCKED_WRONG_EVENT_SUSPECTED,WRONG_EVENT_BLOCK,LOW,NO,NO,YES,status=WRONG_EVENT_SUSPECTED; matched=other,A4R157-ISSUE-017,Potential misattribution; run manual header check
TXT-040,DELTA-AIR-LINES-FLIGHT-191-L-1011-DFW-MICRO,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-11__1986__NTSB-USA__Lockheed-L-1011-TriStar__Delta-Air-Lines-Flight-191-L-1011-DFW-Micro.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-11__1986__NTSB-USA__Lockheed-L-1011-TriStar__Delta-Air-Lines-Flight-191-L-1011-DFW-Micro.txt,WRONG_EVENT_SUSPECTED,BLOCKED_WRONG_EVENT_SUSPECTED,WRONG_EVENT_BLOCK,LOW,NO,NO,YES,status=WRONG_EVENT_SUSPECTED; matched=,A4R157-ISSUE-018,Potential misattribution; run manual header check
TXT-056,EUROCOPTER-AS332-L2-SUPER-PUMA-G-WNSB-SUMBU,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=as332|eurocopter|g-wnsb|other|puma|sumbu|super|wnsb,A4R157-ISSUE-019,Resolve alias ownership before gate-prep
TXT-061,GOL-1907-ASN-MIRROR,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-7__2008__CENIPA-Brazil__Boeing-737-8EH__Gol-1907-ASN-mirror.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-7__2008__CENIPA-Brazil__Boeing-737-8EH__Gol-1907-ASN-mirror.txt,WRONG_EVENT_SUSPECTED,BLOCKED_WRONG_EVENT_SUSPECTED,WRONG_EVENT_BLOCK,LOW,NO,NO,YES,status=WRONG_EVENT_SUSPECTED; matched=,A4R157-ISSUE-020,Potential misattribution; run manual header check
TXT-062,NTSB-AAR-86-05-DELTA-191,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/40__1986__NTSB-USA__Lockheed-L-1011-385-1__NTSB-AAR-86-05-Delta-191.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/40__1986__NTSB-USA__Lockheed-L-1011-385-1__NTSB-AAR-86-05-Delta-191.txt,WRONG_EVENT_SUSPECTED,BLOCKED_WRONG_EVENT_SUSPECTED,WRONG_EVENT_BLOCK,LOW,NO,NO,YES,status=WRONG_EVENT_SUSPECTED; matched=,A4R157-ISSUE-021,Potential misattribution; run manual header check
TXT-082,REAL-EVENT-0016-MULTI-EVENT-PACKET,docs/sera-vnext/source-corpus/txt-events/pdf24_merged.txt,docs/sera-vnext/source-corpus/txt-events/pdf24_merged.txt,JOURNALISM_NOT_REPORT,BLOCKED_JOURNALISM_NOT_REPORT,JOURNALISM_QUARANTINE,LOW,NO,NO,YES,status=JOURNALISM_NOT_REPORT; matched=other,A4R157-ISSUE-022,Journalism path; keep out of event evidence lane
TXT-045,SIKORSKY-S-76A-OFFSHORE-CFIT-GULF-OF-MEXIC,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-29__2006__NTSB-USA__Sikorsky-S-76A__Sikorsky-S-76A-offshore-CFIT-Gulf-of-Mexic.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-29__2006__NTSB-USA__Sikorsky-S-76A__Sikorsky-S-76A-offshore-CFIT-Gulf-of-Mexic.txt,WRONG_EVENT_SUSPECTED,BLOCKED_WRONG_EVENT_SUSPECTED,WRONG_EVENT_BLOCK,LOW,NO,NO,YES,status=WRONG_EVENT_SUSPECTED; matched=,A4R157-ISSUE-023,Potential misattribution; run manual header check
TXT-064,TSB-A09A0016-COUGAR-S-92A,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=92a|a09a0016|cougar|other|s-92a,A4R157-ISSUE-024,Resolve alias ownership before gate-prep
TXT-068,TSB-A13H0001-ORNGE-S-76A-MOOSONEE,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=76a|a13h0001|moosonee|other|s-76a|tsb,A4R157-ISSUE-025,Resolve alias ownership before gate-prep
TXT-071,TSB-A15H0002-AIR-CANADA-A320-HALIFAX,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=a15h0002|a320|air|canada|halifax|tsb,A4R157-ISSUE-026,Resolve alias ownership before gate-prep
TXT-074,UPS-1354-NTSB-AAR1402,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/UPS-1354-NTSB-AAR1402.txt,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/UPS-1354-NTSB-AAR1402.txt,DUPLICATE_PATH_SHARED,DUPLICATE_ARCHIVE_REFERENCE,ALIAS_DUPLICATE_NORMALIZATION,MEDIUM,YES_WITH_CAUTION,YES_WITH_CAUTION,YES,status=DUPLICATE_PATH_SHARED; matched=1354|ntsb|ups,A4R157-ISSUE-027,Resolve alias ownership before gate-prep
TXT-069,UPS6-CAA-UK-MIRROR,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-35__2013__GCAA-UAE__Boeing-747-44AF__UPS6-CAA-UK-mirror.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-35__2013__GCAA-UAE__Boeing-747-44AF__UPS6-CAA-UK-mirror.txt,WRONG_EVENT_SUSPECTED,BLOCKED_WRONG_EVENT_SUSPECTED,WRONG_EVENT_BLOCK,LOW,NO,NO,YES,status=WRONG_EVENT_SUSPECTED; matched=,A4R157-ISSUE-028,Potential misattribution; run manual header check
UNREFERENCED_LOCAL_TXT,UNREFERENCED_OR_ALIAS_ENTRY,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-2.txt,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-2.txt,JOURNALISM_NOT_REPORT,BLOCKED_JOURNALISM_NOT_REPORT,JOURNALISM_QUARANTINE,LOW,NO,NO,YES,Present in local corpus inventory but not referenced by integrated registry,A4R157-ISSUE-029,Keep as non-authoritative context only
UNREFERENCED_LOCAL_TXT,UNREFERENCED_OR_ALIAS_ENTRY,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-3.txt,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-3.txt,BULLETIN_OR_MULTI_EVENT,BLOCKED_BULLETIN_OR_MULTI_EVENT,MULTI_EVENT_BULLETIN_QUARANTINE,LOW,NO,NO,YES,Present in local corpus inventory but not referenced by integrated registry,A4R157-ISSUE-030,Keep only as indexing aid; exclude from event evidence
UNREFERENCED_LOCAL_TXT,UNREFERENCED_OR_ALIAS_ENTRY,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-5.txt,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-5.txt,NON_EVENT_DOCUMENT,BLOCKED_NON_EVENT_DOCUMENT,NON_EVENT_QUARANTINE,LOW,NO,NO,YES,Present in local corpus inventory but not referenced by integrated registry,A4R157-ISSUE-031,Maintain quarantine as out-of-scope reference material
UNREFERENCED_LOCAL_TXT,UNREFERENCED_OR_ALIAS_ENTRY,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-6.txt,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-6.txt,NON_EVENT_DOCUMENT,BLOCKED_NON_EVENT_DOCUMENT,NON_EVENT_QUARANTINE,LOW,NO,NO,YES,Present in local corpus inventory but not referenced by integrated registry,A4R157-ISSUE-032,Maintain quarantine as out-of-scope reference material
UNREFERENCED_LOCAL_TXT,UNREFERENCED_OR_ALIAS_ENTRY,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-7.txt,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-7.txt,NON_EVENT_DOCUMENT,BLOCKED_NON_EVENT_DOCUMENT,NON_EVENT_QUARANTINE,LOW,NO,NO,YES,Present in local corpus inventory but not referenced by integrated registry,A4R157-ISSUE-033,Maintain quarantine as out-of-scope reference material
UNREFERENCED_LOCAL_TXT,UNREFERENCED_OR_ALIAS_ENTRY,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-8.txt,docs/sera-vnext/source-corpus/txt-events/pdf24_merged-8.txt,NON_EVENT_DOCUMENT,BLOCKED_NON_EVENT_DOCUMENT,NON_EVENT_QUARANTINE,LOW,NO,NO,YES,Present in local corpus inventory but not referenced by integrated registry,A4R157-ISSUE-034,Maintain quarantine as out-of-scope reference material
UNREFERENCED_LOCAL_TXT,UNREFERENCED_LOCAL_TXT,docs/sera-vnext/source-corpus/official-reports/a4r105-curated/SHA256SUMS.txt,docs/sera-vnext/source-corpus/official-reports/a4r105-curated/SHA256SUMS.txt,UNREFERENCED_LOCAL_TXT,BLOCKED_NON_EVENT_DOCUMENT,HASH_INDEX_QUARANTINE,LOW,NO,NO,YES,"Checksum index file, not event evidence",UNREFERENCED_LOCAL_TXT_INVENTORY,Keep logical quarantine until explicit registry binding decision
UNREFERENCED_LOCAL_TXT,UNREFERENCED_LOCAL_TXT,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/37__1982__NTSB-USA__Boeing-737-222__Aircraft-Accident-Report-AAR-82-08-Air-Flor.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/37__1982__NTSB-USA__Boeing-737-222__Aircraft-Accident-Report-AAR-82-08-Air-Flor.txt,UNREFERENCED_LOCAL_TXT,MANUAL_REVIEW_REQUIRED,UNREFERENCED_PATH_REVIEW,LOW,NO,NO,YES,Local TXT exists but is not referenced by A4R150 registry,UNREFERENCED_LOCAL_TXT_INVENTORY,Keep logical quarantine until explicit registry binding decision
UNREFERENCED_LOCAL_TXT,UNREFERENCED_LOCAL_TXT,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/43__2022__TSB-Canada__Same-as-A21P0018__Air-Transportation-Safety-Investigation-Repor.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/43__2022__TSB-Canada__Same-as-A21P0018__Air-Transportation-Safety-Investigation-Repor.txt,UNREFERENCED_LOCAL_TXT,MANUAL_REVIEW_REQUIRED,UNREFERENCED_PATH_REVIEW,LOW,NO,NO,YES,Local TXT exists but is not referenced by A4R150 registry,UNREFERENCED_LOCAL_TXT_INVENTORY,Keep logical quarantine until explicit registry binding decision
UNREFERENCED_LOCAL_TXT,UNREFERENCED_LOCAL_TXT,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-12__1982__NTSB-USA__Boeing-737-222__Air-Florida-Flight-90-Boeing-737-222-Washi.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-12__1982__NTSB-USA__Boeing-737-222__Air-Florida-Flight-90-Boeing-737-222-Washi.txt,UNREFERENCED_LOCAL_TXT,MANUAL_REVIEW_REQUIRED,UNREFERENCED_PATH_REVIEW,LOW,NO,NO,YES,Local TXT exists but is not referenced by A4R150 registry,UNREFERENCED_LOCAL_TXT_INVENTORY,Keep logical quarantine until explicit registry binding decision
UNREFERENCED_LOCAL_TXT,UNREFERENCED_LOCAL_TXT,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-14__1991__NTSB-USA__Boeing-737-300-Fairchild-Metroliner-SA-227-AC__USAir-Flight-1493-Runway-Collision-with-Sky.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-14__1991__NTSB-USA__Boeing-737-300-Fairchild-Metroliner-SA-227-AC__USAir-Flight-1493-Runway-Collision-with-Sky.txt,UNREFERENCED_LOCAL_TXT,MANUAL_REVIEW_REQUIRED,UNREFERENCED_PATH_REVIEW,LOW,NO,NO,YES,Local TXT exists but is not referenced by A4R150 registry,UNREFERENCED_LOCAL_TXT_INVENTORY,Keep logical quarantine until explicit registry binding decision
UNREFERENCED_LOCAL_TXT,UNREFERENCED_LOCAL_TXT,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-37__2021__TSB-Canada__Small-aircraft-helicopter-ver-TSB-para-tipo-exato__Air-transportation-safety-investigation-repor.txt,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-37__2021__TSB-Canada__Small-aircraft-helicopter-ver-TSB-para-tipo-exato__Air-transportation-safety-investigation-repor.txt,UNREFERENCED_LOCAL_TXT,MANUAL_REVIEW_REQUIRED,UNREFERENCED_PATH_REVIEW,LOW,NO,NO,YES,Local TXT exists but is not referenced by A4R150 registry,UNREFERENCED_LOCAL_TXT_INVENTORY,Keep logical quarantine until explicit registry binding decision
