selectionId,inventoryId,probableEventKey,sourcePath,sourceBucket,sourceQuality,selectionLane,selectionStatus,selectionPriority,escapePointClarity,actorClarity,multiActorPotential,negativeControlPotential,likelyCoverageP,likelyCoverageO,likelyCoverageA,dedupeRisk,sourceEnrichmentNeed,methodologicalValue,selectionRationale,prohibitedUse,nextStep
A4R179-SEL-0011,A4R178-INV-0250,NTSB-USA-BOEING-747-300,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/5__2000__NTSB-USA__Boeing-747-300__Controlled-Flight-Into-Terrain-Korean-Air-Fl.pdf,SOURCE_CORPUS_OFFICIAL_REPORT,HIGH,Negative control candidates,SELECT_AS_NEGATIVE_CONTROL,MEDIUM,UNCLEAR,UNCLEAR,UNKNOWN,MEDIUM,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,MEDIUM,HIGH,lane=Negative control candidates; sourceQuality=HIGH; sourceBucket=SOURCE_CORPUS_OFFICIAL_REPORT; escapePointClarity=UNCLEAR; actorClarity=UNCLEAR; multiActorPotential=UNKNOWN; negativeControlPotential=MEDIUM; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0012,A4R178-INV-0246,TSB-CANADA-LIGHT-HELICOPTER-OR-SMALL-AIRCRAFT-SEE-REPORT-FOR-EXACT-TYPE,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/46__2021__TSB-Canada__Light-helicopter-or-small-aircraft-see-report-for-exact-type__Air-transportation-safety-investigation-repor.pdf,SOURCE_CORPUS_OFFICIAL_REPORT,HIGH,Multi-actor candidates,SELECT_AS_MULTI_ACTOR,HIGH,UNCLEAR,UNCLEAR,POTENTIAL_MULTI_ACTOR,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,MEDIUM,HIGH,lane=Multi-actor candidates; sourceQuality=HIGH; sourceBucket=SOURCE_CORPUS_OFFICIAL_REPORT; escapePointClarity=UNCLEAR; actorClarity=UNCLEAR; multiActorPotential=POTENTIAL_MULTI_ACTOR; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0013,A4R178-INV-0347,TSB-CANADA-BELL-206B,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool/NEW50-24__2015__TSB-Canada__Bell-206B__TSB-A13W0070-Bell-206B-Fort-McMurray.pdf,SOURCE_CORPUS_OFFICIAL_REPORT,HIGH,Multi-actor candidates,SELECT_AS_MULTI_ACTOR,HIGH,UNCLEAR,UNCLEAR,POTENTIAL_MULTI_ACTOR,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,MEDIUM,HIGH,lane=Multi-actor candidates; sourceQuality=HIGH; sourceBucket=SOURCE_CORPUS_OFFICIAL_REPORT; escapePointClarity=UNCLEAR; actorClarity=UNCLEAR; multiActorPotential=POTENTIAL_MULTI_ACTOR; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0014,A4R178-INV-0294,NTSB-USA-SIKORSKY-S-76A,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool/NEW50-29__2006__NTSB-USA__Sikorsky-S-76A__Sikorsky-S-76A-offshore-CFIT-Gulf-of-Mexic.pdf,SOURCE_CORPUS_OFFICIAL_REPORT,HIGH,Multi-actor candidates,SELECT_AS_MULTI_ACTOR,MEDIUM,UNCLEAR,UNCLEAR,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,MEDIUM,MEDIUM,lane=Multi-actor candidates; sourceQuality=HIGH; sourceBucket=SOURCE_CORPUS_OFFICIAL_REPORT; escapePointClarity=UNCLEAR; actorClarity=UNCLEAR; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0015,A4R178-INV-0079,SOURCE-SLICE-USAIR-427-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-USAIR-427-A4R115.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Multi-actor candidates,SELECT_AS_MULTI_ACTOR,MEDIUM,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Multi-actor candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0016,A4R178-INV-0075,SOURCE-SLICE-KOREAN-801-BOUNDARY-A4R115,docs/sera-vnext/official-report-source-slices/a4r115/SOURCE-SLICE-KOREAN-801-BOUNDARY-A4R115.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Boundary/ambiguous candidates,SELECT_AS_BOUNDARY_CASE,HIGH,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Boundary/ambiguous candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0017,A4R178-INV-0081,SOURCE-SLICE-UNITED-173-A4R119,docs/sera-vnext/official-report-source-slices/a4r119/SOURCE-SLICE-UNITED-173-A4R119.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Boundary/ambiguous candidates,SELECT_AS_BOUNDARY_CASE,MEDIUM,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Boundary/ambiguous candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0018,A4R178-INV-0082,SOURCE-SLICE-UNITED-232-A4R119,docs/sera-vnext/official-report-source-slices/a4r119/SOURCE-SLICE-UNITED-232-A4R119.md,OFFICIAL_REPORT_SOURCE_SLICE,HIGH,Boundary/ambiguous candidates,SELECT_AS_BOUNDARY_CASE,MEDIUM,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,LOW,LOW,HIGH,lane=Boundary/ambiguous candidates; sourceQuality=HIGH; sourceBucket=OFFICIAL_REPORT_SOURCE_SLICE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0019,A4R178-INV-0241,NTSB-USA-AIRBUS-A320-214,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/39__2010__NTSB-USA__Airbus-A320-214__Aircraft-Accident-Report-AAR-10-03-US-Airwa.pdf,SOURCE_CORPUS_OFFICIAL_REPORT,HIGH,Boundary/ambiguous candidates,DUPLICATE_REVIEW_REQUIRED,MEDIUM,UNCLEAR,UNCLEAR,UNKNOWN,UNKNOWN,POTENTIAL_BROAD,POTENTIAL_BROAD,POTENTIAL_BROAD,HIGH,MEDIUM,MEDIUM,lane=Boundary/ambiguous candidates; sourceQuality=HIGH; sourceBucket=SOURCE_CORPUS_OFFICIAL_REPORT; escapePointClarity=UNCLEAR; actorClarity=UNCLEAR; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_BROAD/POTENTIAL_BROAD/POTENTIAL_BROAD; dedupe review required before extraction,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_PREP_AFTER_REVIEW
A4R179-SEL-0020,A4R178-INV-0177,REAL-EVENT-0003,docs/sera-vnext/real-event-reaudits-a4r139/REAL-EVENT-0003_REAUDIT_AT_ESCAPE_POINT_A4R139_v0.2.0.md,REAL_EVENT_EXTRACTION,MEDIUM,Insufficient evidence / UNRESOLVED candidates,SELECT_AS_UNRESOLVED_CANDIDATE,HIGH,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_DIRECT,POTENTIAL_DIRECT,POTENTIAL_DIRECT,LOW,LOW,MEDIUM,lane=Insufficient evidence / UNRESOLVED candidates; sourceQuality=MEDIUM; sourceBucket=REAL_EVENT_EXTRACTION; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_DIRECT/POTENTIAL_DIRECT/POTENTIAL_DIRECT; selected as UNRESOLVED to reduce ambiguity in A4R180,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_STRUCTURED_EXTRACTION_PREP
A4R179-SEL-0021,A4R178-INV-0162,QUESTIONPATH-BACKFILL-BATCH2-001,docs/sera-vnext/real-event-questionpath-backfill/QUESTIONPATH-BACKFILL-BATCH2-001.md,REAL_EVENT_EXTRACTION,MEDIUM,Tracker/backfill review candidates,NOT_DIRECT_EVENT_SOURCE_FOR_A4R180,LOW,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_DIRECT,POTENTIAL_DIRECT,POTENTIAL_DIRECT,LOW,HIGH,LOW,lane=Tracker/backfill review candidates; sourceQuality=MEDIUM; sourceBucket=REAL_EVENT_EXTRACTION; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_DIRECT/POTENTIAL_DIRECT/POTENTIAL_DIRECT; artifact is tracker/backfill and not a direct real-event source for A4R180,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_PRIMARY_EVENT_SOURCE_REQUIRED
A4R179-SEL-0022,A4R178-INV-0129,QUEUE-B-P0-POA-REVIEW-TRACKER-A4R129-V0-2-0,docs/sera-vnext/real-event-escape-point-reaudit/QUEUE_B_P0_POA_REVIEW_TRACKER_A4R129_v0.2.0.md,REAL_EVENT_EXTRACTION,MEDIUM,Tracker/backfill review candidates,NOT_DIRECT_EVENT_SOURCE_FOR_A4R180,LOW,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,POTENTIAL_DIRECT,POTENTIAL_DIRECT,POTENTIAL_DIRECT,LOW,HIGH,LOW,lane=Tracker/backfill review candidates; sourceQuality=MEDIUM; sourceBucket=REAL_EVENT_EXTRACTION; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=POTENTIAL_DIRECT/POTENTIAL_DIRECT/POTENTIAL_DIRECT; artifact is tracker/backfill and not a direct real-event source for A4R180,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_PRIMARY_EVENT_SOURCE_REQUIRED
A4R179-SEL-0023,A4R178-INV-0045,EXT-BATCH1-EXTRACTION-001,docs/sera-vnext/external-candidates/extractions-batch-1/EXT-BATCH1-EXTRACTION-001.md,EXTERNAL_CANDIDATE,MEDIUM,Source enrichment candidates,SOURCE_ENRICHMENT_REQUIRED,LOW,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,LOW,HIGH,LOW,lane=Source enrichment candidates; sourceQuality=MEDIUM; sourceBucket=EXTERNAL_CANDIDATE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=NEEDS_REVIEW/NEEDS_REVIEW/NEEDS_REVIEW; requires source enrichment before extraction,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_PREP_AFTER_REVIEW
A4R179-SEL-0024,A4R178-INV-0046,EXT-BATCH1-EXTRACTION-002,docs/sera-vnext/external-candidates/extractions-batch-1/EXT-BATCH1-EXTRACTION-002.md,EXTERNAL_CANDIDATE,MEDIUM,Source enrichment candidates,SOURCE_ENRICHMENT_REQUIRED,LOW,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,LOW,HIGH,LOW,lane=Source enrichment candidates; sourceQuality=MEDIUM; sourceBucket=EXTERNAL_CANDIDATE; escapePointClarity=PARTIAL; actorClarity=PARTIAL; multiActorPotential=UNKNOWN; negativeControlPotential=UNKNOWN; likelyCoverage=NEEDS_REVIEW/NEEDS_REVIEW/NEEDS_REVIEW; requires source enrichment before extraction,NOT_FOR_FIXTURE_NOT_FOR_BASELINE_NOT_FINAL_P_O_A,A4R180_PREP_AFTER_REVIEW
