adjudicationId,sourceExtractionId,eventKey,batch,adjudicationStatus,narrativeSufficiency,sourceDirectness,duplicateGroup,proposedEscapePointScope,proposedDirectActorModel,actorContributionMode,potentialP,potentialO,potentialA,notFinalClassification,mainRisk,authorDecisionQuestion,allowedAnswers,nextStep
A4R181-ADJ-0011,A4R180-EXTRACTION-0011,Korean Air 801 Guam,BATCH_C,CONSOLIDATION_REQUIRED,NARRATIVE_THIN_NEEDS_ENRICHMENT,SOURCE_PDF_NOT_READ_DIRECT,DUPLICATE_GROUP_KOREAN_801,SINGLE_ESCAPE_POINT_BOUNDARY_GOVERNANCE,CAPTAIN_PF_BOUNDARY,SINGLE_ACTOR_WITH_BOUNDARY,HYP_P_glideslope_unavailable_awareness,HYP_O_continued_descent_below_minima,HYP_A_no_goaround_at_minima,true,Reabrir P-only governance previo (A4R109/A4R110) sem justificativa; adjudicar par 0011/0016 em dobro,Consolidar 0011 + 0016 em UMA adjudicacao boundary e respeitar/justificar o P-only governance previo?,APROVO|NAO APROVO|PRECISO REVISAR,Consolidacao boundary com 0016 registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0012,A4R180-EXTRACTION-0012,Bell 206L-4 Quebec,BATCH_B,FRAMING_DECISION_REQUIRED,NARRATIVE_THIN_NEEDS_ENRICHMENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,,BOUNDARY_FLAT_LIGHT_SINGLE_PILOT,SINGLE_PILOT,SINGLE_ACTOR_REFRAME_FROM_MULTI,HYP_P_flat_light_visual_cue_degradation,HYP_O_continued_flight_into_degraded_visual,HYP_A_single_pilot_control_under_flat_light,true,Manter framing multi-actor de A4R179 quando a operacao e single-pilot,Confirmar reframe de multi-actor para single-pilot boundary (flat light) para este caso?,APROVO|NAO APROVO|PRECISO REVISAR,Reframe single-pilot registrado em A4R182 sem fechamento P/O/A
A4R181-ADJ-0013,A4R180-EXTRACTION-0013,Bell 206B Fort McMurray,BATCH_B,FRAMING_DECISION_REQUIRED,NARRATIVE_SUFFICIENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,,BOUNDARY_LTE_TECHNICAL_SINGLE_PILOT,SINGLE_PILOT_WITH_TECHNICAL_BOUNDARY,SINGLE_ACTOR_REFRAME_FROM_MULTI,HYP_P_yaw_control_margin_awareness,HYP_O_continued_maneuver_low_speed_downwind,HYP_A_pedal_input_under_LTE,true,Tratar LTE (loss of tail rotor effectiveness) tecnico como acao humana padrao; manter multi-actor indevido,Confirmar reframe single-pilot com boundary tecnico LTE e separacao entre fenomeno tecnico e acao humana?,APROVO|NAO APROVO|PRECISO REVISAR,Reframe single-pilot LTE registrado em A4R182 sem fechamento P/O/A
A4R181-ADJ-0014,A4R180-EXTRACTION-0014,Sikorsky S-76A Gulf of Mexico,BATCH_D,HOLD_REPAIR_REQUIRED,SOURCE_MISMATCH_REQUIRES_REPAIR,SOURCE_TXT_MISMATCH,,HOLD_NO_VALID_SOURCE,HOLD,N/A,UNKNOWN,UNKNOWN,UNKNOWN,true,Operar com fonte errada (TXT companion contem Cessna 172R FTW02LA122) e adjudicar evento inexistente,Autorizar reparo de fonte (leitura direta do PDF NEW50-29 ou re-extracao do TXT) antes de qualquer adjudicacao?,APROVO|NAO APROVO|PRECISO REVISAR,Reparo de fonte agendado; adjudicacao suspensa ate fonte valida
A4R181-ADJ-0015,A4R180-EXTRACTION-0015,USAir 427,BATCH_D,HOLD_BOUNDARY_REVIEW,SOURCE_PARTIAL_NEEDS_CAUTION,SOURCE_DIRECT_OR_PRIMARY_LIKE,,HOLD_TECHNICAL_DOMINANCE_BOUNDARY,HOLD_TECHNICAL_VS_OPERATOR,N/A,UNKNOWN,UNKNOWN,UNKNOWN,true,Overclassification: atribuir a operador um evento de dominancia tecnica (PCU rudder hardover),Autorizar boundary review tecnico-vs-operador dedicada antes de qualquer trace draft (risco de overclassification consciente)?,APROVO|NAO APROVO|PRECISO REVISAR,Boundary review tecnica agendada; sem trace draft ate revisao
A4R181-ADJ-0016,A4R180-EXTRACTION-0016,Korean Air 801 Guam,BATCH_C,CONSOLIDATION_REQUIRED,NARRATIVE_THIN_NEEDS_ENRICHMENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,DUPLICATE_GROUP_KOREAN_801,SINGLE_ESCAPE_POINT_BOUNDARY_GOVERNANCE,CAPTAIN_PF_BOUNDARY,SINGLE_ACTOR_WITH_BOUNDARY,UNKNOWN,UNKNOWN,UNKNOWN,true,Duplicata do evento fisico Korean Air 801 (par de 0011); adjudicar separadamente,Confirmar que 0016 e consolidado em 0011 (mesma adjudicacao boundary) e nao recebe adjudicacao independente?,APROVO|NAO APROVO|PRECISO REVISAR,Consolidacao com 0011 registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0017,A4R180-EXTRACTION-0017,United 173 PDX,BATCH_A,READY_FOR_AUTHOR_DECISION,NARRATIVE_SUFFICIENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,,ZONE_HOLDING_FUEL_CRITICAL_WINDOW,CAPTAIN_DECISION_PLUS_FO_PF_PLUS_FE_FUEL_MONITOR,SINGLE_ESCAPE_POINT_POSSIBLE_MULTI_ACTOR,HYP_P_attentional_fixation_gear_troubleshooting,HYP_O_persistent_troubleshooting_objective,HYP_A_late_transition_to_landing,true,Boundary entre attentional fixation (P) e action-selection adequacy (A); double-count,O ponto de fuga na janela de fuel critico durante o holding e defensavel como zona com possivel desdobramento multi-actor (CPT/FO/FE)?,APROVO|NAO APROVO|PRECISO REVISAR,Decisao autoral registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0018,A4R180-EXTRACTION-0018,United 232 Sioux City,BATCH_B,FRAMING_DECISION_REQUIRED,NARRATIVE_SUFFICIENT,SOURCE_DIRECT_OR_PRIMARY_LIKE,,BOUNDARY_ADVERSARIAL_A_AXIS_NOMINAL,CREW_PLUS_CHECK_AIRMAN_INTEGRATED,SINGLE_ESCAPE_POINT_MULTI_ACTOR,HYP_P_hydraulic_loss_awareness_nominal,HYP_O_controlled_ditching_attempt_nominal,HYP_A_differential_thrust_control_nominal,true,Usar outcome catastrofico para forcar A-axis adverso quando a acao da tripulacao foi nominal/adversarial-test,Confirmar framing adversarial em que A-axis pode ser nominal apesar do outcome catastrofico (perda hidraulica total)?,APROVO|NAO APROVO|PRECISO REVISAR,Decisao de framing adversarial registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0019,A4R180-EXTRACTION-0019,US Airways 1549,BATCH_C,CONSOLIDATION_REQUIRED,NARRATIVE_SUFFICIENT,SOURCE_PDF_NOT_READ_DIRECT,DUPLICATE_GROUP_US_AIRWAYS_1549,NEGATIVE_CONTROL_NOMINAL_TRAJECTORY,FLIGHT_CREW_INTEGRATED_BLOCK,SINGLE_ACTOR_NEGATIVE_CONTROL,UNKNOWN,UNKNOWN,UNKNOWN,true,Duplicata do evento fisico US Airways 1549 (par de 0009); adjudicar separadamente,Confirmar que 0019 e consolidado em 0009 (mesma adjudicacao negative control) e nao recebe adjudicacao independente?,APROVO|NAO APROVO|PRECISO REVISAR,Consolidacao com 0009 registrada em A4R182 sem fechamento P/O/A
A4R181-ADJ-0020,A4R180-EXTRACTION-0020,REAL-EVENT-0003 Tofino,BATCH_D,HOLD_UNRESOLVED,NARRATIVE_THIN_NEEDS_ENRICHMENT,SOURCE_PARTIAL,,HOLD_UNRESOLVED_ZONE,SINGLE_PILOT_NIGHT_APPROACH,SINGLE_ACTOR_UNRESOLVED,HYP_P_night_visual_cue_awareness,HYP_O_continued_approach_near_terrain,HYP_A_unresolved_pending_source,true,Forcar resolucao quando SOURCE_PARTIAL e escape point como zona sustentam UNRESOLVED defensavel,Manter UNRESOLVED como decisao autoral defensavel ou autorizar source enrichment dedicado para REAL-EVENT-0003?,APROVO|NAO APROVO|PRECISO REVISAR,Manter UNRESOLVED ou agendar source enrichment; sem fechamento P/O/A
A4R181-ADJ-0021,A4R180-EXTRACTION-0021,QuestionPath backfill Tofino,BATCH_D,HOLD_CROSS_REFERENCE_ONLY,HOLD_NO_DIRECT_EVENT_SOURCE,NOT_DIRECT_EVENT_SOURCE_TRACKER,,HOLD_NO_DIRECT_EVENT,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,true,Criar adjudicacao separada para tracker/backfill duplicando REAL-EVENT-0003 (0020),Confirmar que 0021 permanece HOLD e cross-reference apenas com 0020 sem adjudicacao independente?,APROVO|NAO APROVO|PRECISO REVISAR,Cross-reference com 0020 registrado; sem adjudicacao separada
A4R181-ADJ-0022,A4R180-EXTRACTION-0022,Queue B tracker,BATCH_D,HOLD_CROSS_REFERENCE_ONLY,HOLD_NO_DIRECT_EVENT_SOURCE,NOT_DIRECT_EVENT_SOURCE_TRACKER,,HOLD_NO_DIRECT_EVENT,N/A,N/A,UNKNOWN,UNKNOWN,UNKNOWN,true,Tratar tracker de revisao Queue B como fonte de evento direto,Confirmar que 0022 permanece HOLD como tracker e cross-reference com extracoes individuais sem adjudicacao propria?,APROVO|NAO APROVO|PRECISO REVISAR,Cross-reference com individuais registrado; sem adjudicacao separada
A4R181-ADJ-0023,A4R180-EXTRACTION-0023,S-92A Sable Island,BATCH_D,HOLD_SOURCE_ENRICHMENT_PENDING,NEEDS_SOURCE_ENRICHMENT,SOURCE_ENRICHMENT_REQUIRED,,HOLD_SOURCE_ENRICHMENT,HOLD,N/A,UNKNOWN,UNKNOWN,UNKNOWN,true,Adjudicar com fonte insuficiente; inventar narrativa ausente,Autorizar source enrichment via leitura direta do TSB A19A0055 antes de adjudicacao?,APROVO|NAO APROVO|PRECISO REVISAR,Source enrichment TSB A19A0055 agendado; adjudicacao suspensa
A4R181-ADJ-0024,A4R180-EXTRACTION-0024,AW139 night over-water,BATCH_D,HOLD_SOURCE_ENRICHMENT_PENDING,NEEDS_SOURCE_ENRICHMENT,SOURCE_ENRICHMENT_REQUIRED,,HOLD_SOURCE_ENRICHMENT,HOLD,N/A,UNKNOWN,UNKNOWN,UNKNOWN,true,Adjudicar com fonte insuficiente; inventar narrativa ausente,Autorizar source enrichment via leitura direta do NTSB ERA19FA210 antes de adjudicacao?,APROVO|NAO APROVO|PRECISO REVISAR,Source enrichment NTSB ERA19FA210 agendado; adjudicacao suspensa
