"candidate_id","event_name","original_perplexity_role","repo_presence_status","existing_repo_reference","source_link_status","corrected_authority_source","corrected_official_source_locator","factual_depth_status","likely_gap_family","corrected_reference_role","source_quality_risk","outcome_bias_risk","agent_migration_risk","technical_dominance_risk","recommended_next_action","keep_in_top10_consideration","notes"
"C-011","Delta 191","negative_control","ALREADY_IN_REPO","A4R197-E; A4R200-A; recovered pool txt","OFFICIAL_CONFIRMED","NTSB","NTSB AAR-86-05 local recovered text","DEEP_ENOUGH_FOR_CONTROL_ONLY","GAP-005","NEGATIVE_CONTROL","LOW","HIGH","LOW","HIGH","KEEP_AS_NEGATIVE_CONTROL","no","Microburst/windshear environmental onset; no forced human reentry."
"C-012","USAir 427","boundary_control","PARTIALLY_IN_REPO","A4R197-E; A4R200-A; A4R180 hold","OFFICIAL_CONFIRMED","NTSB","NTSB AAR-99/01 source-slice/extraction references","NEEDS_FULL_REPORT_EXTRACTION","GAP-005|GAP-008","BOUNDARY_CASE_ONLY","LOW","HIGH","LOW","HIGH","KEEP_AS_BOUNDARY_CASE","no","Rudder technical dominance risk; avoid overforced human causality."
"C-013","N109W","hold_candidate","HOLD_PREVIOUSLY","A4R197-E; A4R200-A; A4R81 superseded draft","SOURCE_NOT_VERIFIED","ANSV/NTSB as applicable","local prior draft is superseded; authoritative locator not active","REJECT_INSUFFICIENT","GAP-008","HOLD","HIGH","MEDIUM","MEDIUM","MEDIUM","HOLD_FOR_HUMAN_DECISION","no","Do not reactivate from historical unresolved draft."
"C-014","N11NM","hold_candidate","HOLD_PREVIOUSLY","A4R197-E; A4R200-A; A4R81 superseded draft","SOURCE_NOT_VERIFIED","NTSB","local prior draft is superseded; authoritative locator not active","REJECT_INSUFFICIENT","GAP-008","HOLD","HIGH","MEDIUM","MEDIUM","MEDIUM","HOLD_FOR_HUMAN_DECISION","no","Do not reactivate from historical unresolved draft."
"C-015","5N-BQJ","negative_control","PARTIALLY_IN_REPO","A4R197-E; A4R200-A; source-corpus txt","OFFICIAL_BUT_NEEDS_LOCATOR","AIB Nigeria","AIB Nigeria official report/local text references","NEEDS_FULL_REPORT_EXTRACTION","GAP-005|offshore_rotorcraft","NEGATIVE_CONTROL","MEDIUM","HIGH","LOW","HIGH","KEEP_AS_NEGATIVE_CONTROL","no","Technical dominance from DAFCS/TRIM FAIL; no direct-actor over-attribution."
"C-016","Execuflight 1526","boundary_candidate","ALREADY_IN_REPO","A4R149 EXT-016; A4R112; A4R161/A4R165","WRONG_OR_MISMATCHED_LINK","NTSB","NTSB AAR-16/03 / DCA16MA034 / CAROL 92314","NEEDS_ROLE_SEQUENCE_EXTRACTION","organizational_boundary|unstable_approach","DEEP_EXTRACTION_CANDIDATE","MEDIUM","MEDIUM","HIGH","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","yes","Correct report is AAR-16/03; AAR-19/02 mismatch rejected."
"C-017","Thebaud / CHO S-92 near Sable Island","existing_batch_candidate","PARTIALLY_IN_REPO","A4R197-E; A4R200-A","OFFICIAL_CONFIRMED","TSB Canada","TSB A19A0055 investigation page/report","NEEDS_ROLE_SEQUENCE_EXTRACTION","GAP-001|GAP-003|GAP-008","DEEP_EXTRACTION_CANDIDATE","LOW","MEDIUM","MEDIUM","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","conditional","Existing candidate needs actor-bound timeline."
"C-018","Peasmarsh","existing_batch_candidate","PARTIALLY_IN_REPO","A4R197-E; A4R200-A","OFFICIAL_CONFIRMED","AAIB UK","AAIB Peasmarsh official report locator in repo extraction","NEEDS_ROLE_SEQUENCE_EXTRACTION","GAP-003|GAP-008","DEEP_EXTRACTION_CANDIDATE","LOW","MEDIUM","MEDIUM","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","conditional","Warning chain must not become escape anchor."
"C-019","Vigo","existing_batch_candidate","PARTIALLY_IN_REPO","A4R197-E; A4R200-A","SOURCE_NOT_VERIFIED","CIAIAC Spain","primary report not locally sufficient","REJECT_INSUFFICIENT","GAP-001|GAP-003","DISCARD_OR_REPLACE","HIGH","MEDIUM","MEDIUM","LOW","REJECT_OR_REPLACE","no","Notification-level source only; replace unless primary report recovered."
"C-020","Comair 5191","top10_candidate","ALREADY_IN_REPO","A4R149 EXT-018; A4R186 review","WRONG_OR_MISMATCHED_LINK","NTSB","NTSB DCA06MA064 / AAR-07/05 official locator","NEEDS_CVR_FDR_TIMELINE","surface_SA|wrong_runway","STRONG_REFERENCE_CANDIDATE","MEDIUM","MEDIUM","MEDIUM","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","yes","Generic/repeated docket link is not enough."
"C-021","TransAsia GE235","top10_candidate","PARTIALLY_IN_REPO","source-corpus txt-events mentions; no controlled extraction","WRONG_OR_MISMATCHED_LINK","Taiwan ASC/TTSB","official GE235 accident report locator required","NEEDS_CVR_FDR_TIMELINE","automation_engine_response_boundary","DEEP_EXTRACTION_CANDIDATE","HIGH","HIGH","HIGH","MEDIUM","ADD_TO_DEEP_EXTRACTION_QUEUE","conditional","Generic/repeated docket link must be replaced."
"C-022","Air France 358","top10_candidate","PARTIALLY_IN_REPO","A4R111 candidate; source-corpus references","WRONG_OR_MISMATCHED_LINK","TSB Canada","TSB A05H0002 official investigation/report","NEEDS_CVR_FDR_TIMELINE","unstable_landing_weather","DEEP_EXTRACTION_CANDIDATE","HIGH","HIGH","MEDIUM","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","yes","Perplexity top10 link reportedly pointed to First Air; corrected to AF358."
"C-023","Southwest 1455","candidate","PARTIALLY_IN_REPO","search directive; source-corpus historical references possible","SOURCE_NOT_VERIFIED","NTSB","NTSB Southwest 1455 official report locator required","NEEDS_FULL_REPORT_EXTRACTION","runway_overrun_energy_management","DEEP_EXTRACTION_CANDIDATE","MEDIUM","HIGH","MEDIUM","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","conditional","Good overrun case only if official timeline is recovered."
"C-024","Korean Air Cargo 8509","candidate","NOT_FOUND_IN_REPO","No controlled local extraction located","SOURCE_NOT_VERIFIED","AAIB UK / Korean authority as applicable","official report or accepted translation locator required","NEEDS_FULL_REPORT_EXTRACTION","attitude_indicator_CRM_boundary","DEEP_EXTRACTION_CANDIDATE","HIGH","HIGH","HIGH","MEDIUM","HOLD_FOR_HUMAN_DECISION","no","Possible translation/docket issue; source validation required first."
"C-025","American 1420","candidate","PARTIALLY_IN_REPO","A4R111 candidate; source-corpus references","OFFICIAL_BUT_NEEDS_LOCATOR","NTSB","NTSB AAR-01/02 official report/page","NEEDS_CVR_FDR_TIMELINE","runway_overrun_weather","DEEP_EXTRACTION_CANDIDATE","LOW","HIGH","MEDIUM","LOW","ADD_TO_DEEP_EXTRACTION_QUEUE","conditional","Strong factual case but may be redundant with other overrun candidates."
"C-026","American 965","candidate","ALREADY_IN_REPO","A4R115 source-slice and reference trace","OFFICIAL_CONFIRMED","Aeronautica Civil Colombia / FAA-hosted official copy","Cali accident official report locator already represented","DEEP_ENOUGH_FOR_SOURCE_SLICE","CFIT_FMS_SA","ALREADY_IN_REPO","LOW","HIGH","MEDIUM","LOW","HOLD_FOR_HUMAN_DECISION","no","Already deep in repo; avoid duplicate investment."
"C-027","United 173","candidate","ALREADY_IN_REPO","A4R119 source-slice and reference trace","OFFICIAL_CONFIRMED","NTSB / FAA-hosted copy","NTSB AAR-79-07 official/FAA-hosted copy","DEEP_ENOUGH_FOR_SOURCE_SLICE","attention_fuel_CRM","ALREADY_IN_REPO","LOW","MEDIUM","MEDIUM","LOW","HOLD_FOR_HUMAN_DECISION","no","Already represented; not a new A4R201-B extraction priority."
"C-028","Aeroperu 603","candidate","NOT_FOUND_IN_REPO","No controlled local extraction located","NON_OFFICIAL_WEAK","DGAC Peru / official investigation authority","primary official report locator required","NEEDS_FULL_REPORT_EXTRACTION","instrument_static_port_boundary","DISCARD_OR_REPLACE","HIGH","HIGH","MEDIUM","MEDIUM","REJECT_OR_REPLACE","no","Skybrary is not a primary source."
"C-029","Emirates A380 / Emirates candidate","candidate","NOT_FOUND_IN_REPO","No controlled local extraction located","NON_OFFICIAL_WEAK","UAE GCAA/AAIS or TSIB as applicable","official authority locator required","SUMMARY_ONLY","unknown_until_source_validated","DISCARD_OR_REPLACE","HIGH","HIGH","MEDIUM","MEDIUM","REJECT_OR_REPLACE","no","Simple Flying is not a primary source; aircraft/event identity uncertain."
"C-030","Unspecified or redundant Perplexity candidate","candidate","NOT_FOUND_IN_REPO","Raw candidate text not attached","SOURCE_NOT_VERIFIED","UNKNOWN","not provided in attachment","REJECT_INSUFFICIENT","unknown","DISCARD_OR_REPLACE","HIGH","HIGH","HIGH","UNKNOWN","REJECT_OR_REPLACE","no","Description insufficient and possibly redundant; recover raw output or replace."
