reviewId,eventKey,axis,nodeOrder,nodeId,exactQuestionTextPt,answerStatus,evidenceAnchor,nextNodeDecision,unresolvedIssue,authorReviewRequired
A4R186-REAL-TREE-REVIEW-0002,Comair 5191 LEX,A,1,A_ROOT,Como o operador estava tentando atingir o objetivo?,EVIDENCE_INSUFFICIENT,COMAIR-A4R180-F1/F2/F3,PROCEED_TO_A_IMPLEMENTED,"Metodo de execucao da acao foi descrito, mas sem branch fechado.",true
A4R186-REAL-TREE-REVIEW-0002,Comair 5191 LEX,A,2,A_IMPLEMENTED,A ação foi implementada como pretendida?,EVIDENCE_INSUFFICIENT,COMAIR-A4R180-F1/F2/F3,AXIS_TREE_TRAVERSAL_BLOCKED,Branch de implementacao e adequacao de resposta requer decisao autoral por node.,true
A4R186-REAL-TREE-REVIEW-0003,American 1420 LIT,P,1,P_ROOT,O que o operador acreditou que estava acontecendo no ambiente com relação ao objetivo que pretendia alcançar?,EVIDENCE_INSUFFICIENT,AA1420-A4R180-F2/F3/F4,PROCEED_TO_P_ASSESSMENT,Descricao de crença operacional precisa de delimitacao autoral.,true
A4R186-REAL-TREE-REVIEW-0003,American 1420 LIT,P,2,P_ASSESSMENT,Avaliação correta ou adequada da situação?,EVIDENCE_SUPPORTS_NO,AA1420-A4R180-F2/F3/F4,PROCEED_TO_P_CAPABILITY,Evidencia aponta avaliacao inadequada da situacao no ponto de fuga.,true
A4R186-REAL-TREE-REVIEW-0003,American 1420 LIT,P,3,P_CAPABILITY,Possuía a capacidade necessária para sentir e perceber a situação?,EVIDENCE_INSUFFICIENT,AA1420-A4R180-F2/F3/F4,AXIS_TREE_TRAVERSAL_BLOCKED,"Branch entre capacidade sensorial, conhecimento ou outra condicao nao foi fechado nesta fase.",true
A4R186-REAL-TREE-REVIEW-0003,American 1420 LIT,O,1,O_ROOT,O que o operador estava tentando alcançar? Qual era a intenção ou o objetivo que o levou a cometer o ato inseguro?,EVIDENCE_INSUFFICIENT,AA1420-A4R180-F2/F3/F4,PROCEED_TO_O_RULES,"Objetivo imediato foi identificado, mas sem fechamento por node nesta fase.",true
A4R186-REAL-TREE-REVIEW-0003,American 1420 LIT,O,2,O_RULES,"O objetivo era consistente com as regras, regulamentos e procedimentos operacionais estabelecidos e também era consistente com um bom gerenciamento de riscos?",EVIDENCE_INSUFFICIENT,AA1420-A4R180-F2/F3/F4,AXIS_TREE_TRAVERSAL_BLOCKED,Consistencia completa com regras/SOP/risk management depende de decisao autoral por node.,true
A4R186-REAL-TREE-REVIEW-0003,American 1420 LIT,A,1,A_ROOT,Como o operador estava tentando atingir o objetivo?,EVIDENCE_INSUFFICIENT,AA1420-A4R180-F2/F3/F4,PROCEED_TO_A_IMPLEMENTED,"Metodo de execucao da acao foi descrito, mas sem branch fechado.",true
A4R186-REAL-TREE-REVIEW-0003,American 1420 LIT,A,2,A_IMPLEMENTED,A ação foi implementada como pretendida?,EVIDENCE_INSUFFICIENT,AA1420-A4R180-F2/F3/F4,AXIS_TREE_TRAVERSAL_BLOCKED,Branch de implementacao e adequacao de resposta requer decisao autoral por node.,true
A4R186-REAL-TREE-REVIEW-0006,UPS 1354 BHM,P,1,P_ROOT,O que o operador acreditou que estava acontecendo no ambiente com relação ao objetivo que pretendia alcançar?,EVIDENCE_INSUFFICIENT,UPS1354-A4R180-F1/F2/F3/F4,PROCEED_TO_P_ASSESSMENT,Descricao de crença operacional precisa de delimitacao autoral.,true
A4R186-REAL-TREE-REVIEW-0006,UPS 1354 BHM,P,2,P_ASSESSMENT,Avaliação correta ou adequada da situação?,EVIDENCE_SUPPORTS_NO,UPS1354-A4R180-F1/F2/F3/F4,PROCEED_TO_P_CAPABILITY,Evidencia aponta avaliacao inadequada da situacao no ponto de fuga.,true
A4R186-REAL-TREE-REVIEW-0006,UPS 1354 BHM,P,3,P_CAPABILITY,Possuía a capacidade necessária para sentir e perceber a situação?,EVIDENCE_INSUFFICIENT,UPS1354-A4R180-F1/F2/F3/F4,AXIS_TREE_TRAVERSAL_BLOCKED,"Branch entre capacidade sensorial, conhecimento ou outra condicao nao foi fechado nesta fase.",true
A4R186-REAL-TREE-REVIEW-0006,UPS 1354 BHM,O,1,O_ROOT,O que o operador estava tentando alcançar? Qual era a intenção ou o objetivo que o levou a cometer o ato inseguro?,EVIDENCE_INSUFFICIENT,UPS1354-A4R180-F1/F2/F3/F4,PROCEED_TO_O_RULES,"Objetivo imediato foi identificado, mas sem fechamento por node nesta fase.",true
A4R186-REAL-TREE-REVIEW-0006,UPS 1354 BHM,O,2,O_RULES,"O objetivo era consistente com as regras, regulamentos e procedimentos operacionais estabelecidos e também era consistente com um bom gerenciamento de riscos?",EVIDENCE_INSUFFICIENT,UPS1354-A4R180-F1/F2/F3/F4,AXIS_TREE_TRAVERSAL_BLOCKED,Consistencia completa com regras/SOP/risk management depende de decisao autoral por node.,true
A4R186-REAL-TREE-REVIEW-0006,UPS 1354 BHM,A,1,A_ROOT,Como o operador estava tentando atingir o objetivo?,EVIDENCE_INSUFFICIENT,UPS1354-A4R180-F1/F2/F3/F4,PROCEED_TO_A_IMPLEMENTED,"Metodo de execucao da acao foi descrito, mas sem branch fechado.",true
A4R186-REAL-TREE-REVIEW-0006,UPS 1354 BHM,A,2,A_IMPLEMENTED,A ação foi implementada como pretendida?,EVIDENCE_INSUFFICIENT,UPS1354-A4R180-F1/F2/F3/F4,AXIS_TREE_TRAVERSAL_BLOCKED,Branch de implementacao e adequacao de resposta requer decisao autoral por node.,true
A4R186-REAL-TREE-REVIEW-0017,United 173 PDX,P,1,P_ROOT,O que o operador acreditou que estava acontecendo no ambiente com relação ao objetivo que pretendia alcançar?,EVIDENCE_INSUFFICIENT,UNITED-173-A4R180-F1/F2/F3/F4,PROCEED_TO_P_ASSESSMENT,Descricao de crença operacional precisa de delimitacao autoral.,true
A4R186-REAL-TREE-REVIEW-0017,United 173 PDX,P,2,P_ASSESSMENT,Avaliação correta ou adequada da situação?,EVIDENCE_SUPPORTS_NO,UNITED-173-A4R180-F1/F2/F3/F4,PROCEED_TO_P_CAPABILITY,Evidencia aponta avaliacao inadequada da situacao no ponto de fuga.,true
A4R186-REAL-TREE-REVIEW-0017,United 173 PDX,P,3,P_CAPABILITY,Possuía a capacidade necessária para sentir e perceber a situação?,EVIDENCE_INSUFFICIENT,UNITED-173-A4R180-F1/F2/F3/F4,AXIS_TREE_TRAVERSAL_BLOCKED,"Branch entre capacidade sensorial, conhecimento ou outra condicao nao foi fechado nesta fase.",true
A4R186-REAL-TREE-REVIEW-0017,United 173 PDX,O,1,O_ROOT,O que o operador estava tentando alcançar? Qual era a intenção ou o objetivo que o levou a cometer o ato inseguro?,EVIDENCE_INSUFFICIENT,UNITED-173-A4R180-F1/F2/F3/F4,PROCEED_TO_O_RULES,"Objetivo imediato foi identificado, mas sem fechamento por node nesta fase.",true
A4R186-REAL-TREE-REVIEW-0017,United 173 PDX,O,2,O_RULES,"O objetivo era consistente com as regras, regulamentos e procedimentos operacionais estabelecidos e também era consistente com um bom gerenciamento de riscos?",EVIDENCE_INSUFFICIENT,UNITED-173-A4R180-F1/F2/F3/F4,AXIS_TREE_TRAVERSAL_BLOCKED,Consistencia completa com regras/SOP/risk management depende de decisao autoral por node.,true
A4R186-REAL-TREE-REVIEW-0017,United 173 PDX,A,1,A_ROOT,Como o operador estava tentando atingir o objetivo?,EVIDENCE_INSUFFICIENT,UNITED-173-A4R180-F1/F2/F3/F4,PROCEED_TO_A_IMPLEMENTED,"Metodo de execucao da acao foi descrito, mas sem branch fechado.",true
A4R186-REAL-TREE-REVIEW-0017,United 173 PDX,A,2,A_IMPLEMENTED,A ação foi implementada como pretendida?,EVIDENCE_INSUFFICIENT,UNITED-173-A4R180-F1/F2/F3/F4,AXIS_TREE_TRAVERSAL_BLOCKED,Branch de implementacao e adequacao de resposta requer decisao autoral por node.,true
